|dates|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|7.0|0|0.0|0|0.0|0
0|2020-03-24|7.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|13.0|0|0.0|0|0.0|0
0|2020-03-30|14.0|0|0.0|0|0.0|0
0|2020-03-31|15.0|0|0.0|0|0.0|0
0|2020-04-01|17.0|0|0.0|0|0.0|0
0|2020-04-02|26.0|0|0.0|0|0.0|0
0|2020-04-03|31.0|0|0.0|0|0.0|0
0|2020-04-04|39.0|0|0.0|0|0.0|0
0|2020-04-05|41.0|0|0.0|0|0.0|0
0|2020-04-06|43.0|0|0.0|0|0.0|0
0|2020-04-07|46.0|0|0.0|0|0.0|0
0|2020-04-08|46.0|0|0.0|0|0.0|0
0|2020-04-09|51.0|0|0.0|0|0.0|0
0|2020-04-10|61.0|0|0.0|0|0.0|0
0|2020-04-11|62.0|0|0.0|0|0.0|0
0|2020-04-12|65.0|0|0.0|0|0.0|0
0|2020-04-13|66.0|0|0.0|0|0.0|0
0|2020-04-14|67.0|0|1.0|0|0.0|0
0|2020-04-15|68.0|0|2.0|0|0.0|0
0|2020-04-16|71.0|0|2.0|0|0.0|0
0|2020-04-17|73.0|0|2.0|0|0.0|0
0|2020-04-18|73.0|0|2.0|0|0.0|0
0|2020-04-19|79.0|0|2.0|0|0.0|0
0|2020-04-20|79.0|0|3.0|0|0.0|0
0|2020-04-21|79.0|0|3.0|0|0.0|0
0|2020-04-22|80.0|0|3.0|0|0.0|0
0|2020-04-23|79.0|0|3.0|0|0.0|0
0|2020-04-24|80.0|0|3.0|0|0.0|0
0|2020-04-25|85.0|0|3.0|0|0.0|0
0|2020-04-26|87.0|0|3.0|0|0.0|0
0|2020-04-27|88.0|0|3.0|0|0.0|0
0|2020-04-28|90.0|0|4.0|0|0.0|0
0|2020-04-29|93.0|0|4.0|0|0.0|0
0|2020-04-30|96.0|0|4.0|0|0.0|0
0|2020-05-01|99.0|0|4.0|0|0.0|0
0|2020-05-02|100.0|0|4.0|0|0.0|0
0|2020-05-03|101.0|0|4.0|0|0.0|0
0|2020-05-04|99.0|0|4.0|0|0.0|0
0|2020-05-05|96.0|0|4.0|0|0.0|0
0|2020-05-06|99.0|0|4.0|0|0.0|0
0|2020-05-07|101.0|0|4.0|0|0.0|0
0|2020-05-08|103.0|0|4.0|0|0.0|0
0|2020-05-09|104.0|0|4.0|0|0.0|0
0|2020-05-10|110.0|0|4.0|0|0.0|0
0|2020-05-11|110.0|0|4.0|0|0.0|0
0|2020-05-12|115.0|0|5.0|0|0.0|0
0|2020-05-13|110.0|0|5.0|0|0.0|0
