|dates|Floyd_Georgia_UnitedStates.JHU_ConfirmedCases.data|Floyd_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Floyd_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Floyd_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Floyd_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Floyd_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|6.0|0|0.0|0|0.0|0
0|2020-03-18|6.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|1.0|0|0.0|0
0|2020-03-21|8.0|0|1.0|0|0.0|0
0|2020-03-22|9.0|0|1.0|0|0.0|0
0|2020-03-23|10.0|0|1.0|0|0.0|0
0|2020-03-24|11.0|0|1.0|0|0.0|0
0|2020-03-25|14.0|0|1.0|0|0.0|0
0|2020-03-26|16.0|0|1.0|0|0.0|0
0|2020-03-27|20.0|0|1.0|0|0.0|0
0|2020-03-28|27.0|0|1.0|0|0.0|0
0|2020-03-29|27.0|0|2.0|0|0.0|0
0|2020-03-30|28.0|0|2.0|0|0.0|0
0|2020-03-31|35.0|0|2.0|0|0.0|0
0|2020-04-01|60.0|0|2.0|0|0.0|0
0|2020-04-02|71.0|0|2.0|0|0.0|0
0|2020-04-03|77.0|0|2.0|0|0.0|0
0|2020-04-04|79.0|0|3.0|0|0.0|0
0|2020-04-05|80.0|0|3.0|0|0.0|0
0|2020-04-06|84.0|0|3.0|0|0.0|0
0|2020-04-07|89.0|0|3.0|0|0.0|0
0|2020-04-08|93.0|0|3.0|0|0.0|0
0|2020-04-09|99.0|0|4.0|0|0.0|0
0|2020-04-10|99.0|0|5.0|0|0.0|0
0|2020-04-11|105.0|0|5.0|0|0.0|0
0|2020-04-12|108.0|0|5.0|0|0.0|0
0|2020-04-13|111.0|0|6.0|0|0.0|0
0|2020-04-14|120.0|0|6.0|0|0.0|0
0|2020-04-15|120.0|0|6.0|0|0.0|0
0|2020-04-16|121.0|0|6.0|0|0.0|0
0|2020-04-17|121.0|0|6.0|0|0.0|0
0|2020-04-18|121.0|0|8.0|0|0.0|0
0|2020-04-19|122.0|0|8.0|0|0.0|0
0|2020-04-20|126.0|0|9.0|0|0.0|0
0|2020-04-21|127.0|0|9.0|0|0.0|0
0|2020-04-22|128.0|0|8.0|0|0.0|0
0|2020-04-23|128.0|0|8.0|0|0.0|0
0|2020-04-24|131.0|0|10.0|0|0.0|0
0|2020-04-25|133.0|0|10.0|0|0.0|0
0|2020-04-26|133.0|0|10.0|0|0.0|0
0|2020-04-27|134.0|0|11.0|0|0.0|0
0|2020-04-28|134.0|0|11.0|0|0.0|0
0|2020-04-29|139.0|0|11.0|0|0.0|0
0|2020-04-30|144.0|0|11.0|0|0.0|0
0|2020-05-01|145.0|0|11.0|0|0.0|0
0|2020-05-02|145.0|0|11.0|0|0.0|0
0|2020-05-03|145.0|0|11.0|0|0.0|0
0|2020-05-04|150.0|0|11.0|0|0.0|0
0|2020-05-05|151.0|0|11.0|0|0.0|0
0|2020-05-06|152.0|0|11.0|0|0.0|0
0|2020-05-07|155.0|0|12.0|0|0.0|0
0|2020-05-08|155.0|0|12.0|0|0.0|0
0|2020-05-09|157.0|0|12.0|0|0.0|0
0|2020-05-10|157.0|0|12.0|0|0.0|0
0|2020-05-11|157.0|0|12.0|0|0.0|0
0|2020-05-12|160.0|0|12.0|0|0.0|0
0|2020-05-13|166.0|0|12.0|0|0.0|0
