|dates|Warren_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Warren_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Warren_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Warren_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Warren_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Warren_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|5.0|0|0.0|0|0.0|0
0|2020-03-22|9.0|0|0.0|0|0.0|0
0|2020-03-23|12.0|0|0.0|0|0.0|0
0|2020-03-24|15.0|0|0.0|0|0.0|0
0|2020-03-25|18.0|0|0.0|0|0.0|0
0|2020-03-26|31.0|0|0.0|0|0.0|0
0|2020-03-27|38.0|0|0.0|0|0.0|0
0|2020-03-28|51.0|0|0.0|0|0.0|0
0|2020-03-29|56.0|0|1.0|0|0.0|0
0|2020-03-30|68.0|0|1.0|0|0.0|0
0|2020-03-31|76.0|0|0.0|0|0.0|0
0|2020-04-01|96.0|0|3.0|0|0.0|0
0|2020-04-02|116.0|0|3.0|0|0.0|0
0|2020-04-03|149.0|0|3.0|0|0.0|0
0|2020-04-04|182.0|0|6.0|0|0.0|0
0|2020-04-05|195.0|0|6.0|0|0.0|0
0|2020-04-06|215.0|0|7.0|0|0.0|0
0|2020-04-07|255.0|0|7.0|0|0.0|0
0|2020-04-08|289.0|0|9.0|0|0.0|0
0|2020-04-09|319.0|0|9.0|0|0.0|0
0|2020-04-10|337.0|0|15.0|0|0.0|0
0|2020-04-11|362.0|0|18.0|0|0.0|0
0|2020-04-12|395.0|0|22.0|0|0.0|0
0|2020-04-13|416.0|0|24.0|0|0.0|0
0|2020-04-14|442.0|0|25.0|0|0.0|0
0|2020-04-15|468.0|0|30.0|0|0.0|0
0|2020-04-16|501.0|0|33.0|0|0.0|0
0|2020-04-17|521.0|0|36.0|0|0.0|0
0|2020-04-18|543.0|0|39.0|0|0.0|0
0|2020-04-19|592.0|0|44.0|0|0.0|0
0|2020-04-20|613.0|0|47.0|0|0.0|0
0|2020-04-21|613.0|0|47.0|0|0.0|0
0|2020-04-22|689.0|0|55.0|0|0.0|0
0|2020-04-23|719.0|0|60.0|0|0.0|0
0|2020-04-24|729.0|0|61.0|0|0.0|0
0|2020-04-25|750.0|0|63.0|0|0.0|0
0|2020-04-26|778.0|0|65.0|0|0.0|0
0|2020-04-27|810.0|0|67.0|0|0.0|0
0|2020-04-28|848.0|0|71.0|0|0.0|0
0|2020-04-29|880.0|0|81.0|0|0.0|0
0|2020-04-30|903.0|0|82.0|0|0.0|0
0|2020-05-01|920.0|0|83.0|0|0.0|0
0|2020-05-02|941.0|0|84.0|0|0.0|0
0|2020-05-03|957.0|0|86.0|0|0.0|0
0|2020-05-04|977.0|0|87.0|0|0.0|0
0|2020-05-05|982.0|0|91.0|0|0.0|0
0|2020-05-06|993.0|0|94.0|0|0.0|0
0|2020-05-07|1004.0|0|99.0|0|0.0|0
0|2020-05-08|1034.0|0|101.0|0|0.0|0
0|2020-05-09|1040.0|0|103.0|0|0.0|0
0|2020-05-10|1044.0|0|104.0|0|0.0|0
0|2020-05-11|1044.0|0|104.0|0|0.0|0
0|2020-05-12|1061.0|0|108.0|0|0.0|0
0|2020-05-13|1066.0|0|114.0|0|0.0|0
