|dates|ElPaso_Colorado_UnitedStates.JHU_ConfirmedCases.data|ElPaso_Colorado_UnitedStates.JHU_ConfirmedCases.missing|ElPaso_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|ElPaso_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|ElPaso_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|ElPaso_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|1.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|1.0|0|0.0|0
0|2020-03-16|4.0|0|1.0|0|0.0|0
0|2020-03-17|4.0|0|1.0|0|0.0|0
0|2020-03-18|8.0|0|1.0|0|0.0|0
0|2020-03-19|8.0|0|2.0|0|0.0|0
0|2020-03-20|27.0|0|2.0|0|0.0|0
0|2020-03-21|37.0|0|3.0|0|0.0|0
0|2020-03-22|51.0|0|3.0|0|0.0|0
0|2020-03-23|69.0|0|3.0|0|0.0|0
0|2020-03-24|69.0|0|4.0|0|0.0|0
0|2020-03-25|122.0|0|5.0|0|0.0|0
0|2020-03-26|137.0|0|5.0|0|0.0|0
0|2020-03-27|137.0|0|5.0|0|0.0|0
0|2020-03-28|160.0|0|7.0|0|0.0|0
0|2020-03-29|214.0|0|11.0|0|0.0|0
0|2020-03-30|214.0|0|11.0|0|0.0|0
0|2020-03-31|286.0|0|13.0|0|0.0|0
0|2020-04-01|286.0|0|13.0|0|0.0|0
0|2020-04-02|314.0|0|14.0|0|0.0|0
0|2020-04-03|340.0|0|16.0|0|0.0|0
0|2020-04-04|374.0|0|18.0|0|0.0|0
0|2020-04-05|435.0|0|25.0|0|0.0|0
0|2020-04-06|441.0|0|28.0|0|0.0|0
0|2020-04-07|457.0|0|28.0|0|0.0|0
0|2020-04-08|472.0|0|30.0|0|0.0|0
0|2020-04-09|472.0|0|30.0|0|0.0|0
0|2020-04-10|534.0|0|30.0|0|0.0|0
0|2020-04-11|550.0|0|33.0|0|0.0|0
0|2020-04-12|613.0|0|37.0|0|0.0|0
0|2020-04-13|641.0|0|39.0|0|0.0|0
0|2020-04-14|652.0|0|41.0|0|0.0|0
0|2020-04-15|652.0|0|41.0|0|0.0|0
0|2020-04-16|668.0|0|43.0|0|0.0|0
0|2020-04-17|689.0|0|48.0|0|0.0|0
0|2020-04-18|708.0|0|49.0|0|0.0|0
0|2020-04-19|731.0|0|49.0|0|0.0|0
0|2020-04-20|731.0|0|49.0|0|0.0|0
0|2020-04-21|744.0|0|53.0|0|0.0|0
0|2020-04-22|774.0|0|54.0|0|0.0|0
0|2020-04-23|798.0|0|55.0|0|0.0|0
0|2020-04-24|853.0|0|72.0|0|0.0|0
0|2020-04-25|862.0|0|72.0|0|0.0|0
0|2020-04-26|867.0|0|72.0|0|0.0|0
0|2020-04-27|879.0|0|68.0|0|0.0|0
0|2020-04-28|884.0|0|69.0|0|0.0|0
0|2020-04-29|907.0|0|69.0|0|0.0|0
0|2020-04-30|932.0|0|70.0|0|0.0|0
0|2020-05-01|964.0|0|71.0|0|0.0|0
0|2020-05-02|988.0|0|74.0|0|0.0|0
0|2020-05-03|994.0|0|75.0|0|0.0|0
0|2020-05-04|1005.0|0|76.0|0|0.0|0
0|2020-05-05|1028.0|0|78.0|0|0.0|0
0|2020-05-06|1055.0|0|77.0|0|0.0|0
0|2020-05-07|1079.0|0|77.0|0|0.0|0
0|2020-05-08|1097.0|0|78.0|0|0.0|0
0|2020-05-09|1109.0|0|78.0|0|0.0|0
0|2020-05-10|1124.0|0|78.0|0|0.0|0
0|2020-05-11|1124.0|0|78.0|0|0.0|0
0|2020-05-12|1157.0|0|81.0|0|0.0|0
0|2020-05-13|1175.0|0|81.0|0|0.0|0
