|dates|NewCastle_Delaware_UnitedStates.JHU_ConfirmedCases.data|NewCastle_Delaware_UnitedStates.JHU_ConfirmedCases.missing|NewCastle_Delaware_UnitedStates.JHU_ConfirmedDeaths.data|NewCastle_Delaware_UnitedStates.JHU_ConfirmedDeaths.missing|NewCastle_Delaware_UnitedStates.JHU_ConfirmedRecoveries.data|NewCastle_Delaware_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|4.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|8.0|0|0.0|0|0.0|0
0|2020-03-17|15.0|0|0.0|0|0.0|0
0|2020-03-18|17.0|0|0.0|0|0.0|0
0|2020-03-19|23.0|0|0.0|0|0.0|0
0|2020-03-20|27.0|0|0.0|0|0.0|0
0|2020-03-21|32.0|0|0.0|0|0.0|0
0|2020-03-22|39.0|0|0.0|0|0.0|0
0|2020-03-23|44.0|0|0.0|0|0.0|0
0|2020-03-24|71.0|0|0.0|0|0.0|0
0|2020-03-25|79.0|0|0.0|0|0.0|0
0|2020-03-26|86.0|0|0.0|0|0.0|0
0|2020-03-27|105.0|0|0.0|0|0.0|0
0|2020-03-28|130.0|0|2.0|0|0.0|0
0|2020-03-29|141.0|0|2.0|0|0.0|0
0|2020-03-30|156.0|0|2.0|0|0.0|0
0|2020-03-31|197.0|0|2.0|0|0.0|0
0|2020-04-01|226.0|0|5.0|0|0.0|0
0|2020-04-02|245.0|0|7.0|0|0.0|0
0|2020-04-03|279.0|0|7.0|0|0.0|0
0|2020-04-04|400.0|0|7.0|0|0.0|0
0|2020-04-05|436.0|0|7.0|0|0.0|0
0|2020-04-06|496.0|0|9.0|0|0.0|0
0|2020-04-07|571.0|0|9.0|0|0.0|0
0|2020-04-08|636.0|0|9.0|0|0.0|0
0|2020-04-09|701.0|0|9.0|0|0.0|0
0|2020-04-10|751.0|0|9.0|0|0.0|0
0|2020-04-11|807.0|0|19.0|0|0.0|0
0|2020-04-12|880.0|0|19.0|0|0.0|0
0|2020-04-13|919.0|0|20.0|0|0.0|0
0|2020-04-14|947.0|0|20.0|0|0.0|0
0|2020-04-15|974.0|0|20.0|0|0.0|0
0|2020-04-16|1003.0|0|25.0|0|0.0|0
0|2020-04-17|1100.0|0|30.0|0|0.0|0
0|2020-04-18|1205.0|0|32.0|0|0.0|0
0|2020-04-19|1205.0|0|32.0|0|0.0|0
0|2020-04-20|1229.0|0|33.0|0|0.0|0
0|2020-04-21|1303.0|0|36.0|0|0.0|0
0|2020-04-22|1352.0|0|38.0|0|0.0|0
0|2020-04-23|1389.0|0|40.0|0|0.0|0
0|2020-04-24|1486.0|0|45.0|0|0.0|0
0|2020-04-25|1504.0|0|52.0|0|0.0|0
0|2020-04-26|1599.0|0|55.0|0|0.0|0
0|2020-04-27|1629.0|0|57.0|0|0.0|0
0|2020-04-28|1701.0|0|63.0|0|0.0|0
0|2020-04-29|1717.0|0|65.0|0|0.0|0
0|2020-04-30|1734.0|0|68.0|0|0.0|0
0|2020-05-01|1829.0|0|70.0|0|0.0|0
0|2020-05-02|1864.0|0|76.0|0|0.0|0
0|2020-05-03|1903.0|0|79.0|0|0.0|0
0|2020-05-04|1934.0|0|82.0|0|0.0|0
0|2020-05-05|1979.0|0|83.0|0|0.0|0
0|2020-05-06|2087.0|0|85.0|0|0.0|0
0|2020-05-07|2130.0|0|89.0|0|0.0|0
0|2020-05-08|2184.0|0|91.0|0|0.0|0
0|2020-05-09|2275.0|0|93.0|0|0.0|0
0|2020-05-10|2275.0|0|93.0|0|0.0|0
0|2020-05-11|2275.0|0|93.0|0|0.0|0
0|2020-05-12|2440.0|0|100.0|0|0.0|0
0|2020-05-13|2496.0|0|102.0|0|0.0|0
