|dates|Copiah_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Copiah_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Copiah_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Copiah_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Copiah_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Copiah_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|8.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|10.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|0.0|0|0.0|0
0|2020-04-05|16.0|0|0.0|0|0.0|0
0|2020-04-06|16.0|0|0.0|0|0.0|0
0|2020-04-07|17.0|0|0.0|0|0.0|0
0|2020-04-08|19.0|0|0.0|0|0.0|0
0|2020-04-09|27.0|0|0.0|0|0.0|0
0|2020-04-10|30.0|0|0.0|0|0.0|0
0|2020-04-11|28.0|0|0.0|0|0.0|0
0|2020-04-12|31.0|0|0.0|0|0.0|0
0|2020-04-13|31.0|0|0.0|0|0.0|0
0|2020-04-14|31.0|0|0.0|0|0.0|0
0|2020-04-15|35.0|0|0.0|0|0.0|0
0|2020-04-16|39.0|0|1.0|0|0.0|0
0|2020-04-17|40.0|0|1.0|0|0.0|0
0|2020-04-18|41.0|0|1.0|0|0.0|0
0|2020-04-19|46.0|0|1.0|0|0.0|0
0|2020-04-20|46.0|0|1.0|0|0.0|0
0|2020-04-21|51.0|0|1.0|0|0.0|0
0|2020-04-22|52.0|0|1.0|0|0.0|0
0|2020-04-23|59.0|0|1.0|0|0.0|0
0|2020-04-24|65.0|0|1.0|0|0.0|0
0|2020-04-25|68.0|0|1.0|0|0.0|0
0|2020-04-26|71.0|0|1.0|0|0.0|0
0|2020-04-27|79.0|0|1.0|0|0.0|0
0|2020-04-28|83.0|0|1.0|0|0.0|0
0|2020-04-29|88.0|0|1.0|0|0.0|0
0|2020-04-30|96.0|0|1.0|0|0.0|0
0|2020-05-01|108.0|0|1.0|0|0.0|0
0|2020-05-02|114.0|0|1.0|0|0.0|0
0|2020-05-03|116.0|0|1.0|0|0.0|0
0|2020-05-04|124.0|0|1.0|0|0.0|0
0|2020-05-05|126.0|0|1.0|0|0.0|0
0|2020-05-06|137.0|0|1.0|0|0.0|0
0|2020-05-07|141.0|0|1.0|0|0.0|0
0|2020-05-08|152.0|0|2.0|0|0.0|0
0|2020-05-09|157.0|0|1.0|0|0.0|0
0|2020-05-10|162.0|0|1.0|0|0.0|0
0|2020-05-11|162.0|0|1.0|0|0.0|0
0|2020-05-12|165.0|0|1.0|0|0.0|0
0|2020-05-13|170.0|0|1.0|0|0.0|0
