|dates|Weld_Colorado_UnitedStates.JHU_ConfirmedCases.data|Weld_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Weld_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Weld_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Weld_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Weld_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|6.0|0|1.0|0|0.0|0
0|2020-03-18|9.0|0|1.0|0|0.0|0
0|2020-03-19|9.0|0|1.0|0|0.0|0
0|2020-03-20|15.0|0|1.0|0|0.0|0
0|2020-03-21|21.0|0|1.0|0|0.0|0
0|2020-03-22|37.0|0|1.0|0|0.0|0
0|2020-03-23|50.0|0|2.0|0|0.0|0
0|2020-03-24|50.0|0|2.0|0|0.0|0
0|2020-03-25|87.0|0|4.0|0|0.0|0
0|2020-03-26|107.0|0|4.0|0|0.0|0
0|2020-03-27|107.0|0|4.0|0|0.0|0
0|2020-03-28|129.0|0|6.0|0|0.0|0
0|2020-03-29|180.0|0|9.0|0|0.0|0
0|2020-03-30|180.0|0|9.0|0|0.0|0
0|2020-03-31|255.0|0|12.0|0|0.0|0
0|2020-04-01|255.0|0|12.0|0|0.0|0
0|2020-04-02|293.0|0|13.0|0|0.0|0
0|2020-04-03|329.0|0|16.0|0|0.0|0
0|2020-04-04|379.0|0|16.0|0|0.0|0
0|2020-04-05|470.0|0|24.0|0|0.0|0
0|2020-04-06|504.0|0|26.0|0|0.0|0
0|2020-04-07|537.0|0|26.0|0|0.0|0
0|2020-04-08|573.0|0|30.0|0|0.0|0
0|2020-04-09|573.0|0|30.0|0|0.0|0
0|2020-04-10|614.0|0|30.0|0|0.0|0
0|2020-04-11|649.0|0|40.0|0|0.0|0
0|2020-04-12|738.0|0|48.0|0|0.0|0
0|2020-04-13|808.0|0|53.0|0|0.0|0
0|2020-04-14|858.0|0|55.0|0|0.0|0
0|2020-04-15|858.0|0|55.0|0|0.0|0
0|2020-04-16|928.0|0|57.0|0|0.0|0
0|2020-04-17|960.0|0|60.0|0|0.0|0
0|2020-04-18|986.0|0|61.0|0|0.0|0
0|2020-04-19|1063.0|0|64.0|0|0.0|0
0|2020-04-20|1063.0|0|64.0|0|0.0|0
0|2020-04-21|1180.0|0|69.0|0|0.0|0
0|2020-04-22|1237.0|0|69.0|0|0.0|0
0|2020-04-23|1263.0|0|70.0|0|0.0|0
0|2020-04-24|1353.0|0|82.0|0|0.0|0
0|2020-04-25|1430.0|0|82.0|0|0.0|0
0|2020-04-26|1469.0|0|82.0|0|0.0|0
0|2020-04-27|1544.0|0|87.0|0|0.0|0
0|2020-04-28|1618.0|0|88.0|0|0.0|0
0|2020-04-29|1704.0|0|93.0|0|0.0|0
0|2020-04-30|1776.0|0|95.0|0|0.0|0
0|2020-05-01|1802.0|0|100.0|0|0.0|0
0|2020-05-02|1836.0|0|100.0|0|0.0|0
0|2020-05-03|1872.0|0|100.0|0|0.0|0
0|2020-05-04|1897.0|0|102.0|0|0.0|0
0|2020-05-05|1955.0|0|107.0|0|0.0|0
0|2020-05-06|1988.0|0|109.0|0|0.0|0
0|2020-05-07|2042.0|0|113.0|0|0.0|0
0|2020-05-08|2087.0|0|113.0|0|0.0|0
0|2020-05-09|2120.0|0|113.0|0|0.0|0
0|2020-05-10|2139.0|0|113.0|0|0.0|0
0|2020-05-11|2139.0|0|113.0|0|0.0|0
0|2020-05-12|2190.0|0|117.0|0|0.0|0
0|2020-05-13|2211.0|0|119.0|0|0.0|0
