|dates|Edwards_Illinois_UnitedStates.JHU_ConfirmedCases.data|Edwards_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Edwards_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Edwards_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Edwards_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Edwards_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|2.0|0|0.0|0|0.0|0
0|2020-02-09|2.0|0|0.0|0|2.0|0
0|2020-02-10|2.0|0|0.0|0|2.0|0
0|2020-02-11|2.0|0|0.0|0|2.0|0
0|2020-02-12|2.0|0|0.0|0|2.0|0
0|2020-02-13|2.0|0|0.0|0|2.0|0
0|2020-02-14|2.0|0|0.0|0|2.0|0
0|2020-02-15|2.0|0|0.0|0|2.0|0
0|2020-02-16|2.0|0|0.0|0|2.0|0
0|2020-02-17|2.0|0|0.0|0|2.0|0
0|2020-02-18|2.0|0|0.0|0|2.0|0
0|2020-02-19|2.0|0|0.0|0|2.0|0
0|2020-02-20|2.0|0|0.0|0|2.0|0
0|2020-02-21|2.0|0|0.0|0|2.0|0
0|2020-02-22|2.0|0|0.0|0|2.0|0
0|2020-02-23|2.0|0|0.0|0|2.0|0
0|2020-02-24|2.0|0|0.0|0|2.0|0
0|2020-02-25|2.0|0|0.0|0|2.0|0
0|2020-02-26|2.0|0|0.0|0|2.0|0
0|2020-02-27|2.0|0|0.0|0|2.0|0
0|2020-02-28|2.0|0|0.0|0|2.0|0
0|2020-02-29|2.0|0|0.0|0|2.0|0
0|2020-03-01|3.0|0|0.0|0|2.0|0
0|2020-03-02|4.0|0|0.0|0|2.0|0
0|2020-03-03|4.0|0|0.0|0|2.0|0
0|2020-03-04|4.0|0|0.0|0|2.0|0
0|2020-03-05|5.0|0|0.0|0|2.0|0
0|2020-03-06|5.0|0|0.0|0|2.0|0
0|2020-03-07|6.0|0|0.0|0|2.0|0
0|2020-03-08|7.0|0|0.0|0|2.0|0
0|2020-03-09|7.0|0|0.0|0|2.0|0
0|2020-03-10|12.0|0|0.0|0|2.0|0
0|2020-03-11|25.0|0|0.0|0|2.0|0
0|2020-03-12|32.0|0|0.0|0|2.0|0
0|2020-03-13|46.0|0|0.0|0|2.0|0
0|2020-03-14|64.0|0|0.0|0|2.0|0
0|2020-03-15|66.0|0|0.0|0|2.0|0
0|2020-03-16|83.0|0|0.0|0|2.0|0
0|2020-03-17|161.0|0|1.0|0|2.0|0
0|2020-03-18|272.0|0|1.0|0|2.0|0
0|2020-03-19|422.0|0|4.0|0|2.0|0
0|2020-03-20|585.0|0|5.0|0|2.0|0
0|2020-03-21|753.0|0|6.0|0|2.0|0
0|2020-03-22|1049.0|0|9.0|0|0.0|0
0|2020-03-23|1285.0|0|12.0|0|0.0|0
0|2020-03-24|1537.0|0|16.0|0|0.0|0
0|2020-03-25|1865.0|0|19.0|0|0.0|0
0|2020-03-26|2538.0|0|26.0|0|0.0|0
0|2020-03-27|3692.0|0|34.0|0|0.0|0
0|2020-03-28|3491.0|0|47.0|0|0.0|0
0|2020-03-29|4596.0|0|66.0|0|0.0|0
0|2020-03-30|5056.0|0|73.0|0|0.0|0
0|2020-03-31|5994.0|0|99.0|0|0.0|0
0|2020-04-01|6980.0|0|141.0|0|0.0|0
0|2020-04-02|7695.0|0|163.0|0|0.0|0
0|2020-04-03|8904.0|0|210.0|0|0.0|0
0|2020-04-04|10357.0|0|244.0|0|0.0|0
0|2020-04-05|11259.0|0|274.0|0|0.0|0
0|2020-04-06|12262.0|0|307.0|0|0.0|0
0|2020-04-07|12271.0|0|308.0|0|0.0|0
0|2020-04-08|15078.0|0|462.0|0|0.0|0
0|2020-04-09|15079.0|0|462.0|0|0.0|0
0|2020-04-10|17887.0|0|597.0|0|0.0|0
0|2020-04-11|19180.0|0|677.0|0|0.0|0
0|2020-04-12|20852.0|0|720.0|0|0.0|0
0|2020-04-13|22025.0|0|798.0|0|0.0|0
0|2020-04-14|23248.0|0|868.0|0|0.0|0
0|2020-04-15|24593.0|0|949.0|0|0.0|0
0|2020-04-16|25734.0|0|1072.0|0|0.0|0
0|2020-04-17|27578.0|0|1132.0|0|0.0|0
0|2020-04-18|29160.0|0|1259.0|0|0.0|0
0|2020-04-19|30357.0|0|1290.0|0|0.0|0
0|2020-04-20|31513.0|0|1349.0|0|0.0|0
0|2020-04-21|33059.0|0|1468.0|0|0.0|0
0|2020-04-22|35107.0|0|1565.0|0|0.0|0
0|2020-04-23|36937.0|0|1688.0|0|0.0|0
0|2020-04-24|39658.0|0|1795.0|0|0.0|0
0|2020-04-25|41777.0|0|1875.0|0|0.0|0
0|2020-04-26|43903.0|0|1933.0|0|0.0|0
0|2020-04-27|45883.0|0|1983.0|0|0.0|0
0|2020-04-28|48102.0|0|2125.0|0|0.0|0
0|2020-04-29|50358.0|0|2215.0|0|0.0|0
0|2020-04-30|52918.0|0|2355.0|0|0.0|0
0|2020-05-01|56055.0|0|2457.0|0|0.0|0
0|2020-05-02|58505.0|0|2559.0|0|0.0|0
0|2020-05-03|61499.0|0|2618.0|0|0.0|0
0|2020-05-04|63777.0|0|2659.0|0|0.0|0
0|2020-05-05|65889.0|0|2834.0|0|0.0|0
0|2020-05-06|65889.0|0|2834.0|0|0.0|0
0|2020-05-07|65889.0|0|2834.0|0|0.0|0
0|2020-05-08|65889.0|0|2834.0|0|0.0|0
0|2020-05-09|65889.0|0|2834.0|0|0.0|0
0|2020-05-10|65889.0|0|2834.0|0|0.0|0
0|2020-05-11|65889.0|0|2834.0|0|0.0|0
0|2020-05-12|65889.0|0|2834.0|0|0.0|0
0|2020-05-13|65889.0|0|2834.0|0|0.0|0
