|dates|Sierra_California_UnitedStates.JHU_ConfirmedCases.data|Sierra_California_UnitedStates.JHU_ConfirmedCases.missing|Sierra_California_UnitedStates.JHU_ConfirmedDeaths.data|Sierra_California_UnitedStates.JHU_ConfirmedDeaths.missing|Sierra_California_UnitedStates.JHU_ConfirmedRecoveries.data|Sierra_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|6.0|0|0.0|0|0.0|0
0|2020-02-10|6.0|0|0.0|0|0.0|0
0|2020-02-11|7.0|0|0.0|0|0.0|0
0|2020-02-12|7.0|0|0.0|0|0.0|0
0|2020-02-13|8.0|0|0.0|0|0.0|0
0|2020-02-14|8.0|0|0.0|0|0.0|0
0|2020-02-15|8.0|0|0.0|0|0.0|0
0|2020-02-16|8.0|0|0.0|0|0.0|0
0|2020-02-17|8.0|0|0.0|0|0.0|0
0|2020-02-18|8.0|0|0.0|0|0.0|0
0|2020-02-19|8.0|0|0.0|0|0.0|0
0|2020-02-20|8.0|0|0.0|0|0.0|0
0|2020-02-21|10.0|0|0.0|0|2.0|0
0|2020-02-22|10.0|0|0.0|0|2.0|0
0|2020-02-23|10.0|0|0.0|0|2.0|0
0|2020-02-24|10.0|0|0.0|0|2.0|0
0|2020-02-25|10.0|0|0.0|0|2.0|0
0|2020-02-26|10.0|0|0.0|0|2.0|0
0|2020-02-27|11.0|0|0.0|0|2.0|0
0|2020-02-28|11.0|0|0.0|0|2.0|0
0|2020-02-29|12.0|0|0.0|0|2.0|0
0|2020-03-01|12.0|0|0.0|0|2.0|0
0|2020-03-02|21.0|0|0.0|0|2.0|0
0|2020-03-03|25.0|0|0.0|0|2.0|0
0|2020-03-04|35.0|0|1.0|0|2.0|0
0|2020-03-05|51.0|0|1.0|0|2.0|0
0|2020-03-06|59.0|0|1.0|0|2.0|0
0|2020-03-07|81.0|0|1.0|0|2.0|0
0|2020-03-08|95.0|0|1.0|0|2.0|0
0|2020-03-09|101.0|0|1.0|0|2.0|0
0|2020-03-10|144.0|0|2.0|0|2.0|0
0|2020-03-11|178.0|0|4.0|0|2.0|0
0|2020-03-12|221.0|0|4.0|0|6.0|0
0|2020-03-13|281.0|0|4.0|0|6.0|0
0|2020-03-14|372.0|0|3.0|0|6.0|0
0|2020-03-15|373.0|0|5.0|0|6.0|0
0|2020-03-16|557.0|0|7.0|0|6.0|0
0|2020-03-17|700.0|0|12.0|0|6.0|0
0|2020-03-18|828.0|0|16.0|0|6.0|0
0|2020-03-19|1005.0|0|18.0|0|6.0|0
0|2020-03-20|1243.0|0|24.0|0|6.0|0
0|2020-03-21|1405.0|0|25.0|0|6.0|0
0|2020-03-22|1646.0|0|30.0|0|4.0|0
0|2020-03-23|2108.0|0|39.0|0|4.0|0
0|2020-03-24|2538.0|0|50.0|0|4.0|0
0|2020-03-25|2998.0|0|65.0|0|4.0|0
0|2020-03-26|3899.0|0|81.0|0|4.0|0
0|2020-03-27|4657.0|0|94.0|0|0.0|0
0|2020-03-28|5107.0|0|110.0|0|0.0|0
0|2020-03-29|5852.0|0|124.0|0|0.0|0
0|2020-03-30|7138.0|0|146.0|0|0.0|0
0|2020-03-31|8210.0|0|173.0|0|0.0|0
0|2020-04-01|9399.0|0|199.0|0|0.0|0
0|2020-04-02|10773.0|0|238.0|0|0.0|0
0|2020-04-03|12004.0|0|265.0|0|0.0|0
0|2020-04-04|12837.0|0|289.0|0|0.0|0
0|2020-04-05|15034.0|0|348.0|0|0.0|0
0|2020-04-06|16019.0|0|380.0|0|0.0|0
0|2020-04-07|17351.0|0|432.0|0|0.0|0
0|2020-04-08|18897.0|0|495.0|0|0.0|0
0|2020-04-09|19710.0|0|544.0|0|0.0|0
0|2020-04-10|21081.0|0|583.0|0|0.0|0
0|2020-04-11|21706.0|0|604.0|0|0.0|0
0|2020-04-12|22795.0|0|640.0|0|0.0|0
0|2020-04-13|23931.0|0|714.0|0|0.0|0
0|2020-04-14|25356.0|0|767.0|0|0.0|0
0|2020-04-15|26686.0|0|860.0|0|0.0|0
0|2020-04-16|27677.0|0|956.0|0|0.0|0
0|2020-04-17|29157.0|0|1037.0|0|0.0|0
0|2020-04-18|30491.0|0|1140.0|0|0.0|0
0|2020-04-19|31431.0|0|1177.0|0|0.0|0
0|2020-04-20|33686.0|0|1225.0|0|0.0|0
0|2020-04-21|35465.0|0|1282.0|0|0.0|0
0|2020-04-22|37344.0|0|1421.0|0|0.0|0
0|2020-04-23|39561.0|0|1533.0|0|0.0|0
0|2020-04-24|41355.0|0|1621.0|0|0.0|0
0|2020-04-25|42368.0|0|1689.0|0|0.0|0
0|2020-04-26|43558.0|0|1725.0|0|0.0|0
0|2020-04-27|44966.0|0|1779.0|0|0.0|0
0|2020-04-28|46164.0|0|1864.0|0|0.0|0
0|2020-04-29|48747.0|0|1946.0|0|0.0|0
0|2020-04-30|50130.0|0|2031.0|0|0.0|0
0|2020-05-01|52026.0|0|2126.0|0|0.0|0
0|2020-05-02|53347.0|0|2180.0|0|0.0|0
0|2020-05-03|54903.0|0|2216.0|0|0.0|0
0|2020-05-04|55884.0|0|2278.0|0|0.0|0
0|2020-05-05|58456.0|0|2381.0|0|0.0|0
0|2020-05-06|58456.0|0|2381.0|0|0.0|0
0|2020-05-07|58456.0|0|2381.0|0|0.0|0
0|2020-05-08|58456.0|0|2381.0|0|0.0|0
0|2020-05-09|58456.0|0|2381.0|0|0.0|0
0|2020-05-10|58456.0|0|2381.0|0|0.0|0
0|2020-05-11|58456.0|0|2381.0|0|0.0|0
0|2020-05-12|58456.0|0|2381.0|0|0.0|0
0|2020-05-13|58456.0|0|2381.0|0|0.0|0
