|dates|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|10.0|0|3.0|0|0.0|0
0|2020-03-28|13.0|0|3.0|0|0.0|0
0|2020-03-29|13.0|0|3.0|0|0.0|0
0|2020-03-30|20.0|0|3.0|0|0.0|0
0|2020-03-31|32.0|0|3.0|0|0.0|0
0|2020-04-01|41.0|0|3.0|0|0.0|0
0|2020-04-02|58.0|0|3.0|0|0.0|0
0|2020-04-03|69.0|0|3.0|0|0.0|0
0|2020-04-04|64.0|0|5.0|0|0.0|0
0|2020-04-05|77.0|0|4.0|0|0.0|0
0|2020-04-06|90.0|0|4.0|0|0.0|0
0|2020-04-07|101.0|0|4.0|0|0.0|0
0|2020-04-08|112.0|0|4.0|0|0.0|0
0|2020-04-09|127.0|0|6.0|0|0.0|0
0|2020-04-10|140.0|0|6.0|0|0.0|0
0|2020-04-11|146.0|0|7.0|0|0.0|0
0|2020-04-12|157.0|0|8.0|0|0.0|0
0|2020-04-13|162.0|0|8.0|0|0.0|0
0|2020-04-14|168.0|0|9.0|0|0.0|0
0|2020-04-15|174.0|0|10.0|0|0.0|0
0|2020-04-16|179.0|0|10.0|0|0.0|0
0|2020-04-17|184.0|0|10.0|0|0.0|0
0|2020-04-18|187.0|0|12.0|0|0.0|0
0|2020-04-19|190.0|0|12.0|0|0.0|0
0|2020-04-20|193.0|0|12.0|0|0.0|0
0|2020-04-21|193.0|0|13.0|0|0.0|0
0|2020-04-22|202.0|0|13.0|0|0.0|0
0|2020-04-23|210.0|0|13.0|0|0.0|0
0|2020-04-24|218.0|0|14.0|0|0.0|0
0|2020-04-25|219.0|0|14.0|0|0.0|0
0|2020-04-26|221.0|0|15.0|0|0.0|0
0|2020-04-27|223.0|0|15.0|0|0.0|0
0|2020-04-28|226.0|0|15.0|0|0.0|0
0|2020-04-29|228.0|0|16.0|0|0.0|0
0|2020-04-30|232.0|0|17.0|0|0.0|0
0|2020-05-01|241.0|0|17.0|0|0.0|0
0|2020-05-02|244.0|0|18.0|0|0.0|0
0|2020-05-03|244.0|0|18.0|0|0.0|0
0|2020-05-04|244.0|0|18.0|0|0.0|0
0|2020-05-05|247.0|0|19.0|0|0.0|0
0|2020-05-06|252.0|0|19.0|0|0.0|0
0|2020-05-07|254.0|0|20.0|0|0.0|0
0|2020-05-08|255.0|0|20.0|0|0.0|0
0|2020-05-09|257.0|0|21.0|0|0.0|0
0|2020-05-10|257.0|0|21.0|0|0.0|0
0|2020-05-11|257.0|0|21.0|0|0.0|0
0|2020-05-12|264.0|0|21.0|0|0.0|0
0|2020-05-13|276.0|0|22.0|0|0.0|0
