|dates|Lowndes_Alabama_UnitedStates.JHU_ConfirmedCases.data|Lowndes_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Lowndes_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Lowndes_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Lowndes_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Lowndes_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|1.0|0|0.0|0|0.0|0
0|2020-04-01|1.0|0|0.0|0|0.0|0
0|2020-04-02|2.0|0|0.0|0|0.0|0
0|2020-04-03|2.0|0|0.0|0|0.0|0
0|2020-04-04|3.0|0|0.0|0|0.0|0
0|2020-04-05|6.0|0|0.0|0|0.0|0
0|2020-04-06|6.0|0|0.0|0|0.0|0
0|2020-04-07|8.0|0|0.0|0|0.0|0
0|2020-04-08|10.0|0|0.0|0|0.0|0
0|2020-04-09|12.0|0|0.0|0|0.0|0
0|2020-04-10|12.0|0|0.0|0|0.0|0
0|2020-04-11|14.0|0|0.0|0|0.0|0
0|2020-04-12|14.0|0|0.0|0|0.0|0
0|2020-04-13|15.0|0|0.0|0|0.0|0
0|2020-04-14|19.0|0|0.0|0|0.0|0
0|2020-04-15|20.0|0|0.0|0|0.0|0
0|2020-04-16|24.0|0|0.0|0|0.0|0
0|2020-04-17|25.0|0|0.0|0|0.0|0
0|2020-04-18|27.0|0|0.0|0|0.0|0
0|2020-04-19|28.0|0|0.0|0|0.0|0
0|2020-04-20|31.0|0|0.0|0|0.0|0
0|2020-04-21|32.0|0|0.0|0|0.0|0
0|2020-04-22|32.0|0|1.0|0|0.0|0
0|2020-04-23|34.0|0|1.0|0|0.0|0
0|2020-04-24|36.0|0|1.0|0|0.0|0
0|2020-04-25|36.0|0|1.0|0|0.0|0
0|2020-04-26|38.0|0|1.0|0|0.0|0
0|2020-04-27|39.0|0|1.0|0|0.0|0
0|2020-04-28|53.0|0|1.0|0|0.0|0
0|2020-04-29|57.0|0|1.0|0|0.0|0
0|2020-04-30|65.0|0|1.0|0|0.0|0
0|2020-05-01|67.0|0|1.0|0|0.0|0
0|2020-05-02|70.0|0|1.0|0|0.0|0
0|2020-05-03|71.0|0|1.0|0|0.0|0
0|2020-05-04|75.0|0|1.0|0|0.0|0
0|2020-05-05|80.0|0|3.0|0|0.0|0
0|2020-05-06|82.0|0|5.0|0|0.0|0
0|2020-05-07|85.0|0|5.0|0|0.0|0
0|2020-05-08|88.0|0|5.0|0|0.0|0
0|2020-05-09|96.0|0|5.0|0|0.0|0
0|2020-05-10|99.0|0|5.0|0|0.0|0
0|2020-05-11|99.0|0|5.0|0|0.0|0
0|2020-05-12|111.0|0|7.0|0|0.0|0
0|2020-05-13|111.0|0|8.0|0|0.0|0
