|dates|Rapides_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Rapides_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Rapides_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Rapides_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Rapides_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Rapides_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|8.0|0|1.0|0|0.0|0
0|2020-03-24|10.0|0|1.0|0|0.0|0
0|2020-03-25|14.0|0|1.0|0|0.0|0
0|2020-03-26|25.0|0|1.0|0|0.0|0
0|2020-03-27|26.0|0|1.0|0|0.0|0
0|2020-03-28|37.0|0|1.0|0|0.0|0
0|2020-03-29|41.0|0|1.0|0|0.0|0
0|2020-03-30|44.0|0|1.0|0|0.0|0
0|2020-03-31|58.0|0|3.0|0|0.0|0
0|2020-04-01|69.0|0|4.0|0|0.0|0
0|2020-04-02|77.0|0|3.0|0|0.0|0
0|2020-04-03|81.0|0|4.0|0|0.0|0
0|2020-04-04|97.0|0|4.0|0|0.0|0
0|2020-04-05|100.0|0|4.0|0|0.0|0
0|2020-04-06|110.0|0|4.0|0|0.0|0
0|2020-04-07|129.0|0|4.0|0|0.0|0
0|2020-04-08|135.0|0|4.0|0|0.0|0
0|2020-04-09|148.0|0|4.0|0|0.0|0
0|2020-04-10|156.0|0|4.0|0|0.0|0
0|2020-04-11|159.0|0|5.0|0|0.0|0
0|2020-04-12|165.0|0|5.0|0|0.0|0
0|2020-04-13|168.0|0|5.0|0|0.0|0
0|2020-04-14|175.0|0|5.0|0|0.0|0
0|2020-04-15|179.0|0|7.0|0|0.0|0
0|2020-04-16|192.0|0|7.0|0|0.0|0
0|2020-04-17|196.0|0|7.0|0|0.0|0
0|2020-04-18|201.0|0|7.0|0|0.0|0
0|2020-04-19|210.0|0|7.0|0|0.0|0
0|2020-04-20|210.0|0|7.0|0|0.0|0
0|2020-04-21|213.0|0|7.0|0|0.0|0
0|2020-04-22|217.0|0|7.0|0|0.0|0
0|2020-04-23|220.0|0|8.0|0|0.0|0
0|2020-04-24|228.0|0|8.0|0|0.0|0
0|2020-04-25|239.0|0|8.0|0|0.0|0
0|2020-04-26|247.0|0|8.0|0|0.0|0
0|2020-04-27|249.0|0|9.0|0|0.0|0
0|2020-04-28|255.0|0|10.0|0|0.0|0
0|2020-04-29|259.0|0|10.0|0|0.0|0
0|2020-04-30|265.0|0|10.0|0|0.0|0
0|2020-05-01|270.0|0|10.0|0|0.0|0
0|2020-05-02|273.0|0|10.0|0|0.0|0
0|2020-05-03|281.0|0|10.0|0|0.0|0
0|2020-05-04|300.0|0|10.0|0|0.0|0
0|2020-05-05|308.0|0|11.0|0|0.0|0
0|2020-05-06|316.0|0|11.0|0|0.0|0
0|2020-05-07|316.0|0|11.0|0|0.0|0
0|2020-05-08|338.0|0|11.0|0|0.0|0
0|2020-05-09|351.0|0|12.0|0|0.0|0
0|2020-05-10|362.0|0|13.0|0|0.0|0
0|2020-05-11|362.0|0|13.0|0|0.0|0
0|2020-05-12|376.0|0|13.0|0|0.0|0
0|2020-05-13|394.0|0|13.0|0|0.0|0
