|dates|St.Louis_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.Louis_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.Louis_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.Louis_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.Louis_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.Louis_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|17.0|0|1.0|0|0.0|0
0|2020-03-22|22.0|0|1.0|0|0.0|0
0|2020-03-23|69.0|0|1.0|0|0.0|0
0|2020-03-24|100.0|0|1.0|0|0.0|0
0|2020-03-25|129.0|0|1.0|0|0.0|0
0|2020-03-26|173.0|0|2.0|0|0.0|0
0|2020-03-27|247.0|0|2.0|0|0.0|0
0|2020-03-28|313.0|0|2.0|0|0.0|0
0|2020-03-29|336.0|0|2.0|0|0.0|0
0|2020-03-30|366.0|0|2.0|0|0.0|0
0|2020-03-31|492.0|0|3.0|0|0.0|0
0|2020-04-01|605.0|0|3.0|0|0.0|0
0|2020-04-02|712.0|0|4.0|0|0.0|0
0|2020-04-03|712.0|0|4.0|0|0.0|0
0|2020-04-04|864.0|0|7.0|0|0.0|0
0|2020-04-05|864.0|0|11.0|0|0.0|0
0|2020-04-06|1033.0|0|13.0|0|0.0|0
0|2020-04-07|1203.0|0|14.0|0|0.0|0
0|2020-04-08|1203.0|0|24.0|0|0.0|0
0|2020-04-09|1302.0|0|26.0|0|0.0|0
0|2020-04-10|1498.0|0|33.0|0|0.0|0
0|2020-04-11|1568.0|0|42.0|0|0.0|0
0|2020-04-12|1633.0|0|42.0|0|0.0|0
0|2020-04-13|1724.0|0|42.0|0|0.0|0
0|2020-04-14|1851.0|0|53.0|0|0.0|0
0|2020-04-15|1851.0|0|53.0|0|0.0|0
0|2020-04-16|2026.0|0|66.0|0|0.0|0
0|2020-04-17|2088.0|0|72.0|0|0.0|0
0|2020-04-18|2163.0|0|80.0|0|0.0|0
0|2020-04-19|2235.0|0|81.0|0|0.0|0
0|2020-04-20|2289.0|0|82.0|0|0.0|0
0|2020-04-21|2349.0|0|91.0|0|0.0|0
0|2020-04-22|2436.0|0|97.0|0|0.0|0
0|2020-04-23|2518.0|0|105.0|0|0.0|0
0|2020-04-24|2653.0|0|121.0|0|0.0|0
0|2020-04-25|2720.0|0|127.0|0|0.0|0
0|2020-04-26|2817.0|0|127.0|0|0.0|0
0|2020-04-27|2898.0|0|137.0|0|0.0|0
0|2020-04-28|2965.0|0|159.0|0|0.0|0
0|2020-04-29|3060.0|0|159.0|0|0.0|0
0|2020-04-30|3136.0|0|162.0|0|0.0|0
0|2020-05-01|3253.0|0|168.0|0|0.0|0
0|2020-05-02|3352.0|0|177.0|0|0.0|0
0|2020-05-03|3433.0|0|177.0|0|0.0|0
0|2020-05-04|3521.0|0|177.0|0|0.0|0
0|2020-05-05|3569.0|0|189.0|0|0.0|0
0|2020-05-06|3648.0|0|204.0|0|0.0|0
0|2020-05-07|3724.0|0|220.0|0|0.0|0
0|2020-05-08|3792.0|0|246.0|0|0.0|0
0|2020-05-09|3864.0|0|255.0|0|0.0|0
0|2020-05-10|3932.0|0|262.0|0|0.0|0
0|2020-05-11|3932.0|0|262.0|0|0.0|0
0|2020-05-12|3986.0|0|278.0|0|0.0|0
0|2020-05-13|4022.0|0|293.0|0|0.0|0
