|dates|Osceola_Florida_UnitedStates.JHU_ConfirmedCases.data|Osceola_Florida_UnitedStates.JHU_ConfirmedCases.missing|Osceola_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Osceola_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Osceola_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Osceola_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|6.0|0|0.0|0|0.0|0
0|2020-03-18|8.0|0|0.0|0|0.0|0
0|2020-03-19|13.0|0|0.0|0|0.0|0
0|2020-03-20|13.0|0|0.0|0|0.0|0
0|2020-03-21|21.0|0|0.0|0|0.0|0
0|2020-03-22|24.0|0|0.0|0|0.0|0
0|2020-03-23|25.0|0|0.0|0|0.0|0
0|2020-03-24|26.0|0|0.0|0|0.0|0
0|2020-03-25|35.0|0|0.0|0|0.0|0
0|2020-03-26|42.0|0|0.0|0|0.0|0
0|2020-03-27|53.0|0|0.0|0|0.0|0
0|2020-03-28|66.0|0|0.0|0|0.0|0
0|2020-03-29|83.0|0|0.0|0|0.0|0
0|2020-03-30|94.0|0|0.0|0|0.0|0
0|2020-03-31|110.0|0|1.0|0|0.0|0
0|2020-04-01|115.0|0|1.0|0|0.0|0
0|2020-04-02|170.0|0|4.0|0|0.0|0
0|2020-04-03|201.0|0|4.0|0|0.0|0
0|2020-04-04|216.0|0|4.0|0|0.0|0
0|2020-04-05|229.0|0|4.0|0|0.0|0
0|2020-04-06|239.0|0|4.0|0|0.0|0
0|2020-04-07|254.0|0|4.0|0|0.0|0
0|2020-04-08|272.0|0|4.0|0|0.0|0
0|2020-04-09|295.0|0|4.0|0|0.0|0
0|2020-04-10|300.0|0|5.0|0|0.0|0
0|2020-04-11|317.0|0|5.0|0|0.0|0
0|2020-04-12|323.0|0|5.0|0|0.0|0
0|2020-04-13|333.0|0|5.0|0|0.0|0
0|2020-04-14|349.0|0|5.0|0|0.0|0
0|2020-04-15|361.0|0|5.0|0|0.0|0
0|2020-04-16|384.0|0|5.0|0|0.0|0
0|2020-04-17|392.0|0|5.0|0|0.0|0
0|2020-04-18|403.0|0|5.0|0|0.0|0
0|2020-04-19|409.0|0|5.0|0|0.0|0
0|2020-04-20|410.0|0|5.0|0|0.0|0
0|2020-04-21|417.0|0|6.0|0|0.0|0
0|2020-04-22|423.0|0|6.0|0|0.0|0
0|2020-04-23|449.0|0|7.0|0|0.0|0
0|2020-04-24|461.0|0|7.0|0|0.0|0
0|2020-04-25|463.0|0|7.0|0|0.0|0
0|2020-04-26|463.0|0|7.0|0|0.0|0
0|2020-04-27|470.0|0|7.0|0|0.0|0
0|2020-04-28|474.0|0|7.0|0|0.0|0
0|2020-04-29|479.0|0|7.0|0|0.0|0
0|2020-04-30|478.0|0|7.0|0|0.0|0
0|2020-05-01|486.0|0|7.0|0|0.0|0
0|2020-05-02|504.0|0|8.0|0|0.0|0
0|2020-05-03|509.0|0|8.0|0|0.0|0
0|2020-05-04|516.0|0|8.0|0|0.0|0
0|2020-05-05|514.0|0|9.0|0|0.0|0
0|2020-05-06|529.0|0|11.0|0|0.0|0
0|2020-05-07|544.0|0|11.0|0|0.0|0
0|2020-05-08|554.0|0|12.0|0|0.0|0
0|2020-05-09|564.0|0|12.0|0|0.0|0
0|2020-05-10|572.0|0|12.0|0|0.0|0
0|2020-05-11|572.0|0|12.0|0|0.0|0
0|2020-05-12|580.0|0|15.0|0|0.0|0
0|2020-05-13|586.0|0|16.0|0|0.0|0
