|dates|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|9.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|31.0|0|1.0|0|0.0|0
0|2020-03-24|36.0|0|1.0|0|0.0|0
0|2020-03-25|52.0|0|1.0|0|0.0|0
0|2020-03-26|52.0|0|1.0|0|0.0|0
0|2020-03-27|92.0|0|1.0|0|0.0|0
0|2020-03-28|108.0|0|1.0|0|0.0|0
0|2020-03-29|117.0|0|1.0|0|0.0|0
0|2020-03-30|123.0|0|1.0|0|0.0|0
0|2020-03-31|142.0|0|1.0|0|0.0|0
0|2020-04-01|190.0|0|1.0|0|0.0|0
0|2020-04-02|231.0|0|1.0|0|0.0|0
0|2020-04-03|247.0|0|1.0|0|0.0|0
0|2020-04-04|274.0|0|1.0|0|0.0|0
0|2020-04-05|274.0|0|2.0|0|0.0|0
0|2020-04-06|300.0|0|1.0|0|0.0|0
0|2020-04-07|305.0|0|1.0|0|0.0|0
0|2020-04-08|305.0|0|1.0|0|0.0|0
0|2020-04-09|313.0|0|1.0|0|0.0|0
0|2020-04-10|328.0|0|1.0|0|0.0|0
0|2020-04-11|331.0|0|1.0|0|0.0|0
0|2020-04-12|339.0|0|2.0|0|0.0|0
0|2020-04-13|351.0|0|2.0|0|0.0|0
0|2020-04-14|353.0|0|2.0|0|0.0|0
0|2020-04-15|360.0|0|2.0|0|0.0|0
0|2020-04-16|383.0|0|3.0|0|0.0|0
0|2020-04-17|385.0|0|3.0|0|0.0|0
0|2020-04-18|385.0|0|3.0|0|0.0|0
0|2020-04-19|390.0|0|3.0|0|0.0|0
0|2020-04-20|391.0|0|3.0|0|0.0|0
0|2020-04-21|391.0|0|3.0|0|0.0|0
0|2020-04-22|406.0|0|5.0|0|0.0|0
0|2020-04-23|412.0|0|5.0|0|0.0|0
0|2020-04-24|416.0|0|6.0|0|0.0|0
0|2020-04-25|424.0|0|6.0|0|0.0|0
0|2020-04-26|436.0|0|6.0|0|0.0|0
0|2020-04-27|435.0|0|6.0|0|0.0|0
0|2020-04-28|438.0|0|7.0|0|0.0|0
0|2020-04-29|441.0|0|7.0|0|0.0|0
0|2020-04-30|444.0|0|7.0|0|0.0|0
0|2020-05-01|452.0|0|7.0|0|0.0|0
0|2020-05-02|456.0|0|7.0|0|0.0|0
0|2020-05-03|457.0|0|7.0|0|0.0|0
0|2020-05-04|464.0|0|7.0|0|0.0|0
0|2020-05-05|463.0|0|8.0|0|0.0|0
0|2020-05-06|464.0|0|9.0|0|0.0|0
0|2020-05-07|467.0|0|9.0|0|0.0|0
0|2020-05-08|481.0|0|9.0|0|0.0|0
0|2020-05-09|482.0|0|10.0|0|0.0|0
0|2020-05-10|481.0|0|10.0|0|0.0|0
0|2020-05-11|481.0|0|10.0|0|0.0|0
0|2020-05-12|497.0|0|11.0|0|0.0|0
0|2020-05-13|491.0|0|10.0|0|0.0|0
