|dates|Pima_Arizona_UnitedStates.JHU_ConfirmedCases.data|Pima_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Pima_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Pima_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Pima_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Pima_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|7.0|0|0.0|0|0.0|0
0|2020-03-20|8.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|17.0|0|0.0|0|0.0|0
0|2020-03-23|24.0|0|0.0|0|0.0|0
0|2020-03-24|42.0|0|1.0|0|0.0|0
0|2020-03-25|49.0|0|1.0|0|0.0|0
0|2020-03-26|75.0|0|1.0|0|0.0|0
0|2020-03-27|102.0|0|4.0|0|0.0|0
0|2020-03-28|120.0|0|4.0|0|0.0|0
0|2020-03-29|153.0|0|4.0|0|0.0|0
0|2020-03-30|187.0|0|4.0|0|0.0|0
0|2020-03-31|202.0|0|4.0|0|0.0|0
0|2020-04-01|217.0|0|4.0|0|0.0|0
0|2020-04-02|237.0|0|11.0|0|0.0|0
0|2020-04-03|280.0|0|11.0|0|0.0|0
0|2020-04-04|326.0|0|11.0|0|0.0|0
0|2020-04-05|372.0|0|12.0|0|0.0|0
0|2020-04-06|415.0|0|13.0|0|0.0|0
0|2020-04-07|415.0|0|13.0|0|0.0|0
0|2020-04-08|464.0|0|16.0|0|0.0|0
0|2020-04-09|512.0|0|16.0|0|0.0|0
0|2020-04-10|543.0|0|16.0|0|0.0|0
0|2020-04-11|591.0|0|16.0|0|0.0|0
0|2020-04-12|622.0|0|29.0|0|0.0|0
0|2020-04-13|668.0|0|29.0|0|0.0|0
0|2020-04-14|685.0|0|29.0|0|0.0|0
0|2020-04-15|700.0|0|29.0|0|0.0|0
0|2020-04-16|760.0|0|29.0|0|0.0|0
0|2020-04-17|819.0|0|29.0|0|0.0|0
0|2020-04-18|856.0|0|56.0|0|0.0|0
0|2020-04-19|913.0|0|56.0|0|0.0|0
0|2020-04-20|941.0|0|58.0|0|0.0|0
0|2020-04-21|963.0|0|65.0|0|0.0|0
0|2020-04-22|973.0|0|68.0|0|0.0|0
0|2020-04-23|1026.0|0|70.0|0|0.0|0
0|2020-04-24|1060.0|0|74.0|0|0.0|0
0|2020-04-25|1090.0|0|76.0|0|0.0|0
0|2020-04-26|1136.0|0|76.0|0|0.0|0
0|2020-04-27|1164.0|0|76.0|0|0.0|0
0|2020-04-28|1188.0|0|76.0|0|0.0|0
0|2020-04-29|1215.0|0|80.0|0|0.0|0
0|2020-04-30|1241.0|0|80.0|0|0.0|0
0|2020-05-01|1267.0|0|81.0|0|0.0|0
0|2020-05-02|1300.0|0|81.0|0|0.0|0
0|2020-05-03|1326.0|0|81.0|0|0.0|0
0|2020-05-04|1346.0|0|81.0|0|0.0|0
0|2020-05-05|1379.0|0|105.0|0|0.0|0
0|2020-05-06|1425.0|0|116.0|0|0.0|0
0|2020-05-07|1465.0|0|118.0|0|0.0|0
0|2020-05-08|1520.0|0|131.0|0|0.0|0
0|2020-05-09|1554.0|0|133.0|0|0.0|0
0|2020-05-10|1585.0|0|134.0|0|0.0|0
0|2020-05-11|1585.0|0|134.0|0|0.0|0
0|2020-05-12|1623.0|0|136.0|0|0.0|0
0|2020-05-13|1661.0|0|144.0|0|0.0|0
