|dates|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|14.0|0|0.0|0|0.0|0
0|2020-03-24|16.0|0|0.0|0|0.0|0
0|2020-03-25|20.0|0|0.0|0|0.0|0
0|2020-03-26|36.0|0|0.0|0|0.0|0
0|2020-03-27|65.0|0|0.0|0|0.0|0
0|2020-03-28|65.0|0|0.0|0|0.0|0
0|2020-03-29|68.0|0|0.0|0|0.0|0
0|2020-03-30|82.0|0|0.0|0|0.0|0
0|2020-03-31|110.0|0|0.0|0|0.0|0
0|2020-04-01|151.0|0|0.0|0|0.0|0
0|2020-04-02|168.0|0|1.0|0|0.0|0
0|2020-04-03|201.0|0|1.0|0|0.0|0
0|2020-04-04|235.0|0|2.0|0|0.0|0
0|2020-04-05|276.0|0|3.0|0|0.0|0
0|2020-04-06|326.0|0|3.0|0|0.0|0
0|2020-04-07|369.0|0|4.0|0|0.0|0
0|2020-04-08|416.0|0|12.0|0|0.0|0
0|2020-04-09|616.0|0|12.0|0|0.0|0
0|2020-04-10|720.0|0|12.0|0|0.0|0
0|2020-04-11|930.0|0|19.0|0|0.0|0
0|2020-04-12|1035.0|0|20.0|0|0.0|0
0|2020-04-13|1150.0|0|21.0|0|0.0|0
0|2020-04-14|1247.0|0|27.0|0|0.0|0
0|2020-04-15|1335.0|0|28.0|0|0.0|0
0|2020-04-16|1419.0|0|31.0|0|0.0|0
0|2020-04-17|1537.0|0|34.0|0|0.0|0
0|2020-04-18|1748.0|0|40.0|0|0.0|0
0|2020-04-19|1898.0|0|65.0|0|0.0|0
0|2020-04-20|1945.0|0|74.0|0|0.0|0
0|2020-04-21|1988.0|0|82.0|0|0.0|0
0|2020-04-22|2069.0|0|85.0|0|0.0|0
0|2020-04-23|2212.0|0|86.0|0|0.0|0
0|2020-04-24|2339.0|0|87.0|0|0.0|0
0|2020-04-25|2406.0|0|88.0|0|0.0|0
0|2020-04-26|2491.0|0|88.0|0|0.0|0
0|2020-04-27|2526.0|0|89.0|0|0.0|0
0|2020-04-28|2605.0|0|91.0|0|0.0|0
0|2020-04-29|2637.0|0|116.0|0|0.0|0
0|2020-04-30|2698.0|0|117.0|0|0.0|0
0|2020-05-01|2748.0|0|117.0|0|0.0|0
0|2020-05-02|2810.0|0|118.0|0|0.0|0
0|2020-05-03|2886.0|0|118.0|0|0.0|0
0|2020-05-04|2948.0|0|118.0|0|0.0|0
0|2020-05-05|3004.0|0|147.0|0|0.0|0
0|2020-05-06|3048.0|0|148.0|0|0.0|0
0|2020-05-07|3095.0|0|168.0|0|0.0|0
0|2020-05-08|3190.0|0|168.0|0|0.0|0
0|2020-05-09|3257.0|0|169.0|0|0.0|0
0|2020-05-10|3371.0|0|170.0|0|0.0|0
0|2020-05-11|3371.0|0|170.0|0|0.0|0
0|2020-05-12|3453.0|0|172.0|0|0.0|0
0|2020-05-13|3485.0|0|179.0|0|0.0|0
