|dates|NewHaven_Connecticut_UnitedStates.JHU_ConfirmedCases.data|NewHaven_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|NewHaven_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|NewHaven_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|NewHaven_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|NewHaven_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|23.0|0|0.0|0|0.0|0
0|2020-03-20|23.0|0|0.0|0|0.0|0
0|2020-03-21|23.0|0|0.0|0|0.0|0
0|2020-03-22|29.0|0|0.0|0|0.0|0
0|2020-03-23|41.0|0|0.0|0|0.0|0
0|2020-03-24|89.0|0|0.0|0|0.0|0
0|2020-03-25|127.0|0|2.0|0|0.0|0
0|2020-03-26|156.0|0|2.0|0|0.0|0
0|2020-03-27|222.0|0|6.0|0|0.0|0
0|2020-03-28|236.0|0|6.0|0|0.0|0
0|2020-03-29|280.0|0|6.0|0|0.0|0
0|2020-03-30|373.0|0|6.0|0|0.0|0
0|2020-03-31|517.0|0|12.0|0|0.0|0
0|2020-04-01|611.0|0|15.0|0|0.0|0
0|2020-04-02|647.0|0|17.0|0|0.0|0
0|2020-04-03|891.0|0|18.0|0|0.0|0
0|2020-04-04|1024.0|0|29.0|0|0.0|0
0|2020-04-05|1162.0|0|36.0|0|0.0|0
0|2020-04-06|1468.0|0|41.0|0|0.0|0
0|2020-04-07|1664.0|0|60.0|0|0.0|0
0|2020-04-08|1664.0|0|60.0|0|0.0|0
0|2020-04-09|2183.0|0|78.0|0|0.0|0
0|2020-04-10|2383.0|0|98.0|0|0.0|0
0|2020-04-11|2715.0|0|107.0|0|0.0|0
0|2020-04-12|2946.0|0|119.0|0|0.0|0
0|2020-04-13|3358.0|0|135.0|0|0.0|0
0|2020-04-14|3543.0|0|151.0|0|0.0|0
0|2020-04-15|3758.0|0|195.0|0|0.0|0
0|2020-04-16|4163.0|0|214.0|0|0.0|0
0|2020-04-17|4520.0|0|229.0|0|0.0|0
0|2020-04-18|4743.0|0|241.0|0|0.0|0
0|2020-04-19|4871.0|0|257.0|0|0.0|0
0|2020-04-20|5272.0|0|301.0|0|0.0|0
0|2020-04-21|5493.0|0|322.0|0|0.0|0
0|2020-04-22|5811.0|0|345.0|0|0.0|0
0|2020-04-23|6064.0|0|372.0|0|0.0|0
0|2020-04-24|6286.0|0|396.0|0|0.0|0
0|2020-04-25|6509.0|0|416.0|0|0.0|0
0|2020-04-26|6715.0|0|429.0|0|0.0|0
0|2020-04-27|6993.0|0|456.0|0|0.0|0
0|2020-04-28|7089.0|0|478.0|0|0.0|0
0|2020-04-29|7205.0|0|493.0|0|0.0|0
0|2020-04-30|7536.0|0|512.0|0|0.0|0
0|2020-05-01|7900.0|0|533.0|0|0.0|0
0|2020-05-02|8024.0|0|565.0|0|0.0|0
0|2020-05-03|8024.0|0|565.0|0|0.0|0
0|2020-05-04|8110.0|0|595.0|0|0.0|0
0|2020-05-05|8337.0|0|610.0|0|0.0|0
0|2020-05-06|8419.0|0|629.0|0|0.0|0
0|2020-05-07|8678.0|0|643.0|0|0.0|0
0|2020-05-08|8887.0|0|669.0|0|0.0|0
0|2020-05-09|9091.0|0|686.0|0|0.0|0
0|2020-05-10|9209.0|0|701.0|0|0.0|0
0|2020-05-11|9209.0|0|701.0|0|0.0|0
0|2020-05-12|9430.0|0|723.0|0|0.0|0
0|2020-05-13|9570.0|0|745.0|0|0.0|0
