|dates|Charlotte_Florida_UnitedStates.JHU_ConfirmedCases.data|Charlotte_Florida_UnitedStates.JHU_ConfirmedCases.missing|Charlotte_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Charlotte_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Charlotte_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Charlotte_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|16.0|0|0.0|0|0.0|0
0|2020-03-30|18.0|0|0.0|0|0.0|0
0|2020-03-31|24.0|0|0.0|0|0.0|0
0|2020-04-01|24.0|0|0.0|0|0.0|0
0|2020-04-02|38.0|0|0.0|0|0.0|0
0|2020-04-03|43.0|0|1.0|0|0.0|0
0|2020-04-04|46.0|0|1.0|0|0.0|0
0|2020-04-05|47.0|0|1.0|0|0.0|0
0|2020-04-06|55.0|0|1.0|0|0.0|0
0|2020-04-07|67.0|0|1.0|0|0.0|0
0|2020-04-08|76.0|0|1.0|0|0.0|0
0|2020-04-09|79.0|0|1.0|0|0.0|0
0|2020-04-10|85.0|0|4.0|0|0.0|0
0|2020-04-11|107.0|0|5.0|0|0.0|0
0|2020-04-12|113.0|0|5.0|0|0.0|0
0|2020-04-13|119.0|0|5.0|0|0.0|0
0|2020-04-14|123.0|0|5.0|0|0.0|0
0|2020-04-15|124.0|0|5.0|0|0.0|0
0|2020-04-16|127.0|0|7.0|0|0.0|0
0|2020-04-17|131.0|0|9.0|0|0.0|0
0|2020-04-18|138.0|0|9.0|0|0.0|0
0|2020-04-19|138.0|0|9.0|0|0.0|0
0|2020-04-20|139.0|0|11.0|0|0.0|0
0|2020-04-21|143.0|0|11.0|0|0.0|0
0|2020-04-22|148.0|0|11.0|0|0.0|0
0|2020-04-23|178.0|0|12.0|0|0.0|0
0|2020-04-24|199.0|0|14.0|0|0.0|0
0|2020-04-25|202.0|0|14.0|0|0.0|0
0|2020-04-26|203.0|0|14.0|0|0.0|0
0|2020-04-27|211.0|0|14.0|0|0.0|0
0|2020-04-28|219.0|0|15.0|0|0.0|0
0|2020-04-29|223.0|0|18.0|0|0.0|0
0|2020-04-30|236.0|0|19.0|0|0.0|0
0|2020-05-01|245.0|0|22.0|0|0.0|0
0|2020-05-02|244.0|0|25.0|0|0.0|0
0|2020-05-03|249.0|0|25.0|0|0.0|0
0|2020-05-04|257.0|0|25.0|0|0.0|0
0|2020-05-05|269.0|0|26.0|0|0.0|0
0|2020-05-06|294.0|0|29.0|0|0.0|0
0|2020-05-07|304.0|0|30.0|0|0.0|0
0|2020-05-08|312.0|0|31.0|0|0.0|0
0|2020-05-09|317.0|0|33.0|0|0.0|0
0|2020-05-10|329.0|0|33.0|0|0.0|0
0|2020-05-11|329.0|0|33.0|0|0.0|0
0|2020-05-12|347.0|0|35.0|0|0.0|0
0|2020-05-13|350.0|0|37.0|0|0.0|0
