|dates|Ventura_California_UnitedStates.JHU_ConfirmedCases.data|Ventura_California_UnitedStates.JHU_ConfirmedCases.missing|Ventura_California_UnitedStates.JHU_ConfirmedDeaths.data|Ventura_California_UnitedStates.JHU_ConfirmedDeaths.missing|Ventura_California_UnitedStates.JHU_ConfirmedRecoveries.data|Ventura_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|10.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|13.0|0|0.0|0|0.0|0
0|2020-03-20|19.0|0|0.0|0|0.0|0
0|2020-03-21|19.0|0|0.0|0|0.0|0
0|2020-03-22|25.0|0|0.0|0|0.0|0
0|2020-03-23|30.0|0|1.0|0|0.0|0
0|2020-03-24|35.0|0|1.0|0|0.0|0
0|2020-03-25|39.0|0|1.0|0|0.0|0
0|2020-03-26|50.0|0|1.0|0|0.0|0
0|2020-03-27|61.0|0|1.0|0|0.0|0
0|2020-03-28|83.0|0|3.0|0|0.0|0
0|2020-03-29|98.0|0|3.0|0|0.0|0
0|2020-03-30|109.0|0|4.0|0|0.0|0
0|2020-03-31|126.0|0|4.0|0|0.0|0
0|2020-04-01|149.0|0|5.0|0|0.0|0
0|2020-04-02|160.0|0|5.0|0|0.0|0
0|2020-04-03|177.0|0|6.0|0|0.0|0
0|2020-04-04|203.0|0|6.0|0|0.0|0
0|2020-04-05|221.0|0|6.0|0|0.0|0
0|2020-04-06|221.0|0|6.0|0|0.0|0
0|2020-04-07|243.0|0|6.0|0|0.0|0
0|2020-04-08|263.0|0|7.0|0|0.0|0
0|2020-04-09|274.0|0|7.0|0|0.0|0
0|2020-04-10|298.0|0|10.0|0|0.0|0
0|2020-04-11|298.0|0|10.0|0|0.0|0
0|2020-04-12|309.0|0|10.0|0|0.0|0
0|2020-04-13|314.0|0|10.0|0|0.0|0
0|2020-04-14|317.0|0|10.0|0|0.0|0
0|2020-04-15|365.0|0|13.0|0|0.0|0
0|2020-04-16|384.0|0|13.0|0|0.0|0
0|2020-04-17|396.0|0|13.0|0|0.0|0
0|2020-04-18|396.0|0|13.0|0|0.0|0
0|2020-04-19|422.0|0|13.0|0|0.0|0
0|2020-04-20|428.0|0|13.0|0|0.0|0
0|2020-04-21|428.0|0|13.0|0|0.0|0
0|2020-04-22|443.0|0|13.0|0|0.0|0
0|2020-04-23|465.0|0|16.0|0|0.0|0
0|2020-04-24|476.0|0|16.0|0|0.0|0
0|2020-04-25|476.0|0|16.0|0|0.0|0
0|2020-04-26|496.0|0|16.0|0|0.0|0
0|2020-04-27|497.0|0|17.0|0|0.0|0
0|2020-04-28|508.0|0|17.0|0|0.0|0
0|2020-04-29|517.0|0|17.0|0|0.0|0
0|2020-04-30|535.0|0|18.0|0|0.0|0
0|2020-05-01|544.0|0|18.0|0|0.0|0
0|2020-05-02|559.0|0|19.0|0|0.0|0
0|2020-05-03|566.0|0|19.0|0|0.0|0
0|2020-05-04|577.0|0|19.0|0|0.0|0
0|2020-05-05|595.0|0|19.0|0|0.0|0
0|2020-05-06|608.0|0|19.0|0|0.0|0
0|2020-05-07|631.0|0|19.0|0|0.0|0
0|2020-05-08|631.0|0|19.0|0|0.0|0
0|2020-05-09|652.0|0|19.0|0|0.0|0
0|2020-05-10|666.0|0|19.0|0|0.0|0
0|2020-05-11|666.0|0|19.0|0|0.0|0
0|2020-05-12|698.0|0|19.0|0|0.0|0
0|2020-05-13|725.0|0|24.0|0|0.0|0
