|dates|Imperial_California_UnitedStates.JHU_ConfirmedCases.data|Imperial_California_UnitedStates.JHU_ConfirmedCases.missing|Imperial_California_UnitedStates.JHU_ConfirmedDeaths.data|Imperial_California_UnitedStates.JHU_ConfirmedDeaths.missing|Imperial_California_UnitedStates.JHU_ConfirmedRecoveries.data|Imperial_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|9.0|0|0.0|0|0.0|0
0|2020-03-26|9.0|0|0.0|0|0.0|0
0|2020-03-27|17.0|0|0.0|0|0.0|0
0|2020-03-28|21.0|0|0.0|0|0.0|0
0|2020-03-29|25.0|0|0.0|0|0.0|0
0|2020-03-30|25.0|0|0.0|0|0.0|0
0|2020-03-31|33.0|0|0.0|0|0.0|0
0|2020-04-01|38.0|0|0.0|0|0.0|0
0|2020-04-02|43.0|0|1.0|0|0.0|0
0|2020-04-03|52.0|0|1.0|0|0.0|0
0|2020-04-04|55.0|0|1.0|0|0.0|0
0|2020-04-05|57.0|0|2.0|0|0.0|0
0|2020-04-06|65.0|0|3.0|0|0.0|0
0|2020-04-07|68.0|0|3.0|0|0.0|0
0|2020-04-08|73.0|0|3.0|0|0.0|0
0|2020-04-09|75.0|0|3.0|0|0.0|0
0|2020-04-10|79.0|0|3.0|0|0.0|0
0|2020-04-11|79.0|0|3.0|0|0.0|0
0|2020-04-12|87.0|0|3.0|0|0.0|0
0|2020-04-13|87.0|0|3.0|0|0.0|0
0|2020-04-14|100.0|0|3.0|0|0.0|0
0|2020-04-15|117.0|0|3.0|0|0.0|0
0|2020-04-16|127.0|0|3.0|0|0.0|0
0|2020-04-17|143.0|0|3.0|0|0.0|0
0|2020-04-18|155.0|0|3.0|0|0.0|0
0|2020-04-19|155.0|0|3.0|0|0.0|0
0|2020-04-20|160.0|0|3.0|0|0.0|0
0|2020-04-21|175.0|0|4.0|0|0.0|0
0|2020-04-22|195.0|0|5.0|0|0.0|0
0|2020-04-23|232.0|0|8.0|0|0.0|0
0|2020-04-24|251.0|0|8.0|0|0.0|0
0|2020-04-25|251.0|0|8.0|0|0.0|0
0|2020-04-26|251.0|0|8.0|0|0.0|0
0|2020-04-27|281.0|0|8.0|0|0.0|0
0|2020-04-28|284.0|0|8.0|0|0.0|0
0|2020-04-29|319.0|0|8.0|0|0.0|0
0|2020-04-30|319.0|0|8.0|0|0.0|0
0|2020-05-01|333.0|0|9.0|0|0.0|0
0|2020-05-02|358.0|0|9.0|0|0.0|0
0|2020-05-03|358.0|0|9.0|0|0.0|0
0|2020-05-04|368.0|0|9.0|0|0.0|0
0|2020-05-05|400.0|0|9.0|0|0.0|0
0|2020-05-06|419.0|0|10.0|0|0.0|0
0|2020-05-07|455.0|0|11.0|0|0.0|0
0|2020-05-08|512.0|0|12.0|0|0.0|0
0|2020-05-09|512.0|0|12.0|0|0.0|0
0|2020-05-10|512.0|0|12.0|0|0.0|0
0|2020-05-11|512.0|0|12.0|0|0.0|0
0|2020-05-12|603.0|0|13.0|0|0.0|0
0|2020-05-13|647.0|0|14.0|0|0.0|0
