|dates|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|7.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|12.0|0|0.0|0|0.0|0
0|2020-04-01|13.0|0|0.0|0|0.0|0
0|2020-04-02|13.0|0|0.0|0|0.0|0
0|2020-04-03|17.0|0|0.0|0|0.0|0
0|2020-04-04|17.0|0|0.0|0|0.0|0
0|2020-04-05|18.0|0|0.0|0|0.0|0
0|2020-04-06|19.0|0|0.0|0|0.0|0
0|2020-04-07|22.0|0|0.0|0|0.0|0
0|2020-04-08|24.0|0|0.0|0|0.0|0
0|2020-04-09|28.0|0|0.0|0|0.0|0
0|2020-04-10|33.0|0|0.0|0|0.0|0
0|2020-04-11|37.0|0|0.0|0|0.0|0
0|2020-04-12|39.0|0|0.0|0|0.0|0
0|2020-04-13|39.0|0|0.0|0|0.0|0
0|2020-04-14|42.0|0|0.0|0|0.0|0
0|2020-04-15|41.0|0|0.0|0|0.0|0
0|2020-04-16|43.0|0|0.0|0|0.0|0
0|2020-04-17|47.0|0|2.0|0|0.0|0
0|2020-04-18|49.0|0|2.0|0|0.0|0
0|2020-04-19|49.0|0|2.0|0|0.0|0
0|2020-04-20|51.0|0|2.0|0|0.0|0
0|2020-04-21|52.0|0|2.0|0|0.0|0
0|2020-04-22|58.0|0|2.0|0|0.0|0
0|2020-04-23|62.0|0|3.0|0|0.0|0
0|2020-04-24|64.0|0|4.0|0|0.0|0
0|2020-04-25|69.0|0|4.0|0|0.0|0
0|2020-04-26|72.0|0|4.0|0|0.0|0
0|2020-04-27|79.0|0|4.0|0|0.0|0
0|2020-04-28|80.0|0|5.0|0|0.0|0
0|2020-04-29|83.0|0|7.0|0|0.0|0
0|2020-04-30|85.0|0|8.0|0|0.0|0
0|2020-05-01|85.0|0|8.0|0|0.0|0
0|2020-05-02|88.0|0|9.0|0|0.0|0
0|2020-05-03|90.0|0|9.0|0|0.0|0
0|2020-05-04|94.0|0|9.0|0|0.0|0
0|2020-05-05|96.0|0|10.0|0|0.0|0
0|2020-05-06|99.0|0|11.0|0|0.0|0
0|2020-05-07|101.0|0|11.0|0|0.0|0
0|2020-05-08|103.0|0|11.0|0|0.0|0
0|2020-05-09|106.0|0|11.0|0|0.0|0
0|2020-05-10|106.0|0|11.0|0|0.0|0
0|2020-05-11|106.0|0|11.0|0|0.0|0
0|2020-05-12|107.0|0|12.0|0|0.0|0
0|2020-05-13|115.0|0|13.0|0|0.0|0
