|dates|Webster_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Webster_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Webster_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Webster_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Webster_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Webster_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|8.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|16.0|0|0.0|0|0.0|0
0|2020-03-23|16.0|0|0.0|0|0.0|0
0|2020-03-24|22.0|0|0.0|0|0.0|0
0|2020-03-25|39.0|0|0.0|0|0.0|0
0|2020-03-26|52.0|0|0.0|0|0.0|0
0|2020-03-27|76.0|0|0.0|0|0.0|0
0|2020-03-28|96.0|0|0.0|0|0.0|0
0|2020-03-29|113.0|0|0.0|0|0.0|0
0|2020-03-30|145.0|0|1.0|0|0.0|0
0|2020-03-31|162.0|0|1.0|0|0.0|0
0|2020-04-01|191.0|0|1.0|0|0.0|0
0|2020-04-02|216.0|0|2.0|0|0.0|0
0|2020-04-03|237.0|0|2.0|0|0.0|0
0|2020-04-04|282.0|0|2.0|0|0.0|0
0|2020-04-05|324.0|0|3.0|0|0.0|0
0|2020-04-06|345.0|0|4.0|0|0.0|0
0|2020-04-07|412.0|0|4.0|0|0.0|0
0|2020-04-08|483.0|0|4.0|0|0.0|0
0|2020-04-09|514.0|0|5.0|0|0.0|0
0|2020-04-10|574.0|0|5.0|0|0.0|0
0|2020-04-11|577.0|0|5.0|0|0.0|0
0|2020-04-12|593.0|0|6.0|0|0.0|0
0|2020-04-13|611.0|0|8.0|0|0.0|0
0|2020-04-14|640.0|0|9.0|0|0.0|0
0|2020-04-15|702.0|0|10.0|0|0.0|0
0|2020-04-16|728.0|0|12.0|0|0.0|0
0|2020-04-17|775.0|0|16.0|0|0.0|0
0|2020-04-18|785.0|0|16.0|0|0.0|0
0|2020-04-19|890.0|0|18.0|0|0.0|0
0|2020-04-20|902.0|0|24.0|0|0.0|0
0|2020-04-21|908.0|0|26.0|0|0.0|0
0|2020-04-22|939.0|0|27.0|0|0.0|0
0|2020-04-23|981.0|0|31.0|0|0.0|0
0|2020-04-24|1010.0|0|32.0|0|0.0|0
0|2020-04-25|1010.0|0|32.0|0|0.0|0
0|2020-04-26|1055.0|0|34.0|0|0.0|0
0|2020-04-27|1063.0|0|34.0|0|0.0|0
0|2020-04-28|1095.0|0|38.0|0|0.0|0
0|2020-04-29|1110.0|0|38.0|0|0.0|0
0|2020-04-30|1125.0|0|41.0|0|0.0|0
0|2020-05-01|1152.0|0|46.0|0|0.0|0
0|2020-05-02|1185.0|0|48.0|0|0.0|0
0|2020-05-03|1195.0|0|48.0|0|0.0|0
0|2020-05-04|1224.0|0|48.0|0|0.0|0
0|2020-05-05|1246.0|0|48.0|0|0.0|0
0|2020-05-06|1246.0|0|48.0|0|0.0|0
0|2020-05-07|1246.0|0|48.0|0|0.0|0
0|2020-05-08|1246.0|0|48.0|0|0.0|0
0|2020-05-09|1246.0|0|48.0|0|0.0|0
0|2020-05-10|1246.0|0|48.0|0|0.0|0
0|2020-05-11|1246.0|0|48.0|0|0.0|0
0|2020-05-12|1246.0|0|48.0|0|0.0|0
0|2020-05-13|1246.0|0|48.0|0|0.0|0
0|2020-05-14|1246.0|0|48.0|0|0.0|0
0|2020-05-15|1246.0|0|48.0|0|0.0|0
0|2020-05-16|1246.0|0|48.0|0|0.0|0
