|dates|Marin_California_UnitedStates.JHU_ConfirmedCases.data|Marin_California_UnitedStates.JHU_ConfirmedCases.missing|Marin_California_UnitedStates.JHU_ConfirmedDeaths.data|Marin_California_UnitedStates.JHU_ConfirmedDeaths.missing|Marin_California_UnitedStates.JHU_ConfirmedRecoveries.data|Marin_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|9.0|0|0.0|0|0.0|0
0|2020-03-17|11.0|0|0.0|0|0.0|0
0|2020-03-18|15.0|0|0.0|0|0.0|0
0|2020-03-19|15.0|0|0.0|0|0.0|0
0|2020-03-20|38.0|0|0.0|0|0.0|0
0|2020-03-21|38.0|0|0.0|0|0.0|0
0|2020-03-22|38.0|0|0.0|0|0.0|0
0|2020-03-23|38.0|0|0.0|0|0.0|0
0|2020-03-24|47.0|0|0.0|0|0.0|0
0|2020-03-25|53.0|0|0.0|0|0.0|0
0|2020-03-26|60.0|0|0.0|0|0.0|0
0|2020-03-27|65.0|0|0.0|0|0.0|0
0|2020-03-28|68.0|0|1.0|0|0.0|0
0|2020-03-29|74.0|0|1.0|0|0.0|0
0|2020-03-30|93.0|0|1.0|0|0.0|0
0|2020-03-31|99.0|0|4.0|0|0.0|0
0|2020-04-01|107.0|0|4.0|0|0.0|0
0|2020-04-02|108.0|0|6.0|0|0.0|0
0|2020-04-03|118.0|0|6.0|0|0.0|0
0|2020-04-04|131.0|0|6.0|0|0.0|0
0|2020-04-05|137.0|0|7.0|0|0.0|0
0|2020-04-06|141.0|0|7.0|0|0.0|0
0|2020-04-07|143.0|0|9.0|0|0.0|0
0|2020-04-08|148.0|0|10.0|0|0.0|0
0|2020-04-09|149.0|0|10.0|0|0.0|0
0|2020-04-10|154.0|0|10.0|0|0.0|0
0|2020-04-11|154.0|0|10.0|0|0.0|0
0|2020-04-12|153.0|0|10.0|0|0.0|0
0|2020-04-13|164.0|0|10.0|0|0.0|0
0|2020-04-14|170.0|0|10.0|0|0.0|0
0|2020-04-15|171.0|0|10.0|0|0.0|0
0|2020-04-16|184.0|0|10.0|0|0.0|0
0|2020-04-17|187.0|0|10.0|0|0.0|0
0|2020-04-18|187.0|0|10.0|0|0.0|0
0|2020-04-19|189.0|0|10.0|0|0.0|0
0|2020-04-20|195.0|0|10.0|0|0.0|0
0|2020-04-21|199.0|0|10.0|0|0.0|0
0|2020-04-22|200.0|0|10.0|0|0.0|0
0|2020-04-23|209.0|0|11.0|0|0.0|0
0|2020-04-24|212.0|0|12.0|0|0.0|0
0|2020-04-25|212.0|0|12.0|0|0.0|0
0|2020-04-26|223.0|0|12.0|0|0.0|0
0|2020-04-27|224.0|0|12.0|0|0.0|0
0|2020-04-28|224.0|0|12.0|0|0.0|0
0|2020-04-29|226.0|0|12.0|0|0.0|0
0|2020-04-30|235.0|0|13.0|0|0.0|0
0|2020-05-01|237.0|0|13.0|0|0.0|0
0|2020-05-02|239.0|0|13.0|0|0.0|0
0|2020-05-03|240.0|0|13.0|0|0.0|0
0|2020-05-04|240.0|0|13.0|0|0.0|0
0|2020-05-05|241.0|0|13.0|0|0.0|0
0|2020-05-06|247.0|0|14.0|0|0.0|0
0|2020-05-07|247.0|0|14.0|0|0.0|0
0|2020-05-08|255.0|0|14.0|0|0.0|0
0|2020-05-09|257.0|0|14.0|0|0.0|0
0|2020-05-10|259.0|0|14.0|0|0.0|0
0|2020-05-11|259.0|0|14.0|0|0.0|0
0|2020-05-12|271.0|0|14.0|0|0.0|0
0|2020-05-13|271.0|0|14.0|0|0.0|0
