|dates|Saginaw_Michigan_UnitedStates.JHU_ConfirmedCases.data|Saginaw_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Saginaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Saginaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Saginaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Saginaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|9.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|14.0|0|0.0|0|0.0|0
0|2020-03-28|19.0|0|0.0|0|0.0|0
0|2020-03-29|24.0|0|0.0|0|0.0|0
0|2020-03-30|36.0|0|0.0|0|0.0|0
0|2020-03-31|51.0|0|0.0|0|0.0|0
0|2020-04-01|71.0|0|0.0|0|0.0|0
0|2020-04-02|82.0|0|0.0|0|0.0|0
0|2020-04-03|90.0|0|0.0|0|0.0|0
0|2020-04-04|103.0|0|0.0|0|0.0|0
0|2020-04-05|118.0|0|0.0|0|0.0|0
0|2020-04-06|139.0|0|2.0|0|0.0|0
0|2020-04-07|153.0|0|3.0|0|0.0|0
0|2020-04-08|186.0|0|6.0|0|0.0|0
0|2020-04-09|205.0|0|7.0|0|0.0|0
0|2020-04-10|240.0|0|9.0|0|0.0|0
0|2020-04-11|254.0|0|9.0|0|0.0|0
0|2020-04-12|274.0|0|9.0|0|0.0|0
0|2020-04-13|293.0|0|13.0|0|0.0|0
0|2020-04-14|302.0|0|17.0|0|0.0|0
0|2020-04-15|313.0|0|19.0|0|0.0|0
0|2020-04-16|349.0|0|20.0|0|0.0|0
0|2020-04-17|369.0|0|24.0|0|0.0|0
0|2020-04-18|394.0|0|24.0|0|0.0|0
0|2020-04-19|404.0|0|24.0|0|0.0|0
0|2020-04-20|419.0|0|29.0|0|0.0|0
0|2020-04-21|433.0|0|32.0|0|0.0|0
0|2020-04-22|474.0|0|35.0|0|0.0|0
0|2020-04-23|507.0|0|38.0|0|0.0|0
0|2020-04-24|534.0|0|40.0|0|0.0|0
0|2020-04-25|545.0|0|43.0|0|0.0|0
0|2020-04-26|558.0|0|43.0|0|0.0|0
0|2020-04-27|586.0|0|47.0|0|0.0|0
0|2020-04-28|609.0|0|52.0|0|0.0|0
0|2020-04-29|632.0|0|56.0|0|0.0|0
0|2020-04-30|663.0|0|59.0|0|0.0|0
0|2020-05-01|684.0|0|63.0|0|0.0|0
0|2020-05-02|700.0|0|66.0|0|0.0|0
0|2020-05-03|720.0|0|66.0|0|0.0|0
0|2020-05-04|728.0|0|68.0|0|0.0|0
0|2020-05-05|742.0|0|70.0|0|0.0|0
0|2020-05-06|760.0|0|74.0|0|0.0|0
0|2020-05-07|772.0|0|78.0|0|0.0|0
0|2020-05-08|779.0|0|79.0|0|0.0|0
0|2020-05-09|780.0|0|83.0|0|0.0|0
0|2020-05-10|789.0|0|83.0|0|0.0|0
0|2020-05-11|789.0|0|83.0|0|0.0|0
0|2020-05-12|829.0|0|87.0|0|0.0|0
0|2020-05-13|849.0|0|90.0|0|0.0|0
