|dates|Marion_Indiana_UnitedStates.JHU_ConfirmedCases.data|Marion_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Marion_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|1.0|0|0.0|0
0|2020-03-17|9.0|0|1.0|0|0.0|0
0|2020-03-18|11.0|0|1.0|0|0.0|0
0|2020-03-19|19.0|0|1.0|0|0.0|0
0|2020-03-20|25.0|0|2.0|0|0.0|0
0|2020-03-21|46.0|0|2.0|0|0.0|0
0|2020-03-22|82.0|0|3.0|0|0.0|0
0|2020-03-23|82.0|0|3.0|0|0.0|0
0|2020-03-24|161.0|0|6.0|0|0.0|0
0|2020-03-25|226.0|0|6.0|0|0.0|0
0|2020-03-26|293.0|0|6.0|0|0.0|0
0|2020-03-27|484.0|0|8.0|0|0.0|0
0|2020-03-28|584.0|0|10.0|0|0.0|0
0|2020-03-29|676.0|0|10.0|0|0.0|0
0|2020-03-30|804.0|0|12.0|0|0.0|0
0|2020-03-31|964.0|0|17.0|0|0.0|0
0|2020-04-01|1117.0|0|21.0|0|0.0|0
0|2020-04-02|1304.0|0|24.0|0|0.0|0
0|2020-04-03|1429.0|0|33.0|0|0.0|0
0|2020-04-04|1570.0|0|34.0|0|0.0|0
0|2020-04-05|1760.0|0|37.0|0|0.0|0
0|2020-04-06|1956.0|0|37.0|0|0.0|0
0|2020-04-07|2141.0|0|48.0|0|0.0|0
0|2020-04-08|2290.0|0|58.0|0|0.0|0
0|2020-04-09|2415.0|0|81.0|0|0.0|0
0|2020-04-10|2600.0|0|107.0|0|0.0|0
0|2020-04-11|2742.0|0|118.0|0|0.0|0
0|2020-04-12|2887.0|0|123.0|0|0.0|0
0|2020-04-13|3012.0|0|123.0|0|0.0|0
0|2020-04-14|3063.0|0|141.0|0|0.0|0
0|2020-04-15|3204.0|0|155.0|0|0.0|0
0|2020-04-16|3320.0|0|164.0|0|0.0|0
0|2020-04-17|3518.0|0|182.0|0|0.0|0
0|2020-04-18|3624.0|0|190.0|0|0.0|0
0|2020-04-19|3889.0|0|192.0|0|0.0|0
0|2020-04-20|4052.0|0|192.0|0|0.0|0
0|2020-04-21|4176.0|0|206.0|0|0.0|0
0|2020-04-22|4263.0|0|214.0|0|0.0|0
0|2020-04-23|4408.0|0|228.0|0|0.0|0
0|2020-04-24|4537.0|0|238.0|0|0.0|0
0|2020-04-25|4727.0|0|255.0|0|0.0|0
0|2020-04-26|4796.0|0|259.0|0|0.0|0
0|2020-04-27|4926.0|0|267.0|0|0.0|0
0|2020-04-28|5080.0|0|282.0|0|0.0|0
0|2020-04-29|5295.0|0|305.0|0|0.0|0
0|2020-04-30|5530.0|0|328.0|0|0.0|0
0|2020-05-01|5754.0|0|339.0|0|0.0|0
0|2020-05-02|5983.0|0|357.0|0|0.0|0
0|2020-05-03|6176.0|0|360.0|0|0.0|0
0|2020-05-04|6327.0|0|363.0|0|0.0|0
0|2020-05-05|6419.0|0|374.0|0|0.0|0
0|2020-05-06|6730.0|0|390.0|0|0.0|0
0|2020-05-07|6914.0|0|398.0|0|0.0|0
0|2020-05-08|7078.0|0|403.0|0|0.0|0
0|2020-05-09|7245.0|0|412.0|0|0.0|0
0|2020-05-10|7336.0|0|416.0|0|0.0|0
0|2020-05-11|7336.0|0|416.0|0|0.0|0
0|2020-05-12|7632.0|0|429.0|0|0.0|0
0|2020-05-13|7703.0|0|440.0|0|0.0|0
