|dates|NewLondon_Connecticut_UnitedStates.JHU_ConfirmedCases.data|NewLondon_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|NewLondon_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|NewLondon_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|NewLondon_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|NewLondon_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|9.0|0|0.0|0|0.0|0
0|2020-03-26|13.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|19.0|0|0.0|0|0.0|0
0|2020-03-29|20.0|0|0.0|0|0.0|0
0|2020-03-30|24.0|0|0.0|0|0.0|0
0|2020-03-31|27.0|0|1.0|0|0.0|0
0|2020-04-01|29.0|0|1.0|0|0.0|0
0|2020-04-02|29.0|0|1.0|0|0.0|0
0|2020-04-03|40.0|0|3.0|0|0.0|0
0|2020-04-04|57.0|0|3.0|0|0.0|0
0|2020-04-05|57.0|0|4.0|0|0.0|0
0|2020-04-06|65.0|0|4.0|0|0.0|0
0|2020-04-07|85.0|0|4.0|0|0.0|0
0|2020-04-08|85.0|0|4.0|0|0.0|0
0|2020-04-09|139.0|0|6.0|0|0.0|0
0|2020-04-10|156.0|0|7.0|0|0.0|0
0|2020-04-11|185.0|0|7.0|0|0.0|0
0|2020-04-12|190.0|0|7.0|0|0.0|0
0|2020-04-13|222.0|0|7.0|0|0.0|0
0|2020-04-14|227.0|0|7.0|0|0.0|0
0|2020-04-15|236.0|0|7.0|0|0.0|0
0|2020-04-16|255.0|0|9.0|0|0.0|0
0|2020-04-17|292.0|0|10.0|0|0.0|0
0|2020-04-18|315.0|0|10.0|0|0.0|0
0|2020-04-19|339.0|0|10.0|0|0.0|0
0|2020-04-20|356.0|0|13.0|0|0.0|0
0|2020-04-21|369.0|0|13.0|0|0.0|0
0|2020-04-22|397.0|0|14.0|0|0.0|0
0|2020-04-23|419.0|0|17.0|0|0.0|0
0|2020-04-24|448.0|0|23.0|0|0.0|0
0|2020-04-25|473.0|0|28.0|0|0.0|0
0|2020-04-26|498.0|0|31.0|0|0.0|0
0|2020-04-27|516.0|0|34.0|0|0.0|0
0|2020-04-28|530.0|0|34.0|0|0.0|0
0|2020-04-29|540.0|0|35.0|0|0.0|0
0|2020-04-30|564.0|0|36.0|0|0.0|0
0|2020-05-01|603.0|0|42.0|0|0.0|0
0|2020-05-02|623.0|0|43.0|0|0.0|0
0|2020-05-03|623.0|0|43.0|0|0.0|0
0|2020-05-04|641.0|0|45.0|0|0.0|0
0|2020-05-05|681.0|0|45.0|0|0.0|0
0|2020-05-06|704.0|0|47.0|0|0.0|0
0|2020-05-07|742.0|0|49.0|0|0.0|0
0|2020-05-08|755.0|0|50.0|0|0.0|0
0|2020-05-09|775.0|0|54.0|0|0.0|0
0|2020-05-10|782.0|0|54.0|0|0.0|0
0|2020-05-11|782.0|0|54.0|0|0.0|0
0|2020-05-12|793.0|0|58.0|0|0.0|0
0|2020-05-13|804.0|0|60.0|0|0.0|0
