|dates|Chatham_Georgia_UnitedStates.JHU_ConfirmedCases.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Chatham_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Chatham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|7.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|9.0|0|0.0|0|0.0|0
0|2020-03-27|10.0|0|0.0|0|0.0|0
0|2020-03-28|15.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|16.0|0|0.0|0|0.0|0
0|2020-03-31|26.0|0|2.0|0|0.0|0
0|2020-04-01|36.0|0|2.0|0|0.0|0
0|2020-04-02|44.0|0|2.0|0|0.0|0
0|2020-04-03|58.0|0|3.0|0|0.0|0
0|2020-04-04|64.0|0|3.0|0|0.0|0
0|2020-04-05|83.0|0|3.0|0|0.0|0
0|2020-04-06|104.0|0|3.0|0|0.0|0
0|2020-04-07|117.0|0|4.0|0|0.0|0
0|2020-04-08|125.0|0|4.0|0|0.0|0
0|2020-04-09|131.0|0|4.0|0|0.0|0
0|2020-04-10|136.0|0|5.0|0|0.0|0
0|2020-04-11|142.0|0|5.0|0|0.0|0
0|2020-04-12|147.0|0|5.0|0|0.0|0
0|2020-04-13|152.0|0|5.0|0|0.0|0
0|2020-04-14|157.0|0|5.0|0|0.0|0
0|2020-04-15|160.0|0|5.0|0|0.0|0
0|2020-04-16|161.0|0|5.0|0|0.0|0
0|2020-04-17|173.0|0|5.0|0|0.0|0
0|2020-04-18|177.0|0|5.0|0|0.0|0
0|2020-04-19|179.0|0|5.0|0|0.0|0
0|2020-04-20|185.0|0|6.0|0|0.0|0
0|2020-04-21|185.0|0|6.0|0|0.0|0
0|2020-04-22|193.0|0|7.0|0|0.0|0
0|2020-04-23|199.0|0|6.0|0|0.0|0
0|2020-04-24|205.0|0|6.0|0|0.0|0
0|2020-04-25|206.0|0|6.0|0|0.0|0
0|2020-04-26|206.0|0|6.0|0|0.0|0
0|2020-04-27|208.0|0|7.0|0|0.0|0
0|2020-04-28|217.0|0|7.0|0|0.0|0
0|2020-04-29|221.0|0|9.0|0|0.0|0
0|2020-04-30|226.0|0|9.0|0|0.0|0
0|2020-05-01|230.0|0|9.0|0|0.0|0
0|2020-05-02|230.0|0|9.0|0|0.0|0
0|2020-05-03|234.0|0|9.0|0|0.0|0
0|2020-05-04|246.0|0|10.0|0|0.0|0
0|2020-05-05|267.0|0|12.0|0|0.0|0
0|2020-05-06|282.0|0|12.0|0|0.0|0
0|2020-05-07|285.0|0|12.0|0|0.0|0
0|2020-05-08|291.0|0|12.0|0|0.0|0
0|2020-05-09|299.0|0|12.0|0|0.0|0
0|2020-05-10|303.0|0|12.0|0|0.0|0
0|2020-05-11|303.0|0|12.0|0|0.0|0
0|2020-05-12|327.0|0|14.0|0|0.0|0
0|2020-05-13|337.0|0|14.0|0|0.0|0
