|dates|Shoshone_Idaho_UnitedStates.JHU_ConfirmedCases.data|Shoshone_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Shoshone_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Shoshone_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Shoshone_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Shoshone_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|9.0|0|0.0|0|0.0|0
0|2020-03-19|23.0|0|0.0|0|0.0|0
0|2020-03-20|36.0|0|0.0|0|0.0|0
0|2020-03-21|42.0|0|0.0|0|0.0|0
0|2020-03-22|42.0|0|0.0|0|0.0|0
0|2020-03-23|68.0|0|0.0|0|0.0|0
0|2020-03-24|81.0|0|0.0|0|0.0|0
0|2020-03-25|91.0|0|0.0|0|0.0|0
0|2020-03-26|146.0|0|3.0|0|0.0|0
0|2020-03-27|205.0|0|3.0|0|0.0|0
0|2020-03-28|234.0|0|4.0|0|0.0|0
0|2020-03-29|281.0|0|5.0|0|0.0|0
0|2020-03-30|340.0|0|6.0|0|0.0|0
0|2020-03-31|515.0|0|8.0|0|0.0|0
0|2020-04-01|566.0|0|9.0|0|0.0|0
0|2020-04-02|776.0|0|9.0|0|0.0|0
0|2020-04-03|900.0|0|9.0|0|0.0|0
0|2020-04-04|1031.0|0|10.0|0|0.0|0
0|2020-04-05|1078.0|0|10.0|0|0.0|0
0|2020-04-06|1101.0|0|10.0|0|0.0|0
0|2020-04-07|1170.0|0|13.0|0|0.0|0
0|2020-04-08|1210.0|0|15.0|0|0.0|0
0|2020-04-09|1232.0|0|18.0|0|0.0|0
0|2020-04-10|1354.0|0|24.0|0|0.0|0
0|2020-04-11|1396.0|0|25.0|0|0.0|0
0|2020-04-12|1407.0|0|27.0|0|0.0|0
0|2020-04-13|1426.0|0|27.0|0|0.0|0
0|2020-04-14|1464.0|0|33.0|0|0.0|0
0|2020-04-15|1473.0|0|39.0|0|0.0|0
0|2020-04-16|1587.0|0|41.0|0|0.0|0
0|2020-04-17|1609.0|0|41.0|0|0.0|0
0|2020-04-18|1655.0|0|43.0|0|0.0|0
0|2020-04-19|1668.0|0|44.0|0|0.0|0
0|2020-04-20|1672.0|0|45.0|0|0.0|0
0|2020-04-21|1736.0|0|48.0|0|0.0|0
0|2020-04-22|1766.0|0|51.0|0|0.0|0
0|2020-04-23|1836.0|0|54.0|0|0.0|0
0|2020-04-24|1870.0|0|54.0|0|0.0|0
0|2020-04-25|1887.0|0|56.0|0|0.0|0
0|2020-04-26|1897.0|0|56.0|0|0.0|0
0|2020-04-27|1897.0|0|56.0|0|0.0|0
0|2020-04-28|1952.0|0|60.0|0|0.0|0
0|2020-04-29|1952.0|0|60.0|0|0.0|0
0|2020-04-30|1984.0|0|60.0|0|0.0|0
0|2020-05-01|2015.0|0|63.0|0|0.0|0
0|2020-05-02|2061.0|0|64.0|0|0.0|0
0|2020-05-03|2061.0|0|64.0|0|0.0|0
0|2020-05-04|2106.0|0|64.0|0|0.0|0
0|2020-05-05|2127.0|0|65.0|0|0.0|0
0|2020-05-06|2127.0|0|65.0|0|0.0|0
0|2020-05-07|2127.0|0|65.0|0|0.0|0
0|2020-05-08|2127.0|0|65.0|0|0.0|0
0|2020-05-09|2127.0|0|65.0|0|0.0|0
0|2020-05-10|2127.0|0|65.0|0|0.0|0
0|2020-05-11|2127.0|0|65.0|0|0.0|0
0|2020-05-12|2127.0|0|65.0|0|0.0|0
0|2020-05-13|2127.0|0|65.0|0|0.0|0
