|dates|Comanche_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Comanche_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Comanche_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Comanche_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Comanche_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Comanche_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|11.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|15.0|0|0.0|0|0.0|0
0|2020-04-01|21.0|0|0.0|0|0.0|0
0|2020-04-02|27.0|0|0.0|0|0.0|0
0|2020-04-03|33.0|0|0.0|0|0.0|0
0|2020-04-04|37.0|0|0.0|0|0.0|0
0|2020-04-05|39.0|0|0.0|0|0.0|0
0|2020-04-06|41.0|0|0.0|0|0.0|0
0|2020-04-07|42.0|0|0.0|0|0.0|0
0|2020-04-08|44.0|0|0.0|0|0.0|0
0|2020-04-09|47.0|0|0.0|0|0.0|0
0|2020-04-10|47.0|0|0.0|0|0.0|0
0|2020-04-11|49.0|0|0.0|0|0.0|0
0|2020-04-12|49.0|0|0.0|0|0.0|0
0|2020-04-13|51.0|0|0.0|0|0.0|0
0|2020-04-14|52.0|0|0.0|0|0.0|0
0|2020-04-15|52.0|0|0.0|0|0.0|0
0|2020-04-16|57.0|0|0.0|0|0.0|0
0|2020-04-17|57.0|0|0.0|0|0.0|0
0|2020-04-18|57.0|0|0.0|0|0.0|0
0|2020-04-19|67.0|0|0.0|0|0.0|0
0|2020-04-20|71.0|0|0.0|0|0.0|0
0|2020-04-21|72.0|0|1.0|0|0.0|0
0|2020-04-22|71.0|0|1.0|0|0.0|0
0|2020-04-23|75.0|0|1.0|0|0.0|0
0|2020-04-24|76.0|0|1.0|0|0.0|0
0|2020-04-25|76.0|0|1.0|0|0.0|0
0|2020-04-26|79.0|0|1.0|0|0.0|0
0|2020-04-27|79.0|0|1.0|0|0.0|0
0|2020-04-28|79.0|0|1.0|0|0.0|0
0|2020-04-29|79.0|0|1.0|0|0.0|0
0|2020-04-30|80.0|0|1.0|0|0.0|0
0|2020-05-01|81.0|0|2.0|0|0.0|0
0|2020-05-02|84.0|0|2.0|0|0.0|0
0|2020-05-03|98.0|0|2.0|0|0.0|0
0|2020-05-04|102.0|0|2.0|0|0.0|0
0|2020-05-05|104.0|0|2.0|0|0.0|0
0|2020-05-06|113.0|0|2.0|0|0.0|0
0|2020-05-07|115.0|0|2.0|0|0.0|0
0|2020-05-08|116.0|0|2.0|0|0.0|0
0|2020-05-09|124.0|0|2.0|0|0.0|0
0|2020-05-10|124.0|0|2.0|0|0.0|0
0|2020-05-11|124.0|0|2.0|0|0.0|0
0|2020-05-12|151.0|0|2.0|0|0.0|0
0|2020-05-13|184.0|0|2.0|0|0.0|0
