|dates|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|13.0|0|0.0|0|0.0|0
0|2020-03-26|16.0|0|0.0|0|0.0|0
0|2020-03-27|24.0|0|0.0|0|0.0|0
0|2020-03-28|24.0|0|0.0|0|0.0|0
0|2020-03-29|29.0|0|0.0|0|0.0|0
0|2020-03-30|30.0|0|0.0|0|0.0|0
0|2020-03-31|34.0|0|0.0|0|0.0|0
0|2020-04-01|34.0|0|0.0|0|0.0|0
0|2020-04-02|37.0|0|0.0|0|0.0|0
0|2020-04-03|44.0|0|0.0|0|0.0|0
0|2020-04-04|52.0|0|0.0|0|0.0|0
0|2020-04-05|52.0|0|0.0|0|0.0|0
0|2020-04-06|67.0|0|0.0|0|0.0|0
0|2020-04-07|73.0|0|0.0|0|0.0|0
0|2020-04-08|81.0|0|0.0|0|0.0|0
0|2020-04-09|98.0|0|0.0|0|0.0|0
0|2020-04-10|104.0|0|1.0|0|0.0|0
0|2020-04-11|141.0|0|2.0|0|0.0|0
0|2020-04-12|150.0|0|2.0|0|0.0|0
0|2020-04-13|151.0|0|2.0|0|0.0|0
0|2020-04-14|155.0|0|2.0|0|0.0|0
0|2020-04-15|159.0|0|2.0|0|0.0|0
0|2020-04-16|172.0|0|2.0|0|0.0|0
0|2020-04-17|175.0|0|3.0|0|0.0|0
0|2020-04-18|183.0|0|3.0|0|0.0|0
0|2020-04-19|187.0|0|3.0|0|0.0|0
0|2020-04-20|187.0|0|3.0|0|0.0|0
0|2020-04-21|189.0|0|3.0|0|0.0|0
0|2020-04-22|195.0|0|7.0|0|0.0|0
0|2020-04-23|199.0|0|8.0|0|0.0|0
0|2020-04-24|200.0|0|8.0|0|0.0|0
0|2020-04-25|209.0|0|10.0|0|0.0|0
0|2020-04-26|208.0|0|13.0|0|0.0|0
0|2020-04-27|208.0|0|13.0|0|0.0|0
0|2020-04-28|209.0|0|14.0|0|0.0|0
0|2020-04-29|217.0|0|15.0|0|0.0|0
0|2020-04-30|217.0|0|16.0|0|0.0|0
0|2020-05-01|219.0|0|17.0|0|0.0|0
0|2020-05-02|223.0|0|18.0|0|0.0|0
0|2020-05-03|226.0|0|18.0|0|0.0|0
0|2020-05-04|229.0|0|18.0|0|0.0|0
0|2020-05-05|230.0|0|18.0|0|0.0|0
0|2020-05-06|230.0|0|20.0|0|0.0|0
0|2020-05-07|239.0|0|30.0|0|0.0|0
0|2020-05-08|244.0|0|32.0|0|0.0|0
0|2020-05-09|248.0|0|33.0|0|0.0|0
0|2020-05-10|252.0|0|33.0|0|0.0|0
0|2020-05-11|252.0|0|33.0|0|0.0|0
0|2020-05-12|259.0|0|34.0|0|0.0|0
0|2020-05-13|259.0|0|34.0|0|0.0|0
