|dates|Jefferson_Washington_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Washington_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|9.0|0|0.0|0|0.0|0
0|2020-03-26|11.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|13.0|0|0.0|0|0.0|0
0|2020-03-30|14.0|0|0.0|0|0.0|0
0|2020-03-31|16.0|0|0.0|0|0.0|0
0|2020-04-01|17.0|0|0.0|0|0.0|0
0|2020-04-02|19.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|0.0|0|0.0|0
0|2020-04-04|19.0|0|0.0|0|0.0|0
0|2020-04-05|20.0|0|0.0|0|0.0|0
0|2020-04-06|22.0|0|0.0|0|0.0|0
0|2020-04-07|27.0|0|0.0|0|0.0|0
0|2020-04-08|27.0|0|0.0|0|0.0|0
0|2020-04-09|27.0|0|0.0|0|0.0|0
0|2020-04-10|28.0|0|0.0|0|0.0|0
0|2020-04-11|28.0|0|0.0|0|0.0|0
0|2020-04-12|28.0|0|0.0|0|0.0|0
0|2020-04-13|28.0|0|0.0|0|0.0|0
0|2020-04-14|28.0|0|0.0|0|0.0|0
0|2020-04-15|28.0|0|0.0|0|0.0|0
0|2020-04-16|28.0|0|0.0|0|0.0|0
0|2020-04-17|28.0|0|0.0|0|0.0|0
0|2020-04-18|28.0|0|0.0|0|0.0|0
0|2020-04-19|29.0|0|0.0|0|0.0|0
0|2020-04-20|28.0|0|0.0|0|0.0|0
0|2020-04-21|28.0|0|0.0|0|0.0|0
0|2020-04-22|28.0|0|0.0|0|0.0|0
0|2020-04-23|28.0|0|0.0|0|0.0|0
0|2020-04-24|28.0|0|0.0|0|0.0|0
0|2020-04-25|28.0|0|0.0|0|0.0|0
0|2020-04-26|28.0|0|0.0|0|0.0|0
0|2020-04-27|28.0|0|0.0|0|0.0|0
0|2020-04-28|28.0|0|0.0|0|0.0|0
0|2020-04-29|28.0|0|0.0|0|0.0|0
0|2020-04-30|28.0|0|0.0|0|0.0|0
0|2020-05-01|28.0|0|0.0|0|0.0|0
0|2020-05-02|28.0|0|0.0|0|0.0|0
0|2020-05-03|28.0|0|0.0|0|0.0|0
0|2020-05-04|28.0|0|0.0|0|0.0|0
0|2020-05-05|28.0|0|0.0|0|0.0|0
0|2020-05-06|28.0|0|0.0|0|0.0|0
0|2020-05-07|28.0|0|0.0|0|0.0|0
0|2020-05-08|28.0|0|0.0|0|0.0|0
0|2020-05-09|29.0|0|0.0|0|0.0|0
0|2020-05-10|29.0|0|0.0|0|0.0|0
0|2020-05-11|29.0|0|0.0|0|0.0|0
0|2020-05-12|29.0|0|0.0|0|0.0|0
0|2020-05-13|29.0|0|0.0|0|0.0|0
