|dates|Lancaster_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Lancaster_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Lancaster_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Lancaster_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Lancaster_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Lancaster_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|8.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|12.0|0|0.0|0|0.0|0
0|2020-04-03|14.0|0|0.0|0|0.0|0
0|2020-04-04|18.0|0|0.0|0|0.0|0
0|2020-04-05|18.0|0|0.0|0|0.0|0
0|2020-04-06|32.0|0|0.0|0|0.0|0
0|2020-04-07|34.0|0|0.0|0|0.0|0
0|2020-04-08|39.0|0|0.0|0|0.0|0
0|2020-04-09|44.0|0|1.0|0|0.0|0
0|2020-04-10|49.0|0|1.0|0|0.0|0
0|2020-04-11|50.0|0|1.0|0|0.0|0
0|2020-04-12|52.0|0|1.0|0|0.0|0
0|2020-04-13|54.0|0|1.0|0|0.0|0
0|2020-04-14|57.0|0|1.0|0|0.0|0
0|2020-04-15|57.0|0|1.0|0|0.0|0
0|2020-04-16|59.0|0|1.0|0|0.0|0
0|2020-04-17|62.0|0|1.0|0|0.0|0
0|2020-04-18|63.0|0|1.0|0|0.0|0
0|2020-04-19|81.0|0|1.0|0|0.0|0
0|2020-04-20|85.0|0|1.0|0|0.0|0
0|2020-04-21|92.0|0|1.0|0|0.0|0
0|2020-04-22|97.0|0|1.0|0|0.0|0
0|2020-04-23|106.0|0|1.0|0|0.0|0
0|2020-04-24|114.0|0|1.0|0|0.0|0
0|2020-04-25|120.0|0|1.0|0|0.0|0
0|2020-04-26|140.0|0|1.0|0|0.0|0
0|2020-04-27|157.0|0|1.0|0|0.0|0
0|2020-04-28|158.0|0|1.0|0|0.0|0
0|2020-04-29|204.0|0|1.0|0|0.0|0
0|2020-04-30|240.0|0|1.0|0|0.0|0
0|2020-05-01|280.0|0|1.0|0|0.0|0
0|2020-05-02|298.0|0|1.0|0|0.0|0
0|2020-05-03|330.0|0|1.0|0|0.0|0
0|2020-05-04|390.0|0|1.0|0|0.0|0
0|2020-05-05|441.0|0|1.0|0|0.0|0
0|2020-05-06|452.0|0|1.0|0|0.0|0
0|2020-05-07|503.0|0|1.0|0|0.0|0
0|2020-05-08|547.0|0|1.0|0|0.0|0
0|2020-05-09|595.0|0|1.0|0|0.0|0
0|2020-05-10|595.0|0|1.0|0|0.0|0
0|2020-05-11|595.0|0|1.0|0|0.0|0
0|2020-05-12|650.0|0|1.0|0|0.0|0
0|2020-05-13|687.0|0|1.0|0|0.0|0
