|dates|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|1.0|0|0.0|0
0|2020-03-17|3.0|0|1.0|0|0.0|0
0|2020-03-18|4.0|0|1.0|0|0.0|0
0|2020-03-19|5.0|0|1.0|0|0.0|0
0|2020-03-20|8.0|0|1.0|0|0.0|0
0|2020-03-21|12.0|0|1.0|0|0.0|0
0|2020-03-22|12.0|0|1.0|0|0.0|0
0|2020-03-23|17.0|0|1.0|0|0.0|0
0|2020-03-24|19.0|0|1.0|0|0.0|0
0|2020-03-25|18.0|0|1.0|0|0.0|0
0|2020-03-26|18.0|0|1.0|0|0.0|0
0|2020-03-27|25.0|0|1.0|0|0.0|0
0|2020-03-28|30.0|0|1.0|0|0.0|0
0|2020-03-29|35.0|0|1.0|0|0.0|0
0|2020-03-30|41.0|0|1.0|0|0.0|0
0|2020-03-31|54.0|0|1.0|0|0.0|0
0|2020-04-01|61.0|0|1.0|0|0.0|0
0|2020-04-02|70.0|0|1.0|0|0.0|0
0|2020-04-03|78.0|0|1.0|0|0.0|0
0|2020-04-04|95.0|0|3.0|0|0.0|0
0|2020-04-05|117.0|0|3.0|0|0.0|0
0|2020-04-06|124.0|0|3.0|0|0.0|0
0|2020-04-07|130.0|0|5.0|0|0.0|0
0|2020-04-08|130.0|0|5.0|0|0.0|0
0|2020-04-09|161.0|0|6.0|0|0.0|0
0|2020-04-10|184.0|0|6.0|0|0.0|0
0|2020-04-11|202.0|0|6.0|0|0.0|0
0|2020-04-12|212.0|0|6.0|0|0.0|0
0|2020-04-13|212.0|0|6.0|0|0.0|0
0|2020-04-14|208.0|0|8.0|0|0.0|0
0|2020-04-15|218.0|0|8.0|0|0.0|0
0|2020-04-16|267.0|0|8.0|0|0.0|0
0|2020-04-17|267.0|0|9.0|0|0.0|0
0|2020-04-18|271.0|0|9.0|0|0.0|0
0|2020-04-19|273.0|0|9.0|0|0.0|0
0|2020-04-20|274.0|0|9.0|0|0.0|0
0|2020-04-21|274.0|0|9.0|0|0.0|0
0|2020-04-22|286.0|0|9.0|0|0.0|0
0|2020-04-23|294.0|0|11.0|0|0.0|0
0|2020-04-24|302.0|0|12.0|0|0.0|0
0|2020-04-25|317.0|0|12.0|0|0.0|0
0|2020-04-26|329.0|0|12.0|0|0.0|0
0|2020-04-27|334.0|0|12.0|0|0.0|0
0|2020-04-28|347.0|0|12.0|0|0.0|0
0|2020-04-29|358.0|0|14.0|0|0.0|0
0|2020-04-30|361.0|0|15.0|0|0.0|0
0|2020-05-01|370.0|0|15.0|0|0.0|0
0|2020-05-02|414.0|0|16.0|0|0.0|0
0|2020-05-03|420.0|0|17.0|0|0.0|0
0|2020-05-04|432.0|0|17.0|0|0.0|0
0|2020-05-05|440.0|0|17.0|0|0.0|0
0|2020-05-06|442.0|0|18.0|0|0.0|0
0|2020-05-07|458.0|0|19.0|0|0.0|0
0|2020-05-08|465.0|0|19.0|0|0.0|0
0|2020-05-09|472.0|0|21.0|0|0.0|0
0|2020-05-10|478.0|0|21.0|0|0.0|0
0|2020-05-11|478.0|0|21.0|0|0.0|0
0|2020-05-12|482.0|0|24.0|0|0.0|0
0|2020-05-13|492.0|0|25.0|0|0.0|0
