|dates|Grant_Washington_UnitedStates.JHU_ConfirmedCases.data|Grant_Washington_UnitedStates.JHU_ConfirmedCases.missing|Grant_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|1.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|1.0|0|0.0|0
0|2020-03-10|1.0|0|1.0|0|0.0|0
0|2020-03-11|1.0|0|1.0|0|0.0|0
0|2020-03-12|1.0|0|1.0|0|0.0|0
0|2020-03-13|1.0|0|1.0|0|0.0|0
0|2020-03-14|2.0|0|1.0|0|0.0|0
0|2020-03-15|2.0|0|1.0|0|0.0|0
0|2020-03-16|3.0|0|1.0|0|0.0|0
0|2020-03-17|7.0|0|1.0|0|0.0|0
0|2020-03-18|8.0|0|1.0|0|0.0|0
0|2020-03-19|8.0|0|1.0|0|0.0|0
0|2020-03-20|8.0|0|1.0|0|0.0|0
0|2020-03-21|11.0|0|1.0|0|0.0|0
0|2020-03-22|18.0|0|1.0|0|0.0|0
0|2020-03-23|23.0|0|1.0|0|0.0|0
0|2020-03-24|23.0|0|1.0|0|0.0|0
0|2020-03-25|27.0|0|1.0|0|0.0|0
0|2020-03-26|33.0|0|1.0|0|0.0|0
0|2020-03-27|39.0|0|1.0|0|0.0|0
0|2020-03-28|44.0|0|1.0|0|0.0|0
0|2020-03-29|50.0|0|1.0|0|0.0|0
0|2020-03-30|59.0|0|1.0|0|0.0|0
0|2020-03-31|63.0|0|1.0|0|0.0|0
0|2020-04-01|63.0|0|1.0|0|0.0|0
0|2020-04-02|73.0|0|1.0|0|0.0|0
0|2020-04-03|75.0|0|0.0|0|0.0|0
0|2020-04-04|77.0|0|1.0|0|0.0|0
0|2020-04-05|80.0|0|2.0|0|0.0|0
0|2020-04-06|88.0|0|2.0|0|0.0|0
0|2020-04-07|88.0|0|2.0|0|0.0|0
0|2020-04-08|94.0|0|2.0|0|0.0|0
0|2020-04-09|95.0|0|2.0|0|0.0|0
0|2020-04-10|101.0|0|2.0|0|0.0|0
0|2020-04-11|110.0|0|2.0|0|0.0|0
0|2020-04-12|114.0|0|2.0|0|0.0|0
0|2020-04-13|120.0|0|2.0|0|0.0|0
0|2020-04-14|122.0|0|2.0|0|0.0|0
0|2020-04-15|122.0|0|2.0|0|0.0|0
0|2020-04-16|129.0|0|2.0|0|0.0|0
0|2020-04-17|133.0|0|2.0|0|0.0|0
0|2020-04-18|140.0|0|2.0|0|0.0|0
0|2020-04-19|143.0|0|2.0|0|0.0|0
0|2020-04-20|143.0|0|2.0|0|0.0|0
0|2020-04-21|143.0|0|2.0|0|0.0|0
0|2020-04-22|147.0|0|2.0|0|0.0|0
0|2020-04-23|146.0|0|2.0|0|0.0|0
0|2020-04-24|149.0|0|2.0|0|0.0|0
0|2020-04-25|150.0|0|2.0|0|0.0|0
0|2020-04-26|150.0|0|2.0|0|0.0|0
0|2020-04-27|152.0|0|2.0|0|0.0|0
0|2020-04-28|155.0|0|3.0|0|0.0|0
0|2020-04-29|155.0|0|3.0|0|0.0|0
0|2020-04-30|159.0|0|3.0|0|0.0|0
0|2020-05-01|163.0|0|3.0|0|0.0|0
0|2020-05-02|169.0|0|3.0|0|0.0|0
0|2020-05-03|170.0|0|3.0|0|0.0|0
0|2020-05-04|180.0|0|3.0|0|0.0|0
0|2020-05-05|180.0|0|3.0|0|0.0|0
0|2020-05-06|179.0|0|3.0|0|0.0|0
0|2020-05-07|179.0|0|3.0|0|0.0|0
0|2020-05-08|180.0|0|3.0|0|0.0|0
0|2020-05-09|181.0|0|3.0|0|0.0|0
0|2020-05-10|181.0|0|3.0|0|0.0|0
0|2020-05-11|181.0|0|3.0|0|0.0|0
0|2020-05-12|183.0|0|3.0|0|0.0|0
0|2020-05-13|185.0|0|3.0|0|0.0|0
