|dates|Richmond_Georgia_UnitedStates.JHU_ConfirmedCases.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Richmond_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Richmond_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|8.0|0|0.0|0|0.0|0
0|2020-03-21|10.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|11.0|0|0.0|0|0.0|0
0|2020-03-24|11.0|0|0.0|0|0.0|0
0|2020-03-25|11.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|13.0|0|0.0|0|0.0|0
0|2020-03-31|40.0|0|0.0|0|0.0|0
0|2020-04-01|41.0|0|0.0|0|0.0|0
0|2020-04-02|41.0|0|1.0|0|0.0|0
0|2020-04-03|50.0|0|1.0|0|0.0|0
0|2020-04-04|51.0|0|1.0|0|0.0|0
0|2020-04-05|51.0|0|1.0|0|0.0|0
0|2020-04-06|56.0|0|1.0|0|0.0|0
0|2020-04-07|74.0|0|3.0|0|0.0|0
0|2020-04-08|76.0|0|3.0|0|0.0|0
0|2020-04-09|84.0|0|4.0|0|0.0|0
0|2020-04-10|95.0|0|4.0|0|0.0|0
0|2020-04-11|138.0|0|3.0|0|0.0|0
0|2020-04-12|140.0|0|3.0|0|0.0|0
0|2020-04-13|147.0|0|4.0|0|0.0|0
0|2020-04-14|162.0|0|7.0|0|0.0|0
0|2020-04-15|168.0|0|8.0|0|0.0|0
0|2020-04-16|189.0|0|8.0|0|0.0|0
0|2020-04-17|238.0|0|10.0|0|0.0|0
0|2020-04-18|258.0|0|10.0|0|0.0|0
0|2020-04-19|264.0|0|10.0|0|0.0|0
0|2020-04-20|283.0|0|11.0|0|0.0|0
0|2020-04-21|295.0|0|12.0|0|0.0|0
0|2020-04-22|313.0|0|13.0|0|0.0|0
0|2020-04-23|335.0|0|14.0|0|0.0|0
0|2020-04-24|353.0|0|14.0|0|0.0|0
0|2020-04-25|355.0|0|14.0|0|0.0|0
0|2020-04-26|360.0|0|14.0|0|0.0|0
0|2020-04-27|377.0|0|14.0|0|0.0|0
0|2020-04-28|382.0|0|14.0|0|0.0|0
0|2020-04-29|389.0|0|14.0|0|0.0|0
0|2020-04-30|406.0|0|15.0|0|0.0|0
0|2020-05-01|412.0|0|15.0|0|0.0|0
0|2020-05-02|415.0|0|16.0|0|0.0|0
0|2020-05-03|417.0|0|16.0|0|0.0|0
0|2020-05-04|422.0|0|15.0|0|0.0|0
0|2020-05-05|424.0|0|15.0|0|0.0|0
0|2020-05-06|429.0|0|15.0|0|0.0|0
0|2020-05-07|436.0|0|15.0|0|0.0|0
0|2020-05-08|441.0|0|16.0|0|0.0|0
0|2020-05-09|444.0|0|16.0|0|0.0|0
0|2020-05-10|447.0|0|16.0|0|0.0|0
0|2020-05-11|447.0|0|16.0|0|0.0|0
0|2020-05-12|469.0|0|17.0|0|0.0|0
0|2020-05-13|471.0|0|17.0|0|0.0|0
