|dates|Snyder_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Snyder_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Snyder_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Snyder_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Snyder_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Snyder_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|2.0|0|0.0|0|0.0|0
0|2020-03-31|2.0|0|1.0|0|0.0|0
0|2020-04-01|3.0|0|1.0|0|0.0|0
0|2020-04-02|3.0|0|1.0|0|0.0|0
0|2020-04-03|4.0|0|1.0|0|0.0|0
0|2020-04-04|6.0|0|1.0|0|0.0|0
0|2020-04-05|8.0|0|1.0|0|0.0|0
0|2020-04-06|8.0|0|1.0|0|0.0|0
0|2020-04-07|9.0|0|1.0|0|0.0|0
0|2020-04-08|9.0|0|1.0|0|0.0|0
0|2020-04-09|9.0|0|1.0|0|0.0|0
0|2020-04-10|12.0|0|1.0|0|0.0|0
0|2020-04-11|16.0|0|1.0|0|0.0|0
0|2020-04-12|20.0|0|1.0|0|0.0|0
0|2020-04-13|23.0|0|1.0|0|0.0|0
0|2020-04-14|24.0|0|1.0|0|0.0|0
0|2020-04-15|24.0|0|1.0|0|0.0|0
0|2020-04-16|24.0|0|1.0|0|0.0|0
0|2020-04-17|25.0|0|1.0|0|0.0|0
0|2020-04-18|27.0|0|1.0|0|0.0|0
0|2020-04-19|27.0|0|1.0|0|0.0|0
0|2020-04-20|28.0|0|1.0|0|0.0|0
0|2020-04-21|30.0|0|1.0|0|0.0|0
0|2020-04-22|31.0|0|1.0|0|0.0|0
0|2020-04-23|31.0|0|1.0|0|0.0|0
0|2020-04-24|31.0|0|1.0|0|0.0|0
0|2020-04-25|32.0|0|1.0|0|0.0|0
0|2020-04-26|33.0|0|1.0|0|0.0|0
0|2020-04-27|33.0|0|1.0|0|0.0|0
0|2020-04-28|33.0|0|1.0|0|0.0|0
0|2020-04-29|33.0|0|1.0|0|0.0|0
0|2020-04-30|33.0|0|1.0|0|0.0|0
0|2020-05-01|33.0|0|1.0|0|0.0|0
0|2020-05-02|33.0|0|1.0|0|0.0|0
0|2020-05-03|33.0|0|1.0|0|0.0|0
0|2020-05-04|33.0|0|1.0|0|0.0|0
0|2020-05-05|33.0|0|1.0|0|0.0|0
0|2020-05-06|33.0|0|1.0|0|0.0|0
0|2020-05-07|33.0|0|1.0|0|0.0|0
0|2020-05-08|33.0|0|1.0|0|0.0|0
0|2020-05-09|33.0|0|1.0|0|0.0|0
0|2020-05-10|33.0|0|1.0|0|0.0|0
0|2020-05-11|33.0|0|1.0|0|0.0|0
0|2020-05-12|33.0|0|1.0|0|0.0|0
0|2020-05-13|33.0|0|1.0|0|0.0|0
