|dates|Douglas_Colorado_UnitedStates.JHU_ConfirmedCases.data|Douglas_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|3.0|0|0.0|0|0.0|0
0|2020-03-08|3.0|0|0.0|0|0.0|0
0|2020-03-09|3.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|3.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|4.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|8.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|11.0|0|0.0|0|0.0|0
0|2020-03-19|11.0|0|0.0|0|0.0|0
0|2020-03-20|17.0|0|0.0|0|0.0|0
0|2020-03-21|27.0|0|0.0|0|0.0|0
0|2020-03-22|33.0|0|0.0|0|0.0|0
0|2020-03-23|48.0|0|0.0|0|0.0|0
0|2020-03-24|48.0|0|0.0|0|0.0|0
0|2020-03-25|53.0|0|0.0|0|0.0|0
0|2020-03-26|67.0|0|0.0|0|0.0|0
0|2020-03-27|67.0|0|0.0|0|0.0|0
0|2020-03-28|79.0|0|0.0|0|0.0|0
0|2020-03-29|102.0|0|0.0|0|0.0|0
0|2020-03-30|102.0|0|0.0|0|0.0|0
0|2020-03-31|141.0|0|0.0|0|0.0|0
0|2020-04-01|141.0|0|0.0|0|0.0|0
0|2020-04-02|158.0|0|0.0|0|0.0|0
0|2020-04-03|171.0|0|1.0|0|0.0|0
0|2020-04-04|194.0|0|2.0|0|0.0|0
0|2020-04-05|223.0|0|3.0|0|0.0|0
0|2020-04-06|227.0|0|3.0|0|0.0|0
0|2020-04-07|232.0|0|3.0|0|0.0|0
0|2020-04-08|244.0|0|8.0|0|0.0|0
0|2020-04-09|244.0|0|8.0|0|0.0|0
0|2020-04-10|270.0|0|8.0|0|0.0|0
0|2020-04-11|282.0|0|10.0|0|0.0|0
0|2020-04-12|298.0|0|10.0|0|0.0|0
0|2020-04-13|304.0|0|11.0|0|0.0|0
0|2020-04-14|311.0|0|12.0|0|0.0|0
0|2020-04-15|311.0|0|12.0|0|0.0|0
0|2020-04-16|312.0|0|15.0|0|0.0|0
0|2020-04-17|329.0|0|15.0|0|0.0|0
0|2020-04-18|353.0|0|15.0|0|0.0|0
0|2020-04-19|368.0|0|16.0|0|0.0|0
0|2020-04-20|368.0|0|16.0|0|0.0|0
0|2020-04-21|384.0|0|17.0|0|0.0|0
0|2020-04-22|392.0|0|18.0|0|0.0|0
0|2020-04-23|399.0|0|18.0|0|0.0|0
0|2020-04-24|414.0|0|19.0|0|0.0|0
0|2020-04-25|425.0|0|19.0|0|0.0|0
0|2020-04-26|439.0|0|19.0|0|0.0|0
0|2020-04-27|449.0|0|19.0|0|0.0|0
0|2020-04-28|453.0|0|21.0|0|0.0|0
0|2020-04-29|468.0|0|22.0|0|0.0|0
0|2020-04-30|478.0|0|22.0|0|0.0|0
0|2020-05-01|502.0|0|23.0|0|0.0|0
0|2020-05-02|518.0|0|23.0|0|0.0|0
0|2020-05-03|526.0|0|23.0|0|0.0|0
0|2020-05-04|531.0|0|23.0|0|0.0|0
0|2020-05-05|543.0|0|23.0|0|0.0|0
0|2020-05-06|556.0|0|25.0|0|0.0|0
0|2020-05-07|573.0|0|26.0|0|0.0|0
0|2020-05-08|584.0|0|27.0|0|0.0|0
0|2020-05-09|591.0|0|28.0|0|0.0|0
0|2020-05-10|601.0|0|28.0|0|0.0|0
0|2020-05-11|601.0|0|28.0|0|0.0|0
0|2020-05-12|607.0|0|29.0|0|0.0|0
0|2020-05-13|612.0|0|30.0|0|0.0|0
