|dates|Suffolk_Virginia_UnitedStates.JHU_ConfirmedCases.data|Suffolk_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Suffolk_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Suffolk_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Suffolk_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Suffolk_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|4.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|6.0|0|0.0|0|0.0|0
0|2020-04-03|10.0|0|0.0|0|0.0|0
0|2020-04-04|20.0|0|0.0|0|0.0|0
0|2020-04-05|22.0|0|0.0|0|0.0|0
0|2020-04-06|28.0|0|0.0|0|0.0|0
0|2020-04-07|30.0|0|0.0|0|0.0|0
0|2020-04-08|31.0|0|0.0|0|0.0|0
0|2020-04-09|31.0|0|0.0|0|0.0|0
0|2020-04-10|35.0|0|0.0|0|0.0|0
0|2020-04-11|40.0|0|0.0|0|0.0|0
0|2020-04-12|48.0|0|0.0|0|0.0|0
0|2020-04-13|51.0|0|0.0|0|0.0|0
0|2020-04-14|57.0|0|0.0|0|0.0|0
0|2020-04-15|59.0|0|0.0|0|0.0|0
0|2020-04-16|65.0|0|0.0|0|0.0|0
0|2020-04-17|70.0|0|0.0|0|0.0|0
0|2020-04-18|81.0|0|0.0|0|0.0|0
0|2020-04-19|91.0|0|0.0|0|0.0|0
0|2020-04-20|92.0|0|0.0|0|0.0|0
0|2020-04-21|111.0|0|0.0|0|0.0|0
0|2020-04-22|126.0|0|3.0|0|0.0|0
0|2020-04-23|136.0|0|3.0|0|0.0|0
0|2020-04-24|138.0|0|4.0|0|0.0|0
0|2020-04-25|141.0|0|5.0|0|0.0|0
0|2020-04-26|147.0|0|5.0|0|0.0|0
0|2020-04-27|147.0|0|5.0|0|0.0|0
0|2020-04-28|152.0|0|8.0|0|0.0|0
0|2020-04-29|154.0|0|12.0|0|0.0|0
0|2020-04-30|169.0|0|12.0|0|0.0|0
0|2020-05-01|175.0|0|13.0|0|0.0|0
0|2020-05-02|178.0|0|13.0|0|0.0|0
0|2020-05-03|190.0|0|14.0|0|0.0|0
0|2020-05-04|190.0|0|14.0|0|0.0|0
0|2020-05-05|205.0|0|15.0|0|0.0|0
0|2020-05-06|205.0|0|15.0|0|0.0|0
0|2020-05-07|208.0|0|19.0|0|0.0|0
0|2020-05-08|209.0|0|19.0|0|0.0|0
0|2020-05-09|215.0|0|19.0|0|0.0|0
0|2020-05-10|215.0|0|19.0|0|0.0|0
0|2020-05-11|215.0|0|19.0|0|0.0|0
0|2020-05-12|219.0|0|20.0|0|0.0|0
0|2020-05-13|221.0|0|21.0|0|0.0|0
