|dates|Ingham_Michigan_UnitedStates.JHU_ConfirmedCases.data|Ingham_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Ingham_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Ingham_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Ingham_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Ingham_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|11.0|0|0.0|0|0.0|0
0|2020-03-22|11.0|0|0.0|0|0.0|0
0|2020-03-23|12.0|0|0.0|0|0.0|0
0|2020-03-24|15.0|0|0.0|0|0.0|0
0|2020-03-25|18.0|0|0.0|0|0.0|0
0|2020-03-26|22.0|0|0.0|0|0.0|0
0|2020-03-27|26.0|0|1.0|0|0.0|0
0|2020-03-28|32.0|0|0.0|0|0.0|0
0|2020-03-29|43.0|0|0.0|0|0.0|0
0|2020-03-30|73.0|0|0.0|0|0.0|0
0|2020-03-31|91.0|0|0.0|0|0.0|0
0|2020-04-01|121.0|0|1.0|0|0.0|0
0|2020-04-02|128.0|0|1.0|0|0.0|0
0|2020-04-03|152.0|0|1.0|0|0.0|0
0|2020-04-04|168.0|0|1.0|0|0.0|0
0|2020-04-05|172.0|0|2.0|0|0.0|0
0|2020-04-06|178.0|0|1.0|0|0.0|0
0|2020-04-07|189.0|0|1.0|0|0.0|0
0|2020-04-08|205.0|0|2.0|0|0.0|0
0|2020-04-09|222.0|0|3.0|0|0.0|0
0|2020-04-10|239.0|0|3.0|0|0.0|0
0|2020-04-11|241.0|0|3.0|0|0.0|0
0|2020-04-12|250.0|0|3.0|0|0.0|0
0|2020-04-13|254.0|0|4.0|0|0.0|0
0|2020-04-14|263.0|0|4.0|0|0.0|0
0|2020-04-15|270.0|0|5.0|0|0.0|0
0|2020-04-16|278.0|0|6.0|0|0.0|0
0|2020-04-17|298.0|0|6.0|0|0.0|0
0|2020-04-18|304.0|0|6.0|0|0.0|0
0|2020-04-19|308.0|0|6.0|0|0.0|0
0|2020-04-20|314.0|0|6.0|0|0.0|0
0|2020-04-21|335.0|0|6.0|0|0.0|0
0|2020-04-22|350.0|0|7.0|0|0.0|0
0|2020-04-23|370.0|0|9.0|0|0.0|0
0|2020-04-24|391.0|0|9.0|0|0.0|0
0|2020-04-25|395.0|0|9.0|0|0.0|0
0|2020-04-26|406.0|0|9.0|0|0.0|0
0|2020-04-27|413.0|0|10.0|0|0.0|0
0|2020-04-28|426.0|0|10.0|0|0.0|0
0|2020-04-29|446.0|0|10.0|0|0.0|0
0|2020-04-30|470.0|0|11.0|0|0.0|0
0|2020-05-01|483.0|0|12.0|0|0.0|0
0|2020-05-02|497.0|0|13.0|0|0.0|0
0|2020-05-03|506.0|0|13.0|0|0.0|0
0|2020-05-04|506.0|0|13.0|0|0.0|0
0|2020-05-05|518.0|0|14.0|0|0.0|0
0|2020-05-06|539.0|0|14.0|0|0.0|0
0|2020-05-07|557.0|0|14.0|0|0.0|0
0|2020-05-08|563.0|0|16.0|0|0.0|0
0|2020-05-09|575.0|0|16.0|0|0.0|0
0|2020-05-10|579.0|0|16.0|0|0.0|0
0|2020-05-11|579.0|0|16.0|0|0.0|0
0|2020-05-12|594.0|0|17.0|0|0.0|0
0|2020-05-13|605.0|0|18.0|0|0.0|0
