|dates|Warren_Ohio_UnitedStates.JHU_ConfirmedCases.data|Warren_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Warren_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Warren_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Warren_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Warren_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|7.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|16.0|0|0.0|0|0.0|0
0|2020-03-29|20.0|0|0.0|0|0.0|0
0|2020-03-30|20.0|0|0.0|0|0.0|0
0|2020-03-31|21.0|0|0.0|0|0.0|0
0|2020-04-01|23.0|0|0.0|0|0.0|0
0|2020-04-02|26.0|0|0.0|0|0.0|0
0|2020-04-03|31.0|0|0.0|0|0.0|0
0|2020-04-04|35.0|0|0.0|0|0.0|0
0|2020-04-05|36.0|0|0.0|0|0.0|0
0|2020-04-06|37.0|0|0.0|0|0.0|0
0|2020-04-07|45.0|0|0.0|0|0.0|0
0|2020-04-08|46.0|0|0.0|0|0.0|0
0|2020-04-09|53.0|0|0.0|0|0.0|0
0|2020-04-10|72.0|0|0.0|0|0.0|0
0|2020-04-11|74.0|0|0.0|0|0.0|0
0|2020-04-12|75.0|0|1.0|0|0.0|0
0|2020-04-13|76.0|0|1.0|0|0.0|0
0|2020-04-14|78.0|0|3.0|0|0.0|0
0|2020-04-15|85.0|0|3.0|0|0.0|0
0|2020-04-16|89.0|0|4.0|0|0.0|0
0|2020-04-17|93.0|0|5.0|0|0.0|0
0|2020-04-18|112.0|0|8.0|0|0.0|0
0|2020-04-19|112.0|0|9.0|0|0.0|0
0|2020-04-20|116.0|0|9.0|0|0.0|0
0|2020-04-21|117.0|0|10.0|0|0.0|0
0|2020-04-22|118.0|0|10.0|0|0.0|0
0|2020-04-23|124.0|0|10.0|0|0.0|0
0|2020-04-24|128.0|0|10.0|0|0.0|0
0|2020-04-25|131.0|0|10.0|0|0.0|0
0|2020-04-26|133.0|0|11.0|0|0.0|0
0|2020-04-27|124.0|0|11.0|0|0.0|0
0|2020-04-28|131.0|0|11.0|0|0.0|0
0|2020-04-29|134.0|0|11.0|0|0.0|0
0|2020-04-30|146.0|0|11.0|0|0.0|0
0|2020-05-01|160.0|0|11.0|0|0.0|0
0|2020-05-02|166.0|0|11.0|0|0.0|0
0|2020-05-03|168.0|0|11.0|0|0.0|0
0|2020-05-04|172.0|0|11.0|0|0.0|0
0|2020-05-05|178.0|0|12.0|0|0.0|0
0|2020-05-06|179.0|0|12.0|0|0.0|0
0|2020-05-07|188.0|0|13.0|0|0.0|0
0|2020-05-08|191.0|0|13.0|0|0.0|0
0|2020-05-09|202.0|0|13.0|0|0.0|0
0|2020-05-10|206.0|0|13.0|0|0.0|0
0|2020-05-11|206.0|0|13.0|0|0.0|0
0|2020-05-12|213.0|0|13.0|0|0.0|0
0|2020-05-13|237.0|0|13.0|0|0.0|0
