|dates|SantaClara_California_UnitedStates.JHU_ConfirmedCases.data|SantaClara_California_UnitedStates.JHU_ConfirmedCases.missing|SantaClara_California_UnitedStates.JHU_ConfirmedDeaths.data|SantaClara_California_UnitedStates.JHU_ConfirmedDeaths.missing|SantaClara_California_UnitedStates.JHU_ConfirmedRecoveries.data|SantaClara_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|2.0|0|0.0|0|0.0|0
0|2020-02-09|2.0|0|0.0|0|0.0|0
0|2020-02-10|2.0|0|0.0|0|0.0|0
0|2020-02-11|2.0|0|0.0|0|0.0|0
0|2020-02-12|2.0|0|0.0|0|0.0|0
0|2020-02-13|2.0|0|0.0|0|0.0|0
0|2020-02-14|2.0|0|0.0|0|0.0|0
0|2020-02-15|2.0|0|0.0|0|0.0|0
0|2020-02-16|2.0|0|0.0|0|0.0|0
0|2020-02-17|2.0|0|0.0|0|0.0|0
0|2020-02-18|2.0|0|0.0|0|0.0|0
0|2020-02-19|2.0|0|0.0|0|0.0|0
0|2020-02-20|2.0|0|0.0|0|0.0|0
0|2020-02-21|2.0|0|0.0|0|1.0|0
0|2020-02-22|2.0|0|0.0|0|1.0|0
0|2020-02-23|2.0|0|0.0|0|1.0|0
0|2020-02-24|2.0|0|0.0|0|1.0|0
0|2020-02-25|2.0|0|0.0|0|1.0|0
0|2020-02-26|2.0|0|0.0|0|1.0|0
0|2020-02-27|2.0|0|0.0|0|1.0|0
0|2020-02-28|2.0|0|0.0|0|1.0|0
0|2020-02-29|3.0|0|0.0|0|1.0|0
0|2020-03-01|3.0|0|0.0|0|1.0|0
0|2020-03-02|9.0|0|0.0|0|1.0|0
0|2020-03-03|11.0|0|0.0|0|1.0|0
0|2020-03-04|11.0|0|0.0|0|1.0|0
0|2020-03-05|20.0|0|0.0|0|1.0|0
0|2020-03-06|20.0|0|0.0|0|1.0|0
0|2020-03-07|32.0|0|0.0|0|1.0|0
0|2020-03-08|38.0|0|0.0|0|1.0|0
0|2020-03-09|38.0|0|0.0|0|1.0|0
0|2020-03-10|43.0|0|1.0|0|1.0|0
0|2020-03-11|48.0|0|1.0|0|1.0|0
0|2020-03-12|52.0|0|1.0|0|1.0|0
0|2020-03-13|79.0|0|1.0|0|1.0|0
0|2020-03-14|95.0|0|1.0|0|1.0|0
0|2020-03-15|91.0|0|2.0|0|1.0|0
0|2020-03-16|138.0|0|2.0|0|1.0|0
0|2020-03-17|155.0|0|4.0|0|1.0|0
0|2020-03-18|175.0|0|6.0|0|1.0|0
0|2020-03-19|189.0|0|6.0|0|1.0|0
0|2020-03-20|196.0|0|8.0|0|1.0|0
0|2020-03-21|263.0|0|8.0|0|1.0|0
0|2020-03-22|263.0|0|8.0|0|0.0|0
0|2020-03-23|302.0|0|10.0|0|0.0|0
0|2020-03-24|375.0|0|16.0|0|0.0|0
0|2020-03-25|459.0|0|17.0|0|0.0|0
0|2020-03-26|542.0|0|19.0|0|0.0|0
0|2020-03-27|574.0|0|20.0|0|0.0|0
0|2020-03-28|591.0|0|25.0|0|0.0|0
0|2020-03-29|646.0|0|25.0|0|0.0|0
0|2020-03-30|848.0|0|28.0|0|0.0|0
0|2020-03-31|890.0|0|30.0|0|0.0|0
0|2020-04-01|956.0|0|32.0|0|0.0|0
0|2020-04-02|1019.0|0|36.0|0|0.0|0
0|2020-04-03|1019.0|0|36.0|0|0.0|0
0|2020-04-04|1148.0|0|39.0|0|0.0|0
0|2020-04-05|1207.0|0|39.0|0|0.0|0
0|2020-04-06|1207.0|0|39.0|0|0.0|0
0|2020-04-07|1285.0|0|43.0|0|0.0|0
0|2020-04-08|1380.0|0|46.0|0|0.0|0
0|2020-04-09|1380.0|0|46.0|0|0.0|0
0|2020-04-10|1442.0|0|47.0|0|0.0|0
0|2020-04-11|1484.0|0|50.0|0|0.0|0
0|2020-04-12|1566.0|0|51.0|0|0.0|0
0|2020-04-13|1666.0|0|60.0|0|0.0|0
0|2020-04-14|1666.0|0|60.0|0|0.0|0
0|2020-04-15|1793.0|0|65.0|0|0.0|0
0|2020-04-16|1833.0|0|69.0|0|0.0|0
0|2020-04-17|1870.0|0|73.0|0|0.0|0
0|2020-04-18|1870.0|0|73.0|0|0.0|0
0|2020-04-19|1870.0|0|73.0|0|0.0|0
0|2020-04-20|1922.0|0|83.0|0|0.0|0
0|2020-04-21|1922.0|0|83.0|0|0.0|0
0|2020-04-22|1962.0|0|94.0|0|0.0|0
0|2020-04-23|1987.0|0|95.0|0|0.0|0
0|2020-04-24|2018.0|0|98.0|0|0.0|0
0|2020-04-25|2040.0|0|99.0|0|0.0|0
0|2020-04-26|2084.0|0|100.0|0|0.0|0
0|2020-04-27|2105.0|0|103.0|0|0.0|0
0|2020-04-28|2122.0|0|106.0|0|0.0|0
0|2020-04-29|2134.0|0|107.0|0|0.0|0
0|2020-04-30|2163.0|0|111.0|0|0.0|0
0|2020-05-01|2179.0|0|113.0|0|0.0|0
0|2020-05-02|2205.0|0|114.0|0|0.0|0
0|2020-05-03|2231.0|0|115.0|0|0.0|0
0|2020-05-04|2244.0|0|117.0|0|0.0|0
0|2020-05-05|2255.0|0|121.0|0|0.0|0
0|2020-05-06|2268.0|0|126.0|0|0.0|0
0|2020-05-07|2281.0|0|127.0|0|0.0|0
0|2020-05-08|2290.0|0|128.0|0|0.0|0
0|2020-05-09|2307.0|0|128.0|0|0.0|0
0|2020-05-10|2339.0|0|129.0|0|0.0|0
0|2020-05-11|2339.0|0|129.0|0|0.0|0
0|2020-05-12|2362.0|0|130.0|0|0.0|0
0|2020-05-13|2364.0|0|130.0|0|0.0|0
