|dates|Cheshire_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Cheshire_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Cheshire_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Cheshire_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Cheshire_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Cheshire_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|4.0|0|0.0|0|0.0|0
0|2020-04-01|4.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|8.0|0|0.0|0|0.0|0
0|2020-04-04|9.0|0|0.0|0|0.0|0
0|2020-04-05|10.0|0|0.0|0|0.0|0
0|2020-04-06|13.0|0|0.0|0|0.0|0
0|2020-04-07|13.0|0|0.0|0|0.0|0
0|2020-04-08|13.0|0|0.0|0|0.0|0
0|2020-04-09|14.0|0|0.0|0|0.0|0
0|2020-04-10|14.0|0|0.0|0|0.0|0
0|2020-04-11|17.0|0|0.0|0|0.0|0
0|2020-04-12|18.0|0|0.0|0|0.0|0
0|2020-04-13|19.0|0|0.0|0|0.0|0
0|2020-04-14|21.0|0|0.0|0|0.0|0
0|2020-04-15|26.0|0|0.0|0|0.0|0
0|2020-04-16|26.0|0|0.0|0|0.0|0
0|2020-04-17|27.0|0|0.0|0|0.0|0
0|2020-04-18|28.0|0|0.0|0|0.0|0
0|2020-04-19|29.0|0|0.0|0|0.0|0
0|2020-04-20|30.0|0|0.0|0|0.0|0
0|2020-04-21|30.0|0|0.0|0|0.0|0
0|2020-04-22|33.0|0|0.0|0|0.0|0
0|2020-04-23|35.0|0|0.0|0|0.0|0
0|2020-04-24|35.0|0|0.0|0|0.0|0
0|2020-04-25|36.0|0|0.0|0|0.0|0
0|2020-04-26|36.0|0|0.0|0|0.0|0
0|2020-04-27|38.0|0|0.0|0|0.0|0
0|2020-04-28|40.0|0|0.0|0|0.0|0
0|2020-04-29|40.0|0|0.0|0|0.0|0
0|2020-04-30|40.0|0|2.0|0|0.0|0
0|2020-05-01|40.0|0|2.0|0|0.0|0
0|2020-05-02|40.0|0|2.0|0|0.0|0
0|2020-05-03|40.0|0|2.0|0|0.0|0
0|2020-05-04|40.0|0|2.0|0|0.0|0
0|2020-05-05|41.0|0|2.0|0|0.0|0
0|2020-05-06|41.0|0|2.0|0|0.0|0
0|2020-05-07|41.0|0|2.0|0|0.0|0
0|2020-05-08|43.0|0|2.0|0|0.0|0
0|2020-05-09|43.0|0|2.0|0|0.0|0
0|2020-05-10|43.0|0|2.0|0|0.0|0
0|2020-05-11|43.0|0|2.0|0|0.0|0
0|2020-05-12|44.0|0|2.0|0|0.0|0
0|2020-05-13|45.0|0|2.0|0|0.0|0
