|dates|Scott_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Scott_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Scott_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|9.0|0|0.0|0|0.0|0
0|2020-03-30|10.0|0|0.0|0|0.0|0
0|2020-03-31|10.0|0|0.0|0|0.0|0
0|2020-04-01|10.0|0|0.0|0|0.0|0
0|2020-04-02|10.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|1.0|0|0.0|0
0|2020-04-05|13.0|0|1.0|0|0.0|0
0|2020-04-06|15.0|0|1.0|0|0.0|0
0|2020-04-07|16.0|0|1.0|0|0.0|0
0|2020-04-08|17.0|0|1.0|0|0.0|0
0|2020-04-09|19.0|0|1.0|0|0.0|0
0|2020-04-10|19.0|0|1.0|0|0.0|0
0|2020-04-11|20.0|0|1.0|0|0.0|0
0|2020-04-12|20.0|0|1.0|0|0.0|0
0|2020-04-13|20.0|0|1.0|0|0.0|0
0|2020-04-14|20.0|0|1.0|0|0.0|0
0|2020-04-15|20.0|0|1.0|0|0.0|0
0|2020-04-16|20.0|0|1.0|0|0.0|0
0|2020-04-17|23.0|0|1.0|0|0.0|0
0|2020-04-18|23.0|0|1.0|0|0.0|0
0|2020-04-19|25.0|0|1.0|0|0.0|0
0|2020-04-20|27.0|0|1.0|0|0.0|0
0|2020-04-21|27.0|0|1.0|0|0.0|0
0|2020-04-22|28.0|0|1.0|0|0.0|0
0|2020-04-23|29.0|0|1.0|0|0.0|0
0|2020-04-24|30.0|0|1.0|0|0.0|0
0|2020-04-25|32.0|0|1.0|0|0.0|0
0|2020-04-26|32.0|0|1.0|0|0.0|0
0|2020-04-27|35.0|0|1.0|0|0.0|0
0|2020-04-28|36.0|0|1.0|0|0.0|0
0|2020-04-29|41.0|0|1.0|0|0.0|0
0|2020-04-30|44.0|0|1.0|0|0.0|0
0|2020-05-01|46.0|0|1.0|0|0.0|0
0|2020-05-02|52.0|0|1.0|0|0.0|0
0|2020-05-03|58.0|0|1.0|0|0.0|0
0|2020-05-04|63.0|0|1.0|0|0.0|0
0|2020-05-05|74.0|0|1.0|0|0.0|0
0|2020-05-06|90.0|0|1.0|0|0.0|0
0|2020-05-07|100.0|0|1.0|0|0.0|0
0|2020-05-08|121.0|0|1.0|0|0.0|0
0|2020-05-09|129.0|0|1.0|0|0.0|0
0|2020-05-10|140.0|0|1.0|0|0.0|0
0|2020-05-11|140.0|0|1.0|0|0.0|0
0|2020-05-12|168.0|0|1.0|0|0.0|0
0|2020-05-13|177.0|0|1.0|0|0.0|0
