|dates|Lawrence_Indiana_UnitedStates.JHU_ConfirmedCases.data|Lawrence_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Lawrence_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Lawrence_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Lawrence_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Lawrence_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|11.0|0|1.0|0|0.0|0
0|2020-04-02|12.0|0|1.0|0|0.0|0
0|2020-04-03|22.0|0|4.0|0|0.0|0
0|2020-04-04|36.0|0|5.0|0|0.0|0
0|2020-04-05|39.0|0|5.0|0|0.0|0
0|2020-04-06|39.0|0|5.0|0|0.0|0
0|2020-04-07|44.0|0|5.0|0|0.0|0
0|2020-04-08|55.0|0|7.0|0|0.0|0
0|2020-04-09|56.0|0|7.0|0|0.0|0
0|2020-04-10|59.0|0|7.0|0|0.0|0
0|2020-04-11|63.0|0|7.0|0|0.0|0
0|2020-04-12|68.0|0|7.0|0|0.0|0
0|2020-04-13|71.0|0|7.0|0|0.0|0
0|2020-04-14|73.0|0|7.0|0|0.0|0
0|2020-04-15|73.0|0|9.0|0|0.0|0
0|2020-04-16|74.0|0|9.0|0|0.0|0
0|2020-04-17|76.0|0|9.0|0|0.0|0
0|2020-04-18|77.0|0|9.0|0|0.0|0
0|2020-04-19|79.0|0|9.0|0|0.0|0
0|2020-04-20|81.0|0|9.0|0|0.0|0
0|2020-04-21|83.0|0|9.0|0|0.0|0
0|2020-04-22|83.0|0|9.0|0|0.0|0
0|2020-04-23|86.0|0|9.0|0|0.0|0
0|2020-04-24|87.0|0|9.0|0|0.0|0
0|2020-04-25|92.0|0|9.0|0|0.0|0
0|2020-04-26|92.0|0|11.0|0|0.0|0
0|2020-04-27|93.0|0|11.0|0|0.0|0
0|2020-04-28|95.0|0|11.0|0|0.0|0
0|2020-04-29|94.0|0|13.0|0|0.0|0
0|2020-04-30|99.0|0|13.0|0|0.0|0
0|2020-05-01|99.0|0|13.0|0|0.0|0
0|2020-05-02|105.0|0|13.0|0|0.0|0
0|2020-05-03|105.0|0|13.0|0|0.0|0
0|2020-05-04|108.0|0|14.0|0|0.0|0
0|2020-05-05|109.0|0|14.0|0|0.0|0
0|2020-05-06|111.0|0|14.0|0|0.0|0
0|2020-05-07|112.0|0|15.0|0|0.0|0
0|2020-05-08|115.0|0|15.0|0|0.0|0
0|2020-05-09|116.0|0|15.0|0|0.0|0
0|2020-05-10|116.0|0|16.0|0|0.0|0
0|2020-05-11|116.0|0|16.0|0|0.0|0
0|2020-05-12|122.0|0|16.0|0|0.0|0
0|2020-05-13|124.0|0|16.0|0|0.0|0
