|dates|Benton_Oregon_UnitedStates.JHU_ConfirmedCases.data|Benton_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Benton_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|12.0|0|1.0|0|0.0|0
0|2020-04-01|13.0|0|1.0|0|0.0|0
0|2020-04-02|15.0|0|1.0|0|0.0|0
0|2020-04-03|17.0|0|1.0|0|0.0|0
0|2020-04-04|17.0|0|1.0|0|0.0|0
0|2020-04-05|19.0|0|1.0|0|0.0|0
0|2020-04-06|19.0|0|1.0|0|0.0|0
0|2020-04-07|21.0|0|1.0|0|0.0|0
0|2020-04-08|21.0|0|1.0|0|0.0|0
0|2020-04-09|21.0|0|1.0|0|0.0|0
0|2020-04-10|21.0|0|1.0|0|0.0|0
0|2020-04-11|21.0|0|2.0|0|0.0|0
0|2020-04-12|23.0|0|2.0|0|0.0|0
0|2020-04-13|23.0|0|2.0|0|0.0|0
0|2020-04-14|24.0|0|3.0|0|0.0|0
0|2020-04-15|25.0|0|3.0|0|0.0|0
0|2020-04-16|27.0|0|4.0|0|0.0|0
0|2020-04-17|27.0|0|4.0|0|0.0|0
0|2020-04-18|27.0|0|4.0|0|0.0|0
0|2020-04-19|27.0|0|5.0|0|0.0|0
0|2020-04-20|28.0|0|5.0|0|0.0|0
0|2020-04-21|28.0|0|5.0|0|0.0|0
0|2020-04-22|27.0|0|5.0|0|0.0|0
0|2020-04-23|27.0|0|5.0|0|0.0|0
0|2020-04-24|27.0|0|5.0|0|0.0|0
0|2020-04-25|28.0|0|5.0|0|0.0|0
0|2020-04-26|29.0|0|5.0|0|0.0|0
0|2020-04-27|29.0|0|5.0|0|0.0|0
0|2020-04-28|29.0|0|5.0|0|0.0|0
0|2020-04-29|29.0|0|5.0|0|0.0|0
0|2020-04-30|30.0|0|5.0|0|0.0|0
0|2020-05-01|32.0|0|5.0|0|0.0|0
0|2020-05-02|32.0|0|5.0|0|0.0|0
0|2020-05-03|32.0|0|5.0|0|0.0|0
0|2020-05-04|36.0|0|5.0|0|0.0|0
0|2020-05-05|39.0|0|5.0|0|0.0|0
0|2020-05-06|40.0|0|5.0|0|0.0|0
0|2020-05-07|44.0|0|5.0|0|0.0|0
0|2020-05-08|43.0|0|5.0|0|0.0|0
0|2020-05-09|44.0|0|5.0|0|0.0|0
0|2020-05-10|47.0|0|5.0|0|0.0|0
0|2020-05-11|47.0|0|5.0|0|0.0|0
0|2020-05-12|50.0|0|5.0|0|0.0|0
0|2020-05-13|50.0|0|5.0|0|0.0|0
