|dates|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|10.0|0|0.0|0|0.0|0
0|2020-03-17|11.0|0|0.0|0|0.0|0
0|2020-03-18|12.0|0|0.0|0|0.0|0
0|2020-03-19|12.0|0|0.0|0|0.0|0
0|2020-03-20|16.0|0|0.0|0|0.0|0
0|2020-03-21|17.0|0|1.0|0|0.0|0
0|2020-03-22|18.0|0|1.0|0|0.0|0
0|2020-03-23|24.0|0|1.0|0|0.0|0
0|2020-03-24|26.0|0|1.0|0|0.0|0
0|2020-03-25|27.0|0|1.0|0|0.0|0
0|2020-03-26|32.0|0|2.0|0|0.0|0
0|2020-03-27|34.0|0|2.0|0|0.0|0
0|2020-03-28|42.0|0|2.0|0|0.0|0
0|2020-03-29|46.0|0|2.0|0|0.0|0
0|2020-03-30|50.0|0|2.0|0|0.0|0
0|2020-03-31|56.0|0|2.0|0|0.0|0
0|2020-04-01|66.0|0|2.0|0|0.0|0
0|2020-04-02|67.0|0|2.0|0|0.0|0
0|2020-04-03|71.0|0|2.0|0|0.0|0
0|2020-04-04|79.0|0|2.0|0|0.0|0
0|2020-04-05|91.0|0|2.0|0|0.0|0
0|2020-04-06|96.0|0|3.0|0|0.0|0
0|2020-04-07|101.0|0|3.0|0|0.0|0
0|2020-04-08|112.0|0|3.0|0|0.0|0
0|2020-04-09|121.0|0|5.0|0|0.0|0
0|2020-04-10|124.0|0|5.0|0|0.0|0
0|2020-04-11|132.0|0|6.0|0|0.0|0
0|2020-04-12|152.0|0|6.0|0|0.0|0
0|2020-04-13|152.0|0|6.0|0|0.0|0
0|2020-04-14|153.0|0|7.0|0|0.0|0
0|2020-04-15|164.0|0|7.0|0|0.0|0
0|2020-04-16|164.0|0|7.0|0|0.0|0
0|2020-04-17|178.0|0|9.0|0|0.0|0
0|2020-04-18|192.0|0|9.0|0|0.0|0
0|2020-04-19|196.0|0|9.0|0|0.0|0
0|2020-04-20|202.0|0|10.0|0|0.0|0
0|2020-04-21|215.0|0|11.0|0|0.0|0
0|2020-04-22|219.0|0|11.0|0|0.0|0
0|2020-04-23|235.0|0|14.0|0|0.0|0
0|2020-04-24|247.0|0|18.0|0|0.0|0
0|2020-04-25|261.0|0|20.0|0|0.0|0
0|2020-04-26|278.0|0|20.0|0|0.0|0
0|2020-04-27|297.0|0|22.0|0|0.0|0
0|2020-04-28|317.0|0|22.0|0|0.0|0
0|2020-04-29|332.0|0|24.0|0|0.0|0
0|2020-04-30|374.0|0|26.0|0|0.0|0
0|2020-05-01|405.0|0|29.0|0|0.0|0
0|2020-05-02|453.0|0|31.0|0|0.0|0
0|2020-05-03|493.0|0|34.0|0|0.0|0
0|2020-05-04|535.0|0|34.0|0|0.0|0
0|2020-05-05|583.0|0|37.0|0|0.0|0
0|2020-05-06|656.0|0|38.0|0|0.0|0
0|2020-05-07|717.0|0|39.0|0|0.0|0
0|2020-05-08|800.0|0|42.0|0|0.0|0
0|2020-05-09|875.0|0|43.0|0|0.0|0
0|2020-05-10|920.0|0|45.0|0|0.0|0
0|2020-05-11|920.0|0|45.0|0|0.0|0
0|2020-05-12|1052.0|0|49.0|0|0.0|0
0|2020-05-13|1124.0|0|55.0|0|0.0|0
