|dates|Loudoun_Virginia_UnitedStates.JHU_ConfirmedCases.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Loudoun_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Loudoun_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|9.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|15.0|0|0.0|0|0.0|0
0|2020-03-23|15.0|0|0.0|0|0.0|0
0|2020-03-24|18.0|0|0.0|0|0.0|0
0|2020-03-25|20.0|0|0.0|0|0.0|0
0|2020-03-26|28.0|0|1.0|0|0.0|0
0|2020-03-27|43.0|0|1.0|0|0.0|0
0|2020-03-28|54.0|0|1.0|0|0.0|0
0|2020-03-29|61.0|0|1.0|0|0.0|0
0|2020-03-30|61.0|0|1.0|0|0.0|0
0|2020-03-31|87.0|0|1.0|0|0.0|0
0|2020-04-01|105.0|0|1.0|0|0.0|0
0|2020-04-02|121.0|0|1.0|0|0.0|0
0|2020-04-03|130.0|0|1.0|0|0.0|0
0|2020-04-04|150.0|0|1.0|0|0.0|0
0|2020-04-05|167.0|0|1.0|0|0.0|0
0|2020-04-06|188.0|0|1.0|0|0.0|0
0|2020-04-07|209.0|0|1.0|0|0.0|0
0|2020-04-08|238.0|0|1.0|0|0.0|0
0|2020-04-09|258.0|0|1.0|0|0.0|0
0|2020-04-10|274.0|0|5.0|0|0.0|0
0|2020-04-11|296.0|0|5.0|0|0.0|0
0|2020-04-12|309.0|0|5.0|0|0.0|0
0|2020-04-13|324.0|0|5.0|0|0.0|0
0|2020-04-14|344.0|0|5.0|0|0.0|0
0|2020-04-15|367.0|0|7.0|0|0.0|0
0|2020-04-16|378.0|0|7.0|0|0.0|0
0|2020-04-17|385.0|0|8.0|0|0.0|0
0|2020-04-18|413.0|0|8.0|0|0.0|0
0|2020-04-19|425.0|0|8.0|0|0.0|0
0|2020-04-20|446.0|0|8.0|0|0.0|0
0|2020-04-21|468.0|0|8.0|0|0.0|0
0|2020-04-22|475.0|0|9.0|0|0.0|0
0|2020-04-23|498.0|0|10.0|0|0.0|0
0|2020-04-24|529.0|0|10.0|0|0.0|0
0|2020-04-25|564.0|0|11.0|0|0.0|0
0|2020-04-26|596.0|0|11.0|0|0.0|0
0|2020-04-27|628.0|0|12.0|0|0.0|0
0|2020-04-28|688.0|0|12.0|0|0.0|0
0|2020-04-29|727.0|0|14.0|0|0.0|0
0|2020-04-30|746.0|0|15.0|0|0.0|0
0|2020-05-01|832.0|0|15.0|0|0.0|0
0|2020-05-02|881.0|0|16.0|0|0.0|0
0|2020-05-03|931.0|0|16.0|0|0.0|0
0|2020-05-04|961.0|0|18.0|0|0.0|0
0|2020-05-05|998.0|0|24.0|0|0.0|0
0|2020-05-06|998.0|0|24.0|0|0.0|0
0|2020-05-07|1043.0|0|26.0|0|0.0|0
0|2020-05-08|1070.0|0|29.0|0|0.0|0
0|2020-05-09|1127.0|0|30.0|0|0.0|0
0|2020-05-10|1159.0|0|30.0|0|0.0|0
0|2020-05-11|1159.0|0|30.0|0|0.0|0
0|2020-05-12|1210.0|0|35.0|0|0.0|0
0|2020-05-13|1283.0|0|38.0|0|0.0|0
