|dates|Elkhart_Indiana_UnitedStates.JHU_ConfirmedCases.data|Elkhart_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Elkhart_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Elkhart_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Elkhart_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Elkhart_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|9.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|20.0|0|1.0|0|0.0|0
0|2020-04-01|23.0|0|2.0|0|0.0|0
0|2020-04-02|27.0|0|3.0|0|0.0|0
0|2020-04-03|29.0|0|3.0|0|0.0|0
0|2020-04-04|31.0|0|3.0|0|0.0|0
0|2020-04-05|35.0|0|3.0|0|0.0|0
0|2020-04-06|36.0|0|3.0|0|0.0|0
0|2020-04-07|43.0|0|3.0|0|0.0|0
0|2020-04-08|46.0|0|3.0|0|0.0|0
0|2020-04-09|56.0|0|3.0|0|0.0|0
0|2020-04-10|61.0|0|3.0|0|0.0|0
0|2020-04-11|71.0|0|3.0|0|0.0|0
0|2020-04-12|83.0|0|3.0|0|0.0|0
0|2020-04-13|89.0|0|3.0|0|0.0|0
0|2020-04-14|100.0|0|3.0|0|0.0|0
0|2020-04-15|105.0|0|3.0|0|0.0|0
0|2020-04-16|123.0|0|3.0|0|0.0|0
0|2020-04-17|130.0|0|3.0|0|0.0|0
0|2020-04-18|148.0|0|3.0|0|0.0|0
0|2020-04-19|152.0|0|3.0|0|0.0|0
0|2020-04-20|164.0|0|3.0|0|0.0|0
0|2020-04-21|179.0|0|3.0|0|0.0|0
0|2020-04-22|185.0|0|3.0|0|0.0|0
0|2020-04-23|196.0|0|4.0|0|0.0|0
0|2020-04-24|211.0|0|4.0|0|0.0|0
0|2020-04-25|238.0|0|4.0|0|0.0|0
0|2020-04-26|245.0|0|4.0|0|0.0|0
0|2020-04-27|247.0|0|5.0|0|0.0|0
0|2020-04-28|269.0|0|7.0|0|0.0|0
0|2020-04-29|281.0|0|7.0|0|0.0|0
0|2020-04-30|287.0|0|7.0|0|0.0|0
0|2020-05-01|293.0|0|9.0|0|0.0|0
0|2020-05-02|295.0|0|9.0|0|0.0|0
0|2020-05-03|311.0|0|12.0|0|0.0|0
0|2020-05-04|321.0|0|13.0|0|0.0|0
0|2020-05-05|342.0|0|13.0|0|0.0|0
0|2020-05-06|361.0|0|16.0|0|0.0|0
0|2020-05-07|387.0|0|16.0|0|0.0|0
0|2020-05-08|410.0|0|16.0|0|0.0|0
0|2020-05-09|436.0|0|18.0|0|0.0|0
0|2020-05-10|484.0|0|18.0|0|0.0|0
0|2020-05-11|484.0|0|18.0|0|0.0|0
0|2020-05-12|525.0|0|21.0|0|0.0|0
0|2020-05-13|549.0|0|21.0|0|0.0|0
