|dates|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|48.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|9.0|0|0.0|0|0.0|0
0|2020-03-22|50.0|0|0.0|0|0.0|0
0|2020-03-23|11.0|0|0.0|0|0.0|0
0|2020-03-24|12.0|0|1.0|0|0.0|0
0|2020-03-25|11.0|0|1.0|0|0.0|0
0|2020-03-26|13.0|0|1.0|0|0.0|0
0|2020-03-27|16.0|0|1.0|0|0.0|0
0|2020-03-28|9.0|0|1.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|14.0|0|0.0|0|0.0|0
0|2020-03-31|22.0|0|4.0|0|0.0|0
0|2020-04-01|28.0|0|0.0|0|0.0|0
0|2020-04-02|38.0|0|1.0|0|0.0|0
0|2020-04-03|40.0|0|4.0|0|0.0|0
0|2020-04-04|31.0|0|0.0|0|0.0|0
0|2020-04-05|31.0|0|4.0|0|0.0|0
0|2020-04-06|48.0|0|3.0|0|0.0|0
0|2020-04-07|49.0|0|2.0|0|0.0|0
0|2020-04-08|49.0|0|2.0|0|0.0|0
0|2020-04-09|51.0|0|2.0|0|0.0|0
0|2020-04-10|54.0|0|2.0|0|0.0|0
0|2020-04-11|54.0|0|3.0|0|0.0|0
0|2020-04-12|54.0|0|3.0|0|0.0|0
0|2020-04-13|56.0|0|0.0|0|0.0|0
0|2020-04-14|56.0|0|0.0|0|0.0|0
0|2020-04-15|56.0|0|1.0|0|0.0|0
0|2020-04-16|56.0|0|1.0|0|0.0|0
0|2020-04-17|56.0|0|1.0|0|0.0|0
0|2020-04-18|57.0|0|1.0|0|0.0|0
0|2020-04-19|58.0|0|1.0|0|0.0|0
0|2020-04-20|59.0|0|1.0|0|0.0|0
0|2020-04-21|59.0|0|2.0|0|0.0|0
0|2020-04-22|60.0|0|1.0|0|0.0|0
0|2020-04-23|62.0|0|59.0|0|0.0|0
0|2020-04-24|63.0|0|59.0|0|0.0|0
0|2020-04-25|63.0|0|63.0|0|0.0|0
0|2020-04-26|64.0|0|59.0|0|0.0|0
0|2020-04-27|64.0|0|43.0|0|0.0|0
0|2020-04-28|61.0|0|43.0|0|0.0|0
0|2020-04-29|61.0|0|43.0|0|0.0|0
0|2020-04-30|61.0|0|43.0|0|0.0|0
0|2020-05-01|63.0|0|43.0|0|0.0|0
0|2020-05-02|63.0|0|43.0|0|0.0|0
0|2020-05-03|63.0|0|43.0|0|0.0|0
0|2020-05-04|63.0|0|73.0|0|0.0|0
0|2020-05-05|63.0|0|73.0|0|0.0|0
0|2020-05-06|63.0|0|74.0|0|0.0|0
0|2020-05-07|63.0|0|74.0|0|0.0|0
0|2020-05-08|63.0|0|74.0|0|0.0|0
0|2020-05-09|64.0|0|74.0|0|0.0|0
0|2020-05-10|64.0|0|74.0|0|0.0|0
0|2020-05-11|64.0|0|74.0|0|0.0|0
0|2020-05-12|64.0|0|67.0|0|0.0|0
0|2020-05-13|64.0|0|66.0|0|0.0|0
