|dates|Lake_Indiana_UnitedStates.JHU_ConfirmedCases.data|Lake_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Lake_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|10.0|0|0.0|0|0.0|0
0|2020-03-24|17.0|0|0.0|0|0.0|0
0|2020-03-25|19.0|0|0.0|0|0.0|0
0|2020-03-26|31.0|0|0.0|0|0.0|0
0|2020-03-27|47.0|0|0.0|0|0.0|0
0|2020-03-28|68.0|0|1.0|0|0.0|0
0|2020-03-29|85.0|0|1.0|0|0.0|0
0|2020-03-30|97.0|0|1.0|0|0.0|0
0|2020-03-31|146.0|0|5.0|0|0.0|0
0|2020-04-01|180.0|0|6.0|0|0.0|0
0|2020-04-02|215.0|0|6.0|0|0.0|0
0|2020-04-03|244.0|0|7.0|0|0.0|0
0|2020-04-04|313.0|0|8.0|0|0.0|0
0|2020-04-05|335.0|0|8.0|0|0.0|0
0|2020-04-06|369.0|0|8.0|0|0.0|0
0|2020-04-07|418.0|0|11.0|0|0.0|0
0|2020-04-08|461.0|0|12.0|0|0.0|0
0|2020-04-09|525.0|0|19.0|0|0.0|0
0|2020-04-10|576.0|0|23.0|0|0.0|0
0|2020-04-11|676.0|0|25.0|0|0.0|0
0|2020-04-12|744.0|0|25.0|0|0.0|0
0|2020-04-13|796.0|0|26.0|0|0.0|0
0|2020-04-14|819.0|0|31.0|0|0.0|0
0|2020-04-15|876.0|0|33.0|0|0.0|0
0|2020-04-16|978.0|0|41.0|0|0.0|0
0|2020-04-17|1026.0|0|42.0|0|0.0|0
0|2020-04-18|1095.0|0|43.0|0|0.0|0
0|2020-04-19|1105.0|0|45.0|0|0.0|0
0|2020-04-20|1182.0|0|47.0|0|0.0|0
0|2020-04-21|1227.0|0|54.0|0|0.0|0
0|2020-04-22|1292.0|0|57.0|0|0.0|0
0|2020-04-23|1346.0|0|61.0|0|0.0|0
0|2020-04-24|1445.0|0|63.0|0|0.0|0
0|2020-04-25|1515.0|0|67.0|0|0.0|0
0|2020-04-26|1533.0|0|69.0|0|0.0|0
0|2020-04-27|1586.0|0|70.0|0|0.0|0
0|2020-04-28|1715.0|0|77.0|0|0.0|0
0|2020-04-29|1786.0|0|81.0|0|0.0|0
0|2020-04-30|1846.0|0|83.0|0|0.0|0
0|2020-05-01|1929.0|0|92.0|0|0.0|0
0|2020-05-02|1993.0|0|95.0|0|0.0|0
0|2020-05-03|2036.0|0|95.0|0|0.0|0
0|2020-05-04|2098.0|0|97.0|0|0.0|0
0|2020-05-05|2161.0|0|103.0|0|0.0|0
0|2020-05-06|2233.0|0|106.0|0|0.0|0
0|2020-05-07|2288.0|0|111.0|0|0.0|0
0|2020-05-08|2359.0|0|118.0|0|0.0|0
0|2020-05-09|2392.0|0|122.0|0|0.0|0
0|2020-05-10|2445.0|0|124.0|0|0.0|0
0|2020-05-11|2445.0|0|124.0|0|0.0|0
0|2020-05-12|2534.0|0|128.0|0|0.0|0
0|2020-05-13|2588.0|0|132.0|0|0.0|0
