|dates|Gallatin_Montana_UnitedStates.JHU_ConfirmedCases.data|Gallatin_Montana_UnitedStates.JHU_ConfirmedCases.missing|Gallatin_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Gallatin_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Gallatin_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Gallatin_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|10.0|0|0.0|0|0.0|0
0|2020-03-24|16.0|0|0.0|0|0.0|0
0|2020-03-25|24.0|0|0.0|0|0.0|0
0|2020-03-26|38.0|0|0.0|0|0.0|0
0|2020-03-27|39.0|0|0.0|0|0.0|0
0|2020-03-28|46.0|0|0.0|0|0.0|0
0|2020-03-29|58.0|0|0.0|0|0.0|0
0|2020-03-30|67.0|0|0.0|0|0.0|0
0|2020-03-31|74.0|0|0.0|0|0.0|0
0|2020-04-01|76.0|0|0.0|0|0.0|0
0|2020-04-02|93.0|0|0.0|0|0.0|0
0|2020-04-03|93.0|0|0.0|0|0.0|0
0|2020-04-04|101.0|0|0.0|0|0.0|0
0|2020-04-05|110.0|0|0.0|0|0.0|0
0|2020-04-06|116.0|0|0.0|0|0.0|0
0|2020-04-07|118.0|0|0.0|0|0.0|0
0|2020-04-08|120.0|0|0.0|0|0.0|0
0|2020-04-09|128.0|0|0.0|0|0.0|0
0|2020-04-10|134.0|0|0.0|0|0.0|0
0|2020-04-11|135.0|0|0.0|0|0.0|0
0|2020-04-12|138.0|0|0.0|0|0.0|0
0|2020-04-13|138.0|0|0.0|0|0.0|0
0|2020-04-14|138.0|0|0.0|0|0.0|0
0|2020-04-15|139.0|0|0.0|0|0.0|0
0|2020-04-16|141.0|0|0.0|0|0.0|0
0|2020-04-17|142.0|0|0.0|0|0.0|0
0|2020-04-18|142.0|0|0.0|0|0.0|0
0|2020-04-19|143.0|0|0.0|0|0.0|0
0|2020-04-20|143.0|0|0.0|0|0.0|0
0|2020-04-21|145.0|0|0.0|0|0.0|0
0|2020-04-22|145.0|0|0.0|0|0.0|0
0|2020-04-23|146.0|0|0.0|0|0.0|0
0|2020-04-24|146.0|0|0.0|0|0.0|0
0|2020-04-25|146.0|0|0.0|0|0.0|0
0|2020-04-26|146.0|0|0.0|0|0.0|0
0|2020-04-27|146.0|0|0.0|0|0.0|0
0|2020-04-28|146.0|0|1.0|0|0.0|0
0|2020-04-29|146.0|0|1.0|0|0.0|0
0|2020-04-30|146.0|0|1.0|0|0.0|0
0|2020-05-01|146.0|0|1.0|0|0.0|0
0|2020-05-02|146.0|0|1.0|0|0.0|0
0|2020-05-03|146.0|0|1.0|0|0.0|0
0|2020-05-04|146.0|0|1.0|0|0.0|0
0|2020-05-05|146.0|0|1.0|0|0.0|0
0|2020-05-06|146.0|0|1.0|0|0.0|0
0|2020-05-07|146.0|0|1.0|0|0.0|0
0|2020-05-08|148.0|0|1.0|0|0.0|0
0|2020-05-09|149.0|0|1.0|0|0.0|0
0|2020-05-10|149.0|0|1.0|0|0.0|0
0|2020-05-11|149.0|0|1.0|0|0.0|0
0|2020-05-12|149.0|0|1.0|0|0.0|0
0|2020-05-13|149.0|0|1.0|0|0.0|0
