|dates|Pope_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Pope_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Pope_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|6.0|0|0.0|0|0.0|0
0|2020-04-03|8.0|0|0.0|0|0.0|0
0|2020-04-04|8.0|0|0.0|0|0.0|0
0|2020-04-05|11.0|0|0.0|0|0.0|0
0|2020-04-06|13.0|0|0.0|0|0.0|0
0|2020-04-07|17.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|23.0|0|0.0|0|0.0|0
0|2020-04-10|23.0|0|0.0|0|0.0|0
0|2020-04-11|26.0|0|0.0|0|0.0|0
0|2020-04-12|30.0|0|0.0|0|0.0|0
0|2020-04-13|31.0|0|0.0|0|0.0|0
0|2020-04-14|31.0|0|0.0|0|0.0|0
0|2020-04-15|31.0|0|0.0|0|0.0|0
0|2020-04-16|33.0|0|0.0|0|0.0|0
0|2020-04-17|33.0|0|0.0|0|0.0|0
0|2020-04-18|35.0|0|0.0|0|0.0|0
0|2020-04-19|35.0|0|0.0|0|0.0|0
0|2020-04-20|35.0|0|0.0|0|0.0|0
0|2020-04-21|35.0|0|0.0|0|0.0|0
0|2020-04-22|35.0|0|0.0|0|0.0|0
0|2020-04-23|37.0|0|0.0|0|0.0|0
0|2020-04-24|37.0|0|0.0|0|0.0|0
0|2020-04-25|37.0|0|0.0|0|0.0|0
0|2020-04-26|41.0|0|0.0|0|0.0|0
0|2020-04-27|42.0|0|0.0|0|0.0|0
0|2020-04-28|42.0|0|0.0|0|0.0|0
0|2020-04-29|43.0|0|0.0|0|0.0|0
0|2020-04-30|43.0|0|0.0|0|0.0|0
0|2020-05-01|43.0|0|0.0|0|0.0|0
0|2020-05-02|44.0|0|0.0|0|0.0|0
0|2020-05-03|44.0|0|0.0|0|0.0|0
0|2020-05-04|44.0|0|0.0|0|0.0|0
0|2020-05-05|45.0|0|0.0|0|0.0|0
0|2020-05-06|46.0|0|0.0|0|0.0|0
0|2020-05-07|47.0|0|0.0|0|0.0|0
0|2020-05-08|47.0|0|0.0|0|0.0|0
0|2020-05-09|47.0|0|0.0|0|0.0|0
0|2020-05-10|47.0|0|0.0|0|0.0|0
0|2020-05-11|47.0|0|0.0|0|0.0|0
0|2020-05-12|48.0|0|0.0|0|0.0|0
0|2020-05-13|51.0|0|0.0|0|0.0|0
