|dates|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|11.0|0|0.0|0|0.0|0
0|2020-03-25|16.0|0|0.0|0|0.0|0
0|2020-03-26|24.0|0|0.0|0|0.0|0
0|2020-03-27|30.0|0|0.0|0|0.0|0
0|2020-03-28|41.0|0|0.0|0|0.0|0
0|2020-03-29|47.0|0|0.0|0|0.0|0
0|2020-03-30|55.0|0|0.0|0|0.0|0
0|2020-03-31|61.0|0|0.0|0|0.0|0
0|2020-04-01|72.0|0|0.0|0|0.0|0
0|2020-04-02|84.0|0|0.0|0|0.0|0
0|2020-04-03|110.0|0|0.0|0|0.0|0
0|2020-04-04|135.0|0|0.0|0|0.0|0
0|2020-04-05|147.0|0|0.0|0|0.0|0
0|2020-04-06|157.0|0|0.0|0|0.0|0
0|2020-04-07|177.0|0|0.0|0|0.0|0
0|2020-04-08|183.0|0|0.0|0|0.0|0
0|2020-04-09|190.0|0|0.0|0|0.0|0
0|2020-04-10|202.0|0|5.0|0|0.0|0
0|2020-04-11|218.0|0|6.0|0|0.0|0
0|2020-04-12|223.0|0|6.0|0|0.0|0
0|2020-04-13|228.0|0|6.0|0|0.0|0
0|2020-04-14|231.0|0|6.0|0|0.0|0
0|2020-04-15|237.0|0|11.0|0|0.0|0
0|2020-04-16|240.0|0|13.0|0|0.0|0
0|2020-04-17|249.0|0|13.0|0|0.0|0
0|2020-04-18|280.0|0|13.0|0|0.0|0
0|2020-04-19|284.0|0|16.0|0|0.0|0
0|2020-04-20|286.0|0|16.0|0|0.0|0
0|2020-04-21|291.0|0|20.0|0|0.0|0
0|2020-04-22|300.0|0|20.0|0|0.0|0
0|2020-04-23|307.0|0|20.0|0|0.0|0
0|2020-04-24|317.0|0|20.0|0|0.0|0
0|2020-04-25|360.0|0|19.0|0|0.0|0
0|2020-04-26|374.0|0|19.0|0|0.0|0
0|2020-04-27|377.0|0|19.0|0|0.0|0
0|2020-04-28|383.0|0|20.0|0|0.0|0
0|2020-04-29|386.0|0|25.0|0|0.0|0
0|2020-04-30|391.0|0|25.0|0|0.0|0
0|2020-05-01|393.0|0|25.0|0|0.0|0
0|2020-05-02|396.0|0|26.0|0|0.0|0
0|2020-05-03|401.0|0|26.0|0|0.0|0
0|2020-05-04|403.0|0|26.0|0|0.0|0
0|2020-05-05|405.0|0|27.0|0|0.0|0
0|2020-05-06|409.0|0|29.0|0|0.0|0
0|2020-05-07|411.0|0|29.0|0|0.0|0
0|2020-05-08|413.0|0|30.0|0|0.0|0
0|2020-05-09|415.0|0|30.0|0|0.0|0
0|2020-05-10|417.0|0|30.0|0|0.0|0
0|2020-05-11|417.0|0|30.0|0|0.0|0
0|2020-05-12|419.0|0|30.0|0|0.0|0
0|2020-05-13|419.0|0|32.0|0|0.0|0
