|dates|Henrico_Virginia_UnitedStates.JHU_ConfirmedCases.data|Henrico_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Henrico_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Henrico_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Henrico_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Henrico_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|11.0|0|0.0|0|0.0|0
0|2020-03-24|14.0|0|2.0|0|0.0|0
0|2020-03-25|20.0|0|2.0|0|0.0|0
0|2020-03-26|21.0|0|2.0|0|0.0|0
0|2020-03-27|28.0|0|2.0|0|0.0|0
0|2020-03-28|31.0|0|2.0|0|0.0|0
0|2020-03-29|40.0|0|2.0|0|0.0|0
0|2020-03-30|44.0|0|2.0|0|0.0|0
0|2020-03-31|62.0|0|2.0|0|0.0|0
0|2020-04-01|78.0|0|2.0|0|0.0|0
0|2020-04-02|87.0|0|2.0|0|0.0|0
0|2020-04-03|112.0|0|2.0|0|0.0|0
0|2020-04-04|174.0|0|2.0|0|0.0|0
0|2020-04-05|194.0|0|2.0|0|0.0|0
0|2020-04-06|207.0|0|2.0|0|0.0|0
0|2020-04-07|267.0|0|2.0|0|0.0|0
0|2020-04-08|291.0|0|2.0|0|0.0|0
0|2020-04-09|319.0|0|2.0|0|0.0|0
0|2020-04-10|342.0|0|2.0|0|0.0|0
0|2020-04-11|368.0|0|2.0|0|0.0|0
0|2020-04-12|379.0|0|42.0|0|0.0|0
0|2020-04-13|397.0|0|42.0|0|0.0|0
0|2020-04-14|432.0|0|42.0|0|0.0|0
0|2020-04-15|453.0|0|52.0|0|0.0|0
0|2020-04-16|497.0|0|57.0|0|0.0|0
0|2020-04-17|532.0|0|62.0|0|0.0|0
0|2020-04-18|559.0|0|62.0|0|0.0|0
0|2020-04-19|584.0|0|62.0|0|0.0|0
0|2020-04-20|598.0|0|72.0|0|0.0|0
0|2020-04-21|621.0|0|72.0|0|0.0|0
0|2020-04-22|684.0|0|82.0|0|0.0|0
0|2020-04-23|718.0|0|83.0|0|0.0|0
0|2020-04-24|729.0|0|86.0|0|0.0|0
0|2020-04-25|764.0|0|89.0|0|0.0|0
0|2020-04-26|792.0|0|89.0|0|0.0|0
0|2020-04-27|817.0|0|89.0|0|0.0|0
0|2020-04-28|835.0|0|95.0|0|0.0|0
0|2020-04-29|846.0|0|98.0|0|0.0|0
0|2020-04-30|876.0|0|100.0|0|0.0|0
0|2020-05-01|898.0|0|102.0|0|0.0|0
0|2020-05-02|926.0|0|104.0|0|0.0|0
0|2020-05-03|954.0|0|105.0|0|0.0|0
0|2020-05-04|964.0|0|105.0|0|0.0|0
0|2020-05-05|985.0|0|106.0|0|0.0|0
0|2020-05-06|985.0|0|106.0|0|0.0|0
0|2020-05-07|1025.0|0|109.0|0|0.0|0
0|2020-05-08|1032.0|0|110.0|0|0.0|0
0|2020-05-09|1054.0|0|109.0|0|0.0|0
0|2020-05-10|1067.0|0|109.0|0|0.0|0
0|2020-05-11|1067.0|0|109.0|0|0.0|0
0|2020-05-12|1106.0|0|112.0|0|0.0|0
0|2020-05-13|1146.0|0|112.0|0|0.0|0
