|dates|Schenectady_NewYork_UnitedStates.JHU_ConfirmedCases.data|Schenectady_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Schenectady_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Schenectady_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Schenectady_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Schenectady_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|14.0|0|0.0|0|0.0|0
0|2020-03-19|14.0|0|0.0|0|0.0|0
0|2020-03-20|14.0|0|0.0|0|0.0|0
0|2020-03-21|32.0|0|0.0|0|0.0|0
0|2020-03-22|32.0|0|0.0|0|0.0|0
0|2020-03-23|32.0|0|0.0|0|0.0|0
0|2020-03-24|44.0|0|0.0|0|0.0|0
0|2020-03-25|55.0|0|1.0|0|0.0|0
0|2020-03-26|62.0|0|1.0|0|0.0|0
0|2020-03-27|66.0|0|1.0|0|0.0|0
0|2020-03-28|72.0|0|1.0|0|0.0|0
0|2020-03-29|76.0|0|1.0|0|0.0|0
0|2020-03-30|80.0|0|1.0|0|0.0|0
0|2020-03-31|85.0|0|1.0|0|0.0|0
0|2020-04-01|93.0|0|1.0|0|0.0|0
0|2020-04-02|101.0|0|1.0|0|0.0|0
0|2020-04-03|110.0|0|5.0|0|0.0|0
0|2020-04-04|117.0|0|5.0|0|0.0|0
0|2020-04-05|128.0|0|7.0|0|0.0|0
0|2020-04-06|138.0|0|7.0|0|0.0|0
0|2020-04-07|145.0|0|7.0|0|0.0|0
0|2020-04-08|149.0|0|7.0|0|0.0|0
0|2020-04-09|167.0|0|7.0|0|0.0|0
0|2020-04-10|191.0|0|7.0|0|0.0|0
0|2020-04-11|194.0|0|7.0|0|0.0|0
0|2020-04-12|199.0|0|7.0|0|0.0|0
0|2020-04-13|204.0|0|8.0|0|0.0|0
0|2020-04-14|235.0|0|8.0|0|0.0|0
0|2020-04-15|237.0|0|8.0|0|0.0|0
0|2020-04-16|245.0|0|8.0|0|0.0|0
0|2020-04-17|295.0|0|8.0|0|0.0|0
0|2020-04-18|295.0|0|14.0|0|0.0|0
0|2020-04-19|295.0|0|14.0|0|0.0|0
0|2020-04-20|295.0|0|14.0|0|0.0|0
0|2020-04-21|336.0|0|14.0|0|0.0|0
0|2020-04-22|352.0|0|14.0|0|0.0|0
0|2020-04-23|288.0|0|15.0|0|0.0|0
0|2020-04-24|297.0|0|15.0|0|0.0|0
0|2020-04-25|431.0|0|15.0|0|0.0|0
0|2020-04-26|449.0|0|15.0|0|0.0|0
0|2020-04-27|457.0|0|22.0|0|0.0|0
0|2020-04-28|469.0|0|22.0|0|0.0|0
0|2020-04-29|479.0|0|22.0|0|0.0|0
0|2020-04-30|501.0|0|22.0|0|0.0|0
0|2020-05-01|514.0|0|27.0|0|0.0|0
0|2020-05-02|521.0|0|27.0|0|0.0|0
0|2020-05-03|527.0|0|27.0|0|0.0|0
0|2020-05-04|535.0|0|28.0|0|0.0|0
0|2020-05-05|537.0|0|28.0|0|0.0|0
0|2020-05-06|551.0|0|28.0|0|0.0|0
0|2020-05-07|551.0|0|28.0|0|0.0|0
0|2020-05-08|558.0|0|28.0|0|0.0|0
0|2020-05-09|571.0|0|28.0|0|0.0|0
0|2020-05-10|571.0|0|28.0|0|0.0|0
0|2020-05-11|571.0|0|28.0|0|0.0|0
0|2020-05-12|581.0|0|28.0|0|0.0|0
0|2020-05-13|587.0|0|28.0|0|0.0|0
