|dates|Lafayette_Missouri_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|17.0|0|0.0|0|0.0|0
0|2020-03-31|19.0|0|1.0|0|0.0|0
0|2020-04-01|20.0|0|1.0|0|0.0|0
0|2020-04-02|20.0|0|1.0|0|0.0|0
0|2020-04-03|20.0|0|1.0|0|0.0|0
0|2020-04-04|26.0|0|1.0|0|0.0|0
0|2020-04-05|26.0|0|1.0|0|0.0|0
0|2020-04-06|28.0|0|1.0|0|0.0|0
0|2020-04-07|28.0|0|1.0|0|0.0|0
0|2020-04-08|28.0|0|1.0|0|0.0|0
0|2020-04-09|27.0|0|1.0|0|0.0|0
0|2020-04-10|28.0|0|1.0|0|0.0|0
0|2020-04-11|28.0|0|1.0|0|0.0|0
0|2020-04-12|28.0|0|1.0|0|0.0|0
0|2020-04-13|28.0|0|1.0|0|0.0|0
0|2020-04-14|28.0|0|1.0|0|0.0|0
0|2020-04-15|28.0|0|1.0|0|0.0|0
0|2020-04-16|29.0|0|1.0|0|0.0|0
0|2020-04-17|29.0|0|1.0|0|0.0|0
0|2020-04-18|29.0|0|1.0|0|0.0|0
0|2020-04-19|30.0|0|1.0|0|0.0|0
0|2020-04-20|30.0|0|1.0|0|0.0|0
0|2020-04-21|30.0|0|1.0|0|0.0|0
0|2020-04-22|30.0|0|1.0|0|0.0|0
0|2020-04-23|33.0|0|1.0|0|0.0|0
0|2020-04-24|33.0|0|1.0|0|0.0|0
0|2020-04-25|33.0|0|1.0|0|0.0|0
0|2020-04-26|35.0|0|1.0|0|0.0|0
0|2020-04-27|35.0|0|1.0|0|0.0|0
0|2020-04-28|35.0|0|1.0|0|0.0|0
0|2020-04-29|36.0|0|1.0|0|0.0|0
0|2020-04-30|37.0|0|1.0|0|0.0|0
0|2020-05-01|38.0|0|1.0|0|0.0|0
0|2020-05-02|39.0|0|1.0|0|0.0|0
0|2020-05-03|42.0|0|1.0|0|0.0|0
0|2020-05-04|45.0|0|1.0|0|0.0|0
0|2020-05-05|47.0|0|1.0|0|0.0|0
0|2020-05-06|50.0|0|1.0|0|0.0|0
0|2020-05-07|58.0|0|1.0|0|0.0|0
0|2020-05-08|59.0|0|1.0|0|0.0|0
0|2020-05-09|60.0|0|2.0|0|0.0|0
0|2020-05-10|62.0|0|2.0|0|0.0|0
0|2020-05-11|62.0|0|2.0|0|0.0|0
0|2020-05-12|62.0|0|3.0|0|0.0|0
0|2020-05-13|65.0|0|3.0|0|0.0|0
