|dates|Miami_Indiana_UnitedStates.JHU_ConfirmedCases.data|Miami_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Miami_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Miami_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Miami_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Miami_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|3.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|8.0|0|0.0|0|0.0|0
0|2020-04-05|7.0|0|0.0|0|0.0|0
0|2020-04-06|7.0|0|0.0|0|0.0|0
0|2020-04-07|9.0|0|0.0|0|0.0|0
0|2020-04-08|12.0|0|0.0|0|0.0|0
0|2020-04-09|13.0|0|0.0|0|0.0|0
0|2020-04-10|14.0|0|0.0|0|0.0|0
0|2020-04-11|15.0|0|0.0|0|0.0|0
0|2020-04-12|16.0|0|0.0|0|0.0|0
0|2020-04-13|16.0|0|0.0|0|0.0|0
0|2020-04-14|17.0|0|0.0|0|0.0|0
0|2020-04-15|17.0|0|0.0|0|0.0|0
0|2020-04-16|22.0|0|0.0|0|0.0|0
0|2020-04-17|21.0|0|0.0|0|0.0|0
0|2020-04-18|21.0|0|0.0|0|0.0|0
0|2020-04-19|22.0|0|0.0|0|0.0|0
0|2020-04-20|22.0|0|0.0|0|0.0|0
0|2020-04-21|26.0|0|0.0|0|0.0|0
0|2020-04-22|27.0|0|0.0|0|0.0|0
0|2020-04-23|31.0|0|0.0|0|0.0|0
0|2020-04-24|38.0|0|0.0|0|0.0|0
0|2020-04-25|42.0|0|0.0|0|0.0|0
0|2020-04-26|65.0|0|0.0|0|0.0|0
0|2020-04-27|93.0|0|0.0|0|0.0|0
0|2020-04-28|96.0|0|0.0|0|0.0|0
0|2020-04-29|100.0|0|0.0|0|0.0|0
0|2020-04-30|104.0|0|0.0|0|0.0|0
0|2020-05-01|107.0|0|0.0|0|0.0|0
0|2020-05-02|109.0|0|1.0|0|0.0|0
0|2020-05-03|115.0|0|1.0|0|0.0|0
0|2020-05-04|119.0|0|1.0|0|0.0|0
0|2020-05-05|120.0|0|1.0|0|0.0|0
0|2020-05-06|121.0|0|1.0|0|0.0|0
0|2020-05-07|121.0|0|1.0|0|0.0|0
0|2020-05-08|122.0|0|1.0|0|0.0|0
0|2020-05-09|123.0|0|1.0|0|0.0|0
0|2020-05-10|125.0|0|1.0|0|0.0|0
0|2020-05-11|125.0|0|1.0|0|0.0|0
0|2020-05-12|130.0|0|1.0|0|0.0|0
0|2020-05-13|129.0|0|1.0|0|0.0|0
