|dates|Washington_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Washington_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Washington_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|7.0|0|0.0|0|0.0|0
0|2020-03-23|10.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|13.0|0|0.0|0|0.0|0
0|2020-03-26|15.0|0|0.0|0|0.0|0
0|2020-03-27|22.0|0|0.0|0|0.0|0
0|2020-03-28|25.0|0|0.0|0|0.0|0
0|2020-03-29|27.0|0|0.0|0|0.0|0
0|2020-03-30|34.0|0|0.0|0|0.0|0
0|2020-03-31|39.0|0|0.0|0|0.0|0
0|2020-04-01|44.0|0|0.0|0|0.0|0
0|2020-04-02|46.0|0|0.0|0|0.0|0
0|2020-04-03|51.0|0|0.0|0|0.0|0
0|2020-04-04|54.0|0|0.0|0|0.0|0
0|2020-04-05|62.0|0|1.0|0|0.0|0
0|2020-04-06|65.0|0|1.0|0|0.0|0
0|2020-04-07|68.0|0|1.0|0|0.0|0
0|2020-04-08|70.0|0|2.0|0|0.0|0
0|2020-04-09|72.0|0|2.0|0|0.0|0
0|2020-04-10|73.0|0|2.0|0|0.0|0
0|2020-04-11|77.0|0|2.0|0|0.0|0
0|2020-04-12|80.0|0|3.0|0|0.0|0
0|2020-04-13|80.0|0|3.0|0|0.0|0
0|2020-04-14|84.0|0|3.0|0|0.0|0
0|2020-04-15|88.0|0|3.0|0|0.0|0
0|2020-04-16|88.0|0|3.0|0|0.0|0
0|2020-04-17|92.0|0|3.0|0|0.0|0
0|2020-04-18|92.0|0|3.0|0|0.0|0
0|2020-04-19|94.0|0|4.0|0|0.0|0
0|2020-04-20|97.0|0|4.0|0|0.0|0
0|2020-04-21|98.0|0|5.0|0|0.0|0
0|2020-04-22|100.0|0|5.0|0|0.0|0
0|2020-04-23|100.0|0|7.0|0|0.0|0
0|2020-04-24|107.0|0|7.0|0|0.0|0
0|2020-04-25|112.0|0|7.0|0|0.0|0
0|2020-04-26|113.0|0|8.0|0|0.0|0
0|2020-04-27|114.0|0|8.0|0|0.0|0
0|2020-04-28|117.0|0|9.0|0|0.0|0
0|2020-04-29|120.0|0|9.0|0|0.0|0
0|2020-04-30|131.0|0|10.0|0|0.0|0
0|2020-05-01|133.0|0|11.0|0|0.0|0
0|2020-05-02|142.0|0|12.0|0|0.0|0
0|2020-05-03|146.0|0|12.0|0|0.0|0
0|2020-05-04|152.0|0|12.0|0|0.0|0
0|2020-05-05|162.0|0|12.0|0|0.0|0
0|2020-05-06|181.0|0|12.0|0|0.0|0
0|2020-05-07|193.0|0|12.0|0|0.0|0
0|2020-05-08|211.0|0|12.0|0|0.0|0
0|2020-05-09|231.0|0|14.0|0|0.0|0
0|2020-05-10|247.0|0|15.0|0|0.0|0
0|2020-05-11|247.0|0|15.0|0|0.0|0
0|2020-05-12|266.0|0|16.0|0|0.0|0
0|2020-05-13|274.0|0|17.0|0|0.0|0
