|dates|Montgomery_Maryland_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|3.0|0|0.0|0|0.0|0
0|2020-03-07|3.0|0|0.0|0|0.0|0
0|2020-03-08|4.0|0|0.0|0|0.0|0
0|2020-03-09|4.0|0|0.0|0|0.0|0
0|2020-03-10|4.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|6.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|7.0|0|0.0|0|0.0|0
0|2020-03-16|15.0|0|0.0|0|0.0|0
0|2020-03-17|24.0|0|0.0|0|0.0|0
0|2020-03-18|31.0|0|0.0|0|0.0|0
0|2020-03-19|33.0|0|0.0|0|0.0|0
0|2020-03-20|51.0|0|0.0|0|0.0|0
0|2020-03-21|68.0|0|0.0|0|0.0|0
0|2020-03-22|83.0|0|1.0|0|0.0|0
0|2020-03-23|94.0|0|1.0|0|0.0|0
0|2020-03-24|107.0|0|1.0|0|0.0|0
0|2020-03-25|127.0|0|1.0|0|0.0|0
0|2020-03-26|164.0|0|1.0|0|0.0|0
0|2020-03-27|208.0|0|1.0|0|0.0|0
0|2020-03-28|255.0|0|1.0|0|0.0|0
0|2020-03-29|301.0|0|1.0|0|0.0|0
0|2020-03-30|341.0|0|1.0|0|0.0|0
0|2020-03-31|388.0|0|1.0|0|0.0|0
0|2020-04-01|447.0|0|1.0|0|0.0|0
0|2020-04-02|498.0|0|6.0|0|0.0|0
0|2020-04-03|566.0|0|9.0|0|0.0|0
0|2020-04-04|640.0|0|9.0|0|0.0|0
0|2020-04-05|693.0|0|13.0|0|0.0|0
0|2020-04-06|793.0|0|19.0|0|0.0|0
0|2020-04-07|871.0|0|21.0|0|0.0|0
0|2020-04-08|1088.0|0|26.0|0|0.0|0
0|2020-04-09|1214.0|0|30.0|0|0.0|0
0|2020-04-10|1388.0|0|34.0|0|0.0|0
0|2020-04-11|1537.0|0|36.0|0|0.0|0
0|2020-04-12|1631.0|0|42.0|0|0.0|0
0|2020-04-13|1756.0|0|48.0|0|0.0|0
0|2020-04-14|1883.0|0|54.0|0|0.0|0
0|2020-04-15|1933.0|0|54.0|0|0.0|0
0|2020-04-16|2133.0|0|56.0|0|0.0|0
0|2020-04-17|2280.0|0|63.0|0|0.0|0
0|2020-04-18|2404.0|0|86.0|0|0.0|0
0|2020-04-19|2507.0|0|96.0|0|0.0|0
0|2020-04-20|2647.0|0|106.0|0|0.0|0
0|2020-04-21|2768.0|0|116.0|0|0.0|0
0|2020-04-22|2868.0|0|126.0|0|0.0|0
0|2020-04-23|3060.0|0|139.0|0|0.0|0
0|2020-04-24|3060.0|0|139.0|0|0.0|0
0|2020-04-25|3483.0|0|171.0|0|0.0|0
0|2020-04-26|3645.0|0|180.0|0|0.0|0
0|2020-04-27|3843.0|0|210.0|0|0.0|0
0|2020-04-28|4003.0|0|221.0|0|0.0|0
0|2020-04-29|4152.0|0|242.0|0|0.0|0
0|2020-04-30|4300.0|0|255.0|0|0.0|0
0|2020-05-01|4754.0|0|262.0|0|0.0|0
0|2020-05-02|4919.0|0|282.0|0|0.0|0
0|2020-05-03|5150.0|0|295.0|0|0.0|0
0|2020-05-04|5384.0|0|301.0|0|0.0|0
0|2020-05-05|5541.0|0|320.0|0|0.0|0
0|2020-05-06|5790.0|0|333.0|0|0.0|0
0|2020-05-07|6032.0|0|345.0|0|0.0|0
0|2020-05-08|6316.0|0|355.0|0|0.0|0
0|2020-05-09|6555.0|0|369.0|0|0.0|0
0|2020-05-10|6762.0|0|382.0|0|0.0|0
0|2020-05-11|6762.0|0|382.0|0|0.0|0
0|2020-05-12|7130.0|0|407.0|0|0.0|0
0|2020-05-13|7283.0|0|422.0|0|0.0|0
