|dates|Burlington_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Burlington_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Burlington_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Burlington_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Burlington_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Burlington_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|14.0|0|0.0|0|0.0|0
0|2020-03-20|17.0|0|0.0|0|0.0|0
0|2020-03-21|21.0|0|0.0|0|0.0|0
0|2020-03-22|26.0|0|0.0|0|0.0|0
0|2020-03-23|36.0|0|0.0|0|0.0|0
0|2020-03-24|42.0|0|0.0|0|0.0|0
0|2020-03-25|48.0|0|0.0|0|0.0|0
0|2020-03-26|64.0|0|0.0|0|0.0|0
0|2020-03-27|88.0|0|0.0|0|0.0|0
0|2020-03-28|115.0|0|0.0|0|0.0|0
0|2020-03-29|142.0|0|2.0|0|0.0|0
0|2020-03-30|178.0|0|2.0|0|0.0|0
0|2020-03-31|202.0|0|0.0|0|0.0|0
0|2020-04-01|255.0|0|5.0|0|0.0|0
0|2020-04-02|294.0|0|8.0|0|0.0|0
0|2020-04-03|367.0|0|9.0|0|0.0|0
0|2020-04-04|469.0|0|10.0|0|0.0|0
0|2020-04-05|547.0|0|11.0|0|0.0|0
0|2020-04-06|646.0|0|11.0|0|0.0|0
0|2020-04-07|733.0|0|13.0|0|0.0|0
0|2020-04-08|801.0|0|17.0|0|0.0|0
0|2020-04-09|883.0|0|21.0|0|0.0|0
0|2020-04-10|954.0|0|22.0|0|0.0|0
0|2020-04-11|1031.0|0|22.0|0|0.0|0
0|2020-04-12|1095.0|0|23.0|0|0.0|0
0|2020-04-13|1155.0|0|24.0|0|0.0|0
0|2020-04-14|1207.0|0|28.0|0|0.0|0
0|2020-04-15|1261.0|0|45.0|0|0.0|0
0|2020-04-16|1326.0|0|52.0|0|0.0|0
0|2020-04-17|1366.0|0|54.0|0|0.0|0
0|2020-04-18|1456.0|0|57.0|0|0.0|0
0|2020-04-19|1587.0|0|58.0|0|0.0|0
0|2020-04-20|1663.0|0|61.0|0|0.0|0
0|2020-04-21|1765.0|0|61.0|0|0.0|0
0|2020-04-22|1878.0|0|68.0|0|0.0|0
0|2020-04-23|1969.0|0|76.0|0|0.0|0
0|2020-04-24|2054.0|0|81.0|0|0.0|0
0|2020-04-25|2153.0|0|88.0|0|0.0|0
0|2020-04-26|2333.0|0|94.0|0|0.0|0
0|2020-04-27|2407.0|0|98.0|0|0.0|0
0|2020-04-28|2543.0|0|106.0|0|0.0|0
0|2020-04-29|2606.0|0|117.0|0|0.0|0
0|2020-04-30|2690.0|0|130.0|0|0.0|0
0|2020-05-01|2769.0|0|144.0|0|0.0|0
0|2020-05-02|2879.0|0|146.0|0|0.0|0
0|2020-05-03|3043.0|0|149.0|0|0.0|0
0|2020-05-04|3100.0|0|149.0|0|0.0|0
0|2020-05-05|3207.0|0|164.0|0|0.0|0
0|2020-05-06|3235.0|0|177.0|0|0.0|0
0|2020-05-07|3367.0|0|185.0|0|0.0|0
0|2020-05-08|3431.0|0|190.0|0|0.0|0
0|2020-05-09|3531.0|0|194.0|0|0.0|0
0|2020-05-10|3574.0|0|198.0|0|0.0|0
0|2020-05-11|3574.0|0|198.0|0|0.0|0
0|2020-05-12|3697.0|0|208.0|0|0.0|0
0|2020-05-13|3726.0|0|214.0|0|0.0|0
