|dates|DuPage_Illinois_UnitedStates.JHU_ConfirmedCases.data|DuPage_Illinois_UnitedStates.JHU_ConfirmedCases.missing|DuPage_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|DuPage_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|DuPage_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|DuPage_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|26.0|0|0.0|0|0.0|0
0|2020-03-18|45.0|0|0.0|0|0.0|0
0|2020-03-19|54.0|0|0.0|0|0.0|0
0|2020-03-20|54.0|0|0.0|0|0.0|0
0|2020-03-21|65.0|0|0.0|0|0.0|0
0|2020-03-22|79.0|0|0.0|0|0.0|0
0|2020-03-23|95.0|0|0.0|0|0.0|0
0|2020-03-24|103.0|0|0.0|0|0.0|0
0|2020-03-25|131.0|0|0.0|0|0.0|0
0|2020-03-26|131.0|0|1.0|0|0.0|0
0|2020-03-27|199.0|0|6.0|0|0.0|0
0|2020-03-28|202.0|0|6.0|0|0.0|0
0|2020-03-29|274.0|0|7.0|0|0.0|0
0|2020-03-30|320.0|0|8.0|0|0.0|0
0|2020-03-31|356.0|0|10.0|0|0.0|0
0|2020-04-01|392.0|0|12.0|0|0.0|0
0|2020-04-02|448.0|0|14.0|0|0.0|0
0|2020-04-03|500.0|0|16.0|0|0.0|0
0|2020-04-04|590.0|0|18.0|0|0.0|0
0|2020-04-05|656.0|0|22.0|0|0.0|0
0|2020-04-06|715.0|0|22.0|0|0.0|0
0|2020-04-07|715.0|0|22.0|0|0.0|0
0|2020-04-08|875.0|0|30.0|0|0.0|0
0|2020-04-09|875.0|0|30.0|0|0.0|0
0|2020-04-10|1008.0|0|41.0|0|0.0|0
0|2020-04-11|1048.0|0|46.0|0|0.0|0
0|2020-04-12|1162.0|0|50.0|0|0.0|0
0|2020-04-13|1223.0|0|56.0|0|0.0|0
0|2020-04-14|1312.0|0|61.0|0|0.0|0
0|2020-04-15|1386.0|0|66.0|0|0.0|0
0|2020-04-16|1463.0|0|69.0|0|0.0|0
0|2020-04-17|1560.0|0|77.0|0|0.0|0
0|2020-04-18|1642.0|0|82.0|0|0.0|0
0|2020-04-19|1695.0|0|85.0|0|0.0|0
0|2020-04-20|1761.0|0|90.0|0|0.0|0
0|2020-04-21|1864.0|0|98.0|0|0.0|0
0|2020-04-22|1947.0|0|103.0|0|0.0|0
0|2020-04-23|2047.0|0|118.0|0|0.0|0
0|2020-04-24|2219.0|0|125.0|0|0.0|0
0|2020-04-25|2311.0|0|127.0|0|0.0|0
0|2020-04-26|2443.0|0|131.0|0|0.0|0
0|2020-04-27|2628.0|0|133.0|0|0.0|0
0|2020-04-28|2736.0|0|139.0|0|0.0|0
0|2020-04-29|2870.0|0|142.0|0|0.0|0
0|2020-04-30|3081.0|0|163.0|0|0.0|0
0|2020-05-01|3256.0|0|174.0|0|0.0|0
0|2020-05-02|3432.0|0|188.0|0|0.0|0
0|2020-05-03|3611.0|0|192.0|0|0.0|0
0|2020-05-04|3803.0|0|196.0|0|0.0|0
0|2020-05-05|3918.0|0|207.0|0|0.0|0
0|2020-05-06|4056.0|0|220.0|0|0.0|0
0|2020-05-07|4213.0|0|228.0|0|0.0|0
0|2020-05-08|4374.0|0|236.0|0|0.0|0
0|2020-05-09|4493.0|0|247.0|0|0.0|0
0|2020-05-10|4603.0|0|248.0|0|0.0|0
0|2020-05-11|4603.0|0|248.0|0|0.0|0
0|2020-05-12|5121.0|0|258.0|0|0.0|0
0|2020-05-13|5244.0|0|271.0|0|0.0|0
