|dates|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|4.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|7.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|0.0|0|0.0|0
0|2020-04-05|15.0|0|0.0|0|0.0|0
0|2020-04-06|23.0|0|0.0|0|0.0|0
0|2020-04-07|32.0|0|0.0|0|0.0|0
0|2020-04-08|34.0|0|0.0|0|0.0|0
0|2020-04-09|47.0|0|0.0|0|0.0|0
0|2020-04-10|52.0|0|1.0|0|0.0|0
0|2020-04-11|69.0|0|1.0|0|0.0|0
0|2020-04-12|69.0|0|1.0|0|0.0|0
0|2020-04-13|72.0|0|0.0|0|0.0|0
0|2020-04-14|78.0|0|2.0|0|0.0|0
0|2020-04-15|87.0|0|2.0|0|0.0|0
0|2020-04-16|103.0|0|4.0|0|0.0|0
0|2020-04-17|246.0|0|4.0|0|0.0|0
0|2020-04-18|378.0|0|4.0|0|0.0|0
0|2020-04-19|463.0|0|4.0|0|0.0|0
0|2020-04-20|572.0|0|4.0|0|0.0|0
0|2020-04-21|581.0|0|6.0|0|0.0|0
0|2020-04-22|585.0|0|6.0|0|0.0|0
0|2020-04-23|597.0|0|6.0|0|0.0|0
0|2020-04-24|603.0|0|6.0|0|0.0|0
0|2020-04-25|618.0|0|8.0|0|0.0|0
0|2020-04-26|630.0|0|8.0|0|0.0|0
0|2020-04-27|635.0|0|10.0|0|0.0|0
0|2020-04-28|641.0|0|10.0|0|0.0|0
0|2020-04-29|651.0|0|10.0|0|0.0|0
0|2020-04-30|655.0|0|10.0|0|0.0|0
0|2020-05-01|658.0|0|11.0|0|0.0|0
0|2020-05-02|674.0|0|11.0|0|0.0|0
0|2020-05-03|677.0|0|11.0|0|0.0|0
0|2020-05-04|685.0|0|11.0|0|0.0|0
0|2020-05-05|688.0|0|12.0|0|0.0|0
0|2020-05-06|688.0|0|12.0|0|0.0|0
0|2020-05-07|699.0|0|12.0|0|0.0|0
0|2020-05-08|715.0|0|12.0|0|0.0|0
0|2020-05-09|726.0|0|13.0|0|0.0|0
0|2020-05-10|743.0|0|13.0|0|0.0|0
0|2020-05-11|743.0|0|13.0|0|0.0|0
0|2020-05-12|755.0|0|13.0|0|0.0|0
0|2020-05-13|760.0|0|13.0|0|0.0|0
