|dates|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|3.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|10.0|0|0.0|0|0.0|0
0|2020-03-13|14.0|0|0.0|0|0.0|0
0|2020-03-14|18.0|0|0.0|0|0.0|0
0|2020-03-15|17.0|0|0.0|0|0.0|0
0|2020-03-16|18.0|0|0.0|0|0.0|0
0|2020-03-17|23.0|0|0.0|0|0.0|0
0|2020-03-18|24.0|0|0.0|0|0.0|0
0|2020-03-19|29.0|0|0.0|0|0.0|0
0|2020-03-20|37.0|0|0.0|0|0.0|0
0|2020-03-21|38.0|0|0.0|0|0.0|0
0|2020-03-22|51.0|0|0.0|0|0.0|0
0|2020-03-23|51.0|0|0.0|0|0.0|0
0|2020-03-24|66.0|0|0.0|0|0.0|0
0|2020-03-25|71.0|0|0.0|0|0.0|0
0|2020-03-26|74.0|0|0.0|0|0.0|0
0|2020-03-27|82.0|0|0.0|0|0.0|0
0|2020-03-28|98.0|0|2.0|0|0.0|0
0|2020-03-29|108.0|0|2.0|0|0.0|0
0|2020-03-30|145.0|0|2.0|0|0.0|0
0|2020-03-31|172.0|0|3.0|0|0.0|0
0|2020-04-01|210.0|0|4.0|0|0.0|0
0|2020-04-02|246.0|0|5.0|0|0.0|0
0|2020-04-03|279.0|0|6.0|0|0.0|0
0|2020-04-04|321.0|0|6.0|0|0.0|0
0|2020-04-05|364.0|0|8.0|0|0.0|0
0|2020-04-06|418.0|0|9.0|0|0.0|0
0|2020-04-07|448.0|0|10.0|0|0.0|0
0|2020-04-08|519.0|0|12.0|0|0.0|0
0|2020-04-09|568.0|0|14.0|0|0.0|0
0|2020-04-10|635.0|0|15.0|0|0.0|0
0|2020-04-11|699.0|0|17.0|0|0.0|0
0|2020-04-12|791.0|0|17.0|0|0.0|0
0|2020-04-13|814.0|0|17.0|0|0.0|0
0|2020-04-14|897.0|0|20.0|0|0.0|0
0|2020-04-15|901.0|0|20.0|0|0.0|0
0|2020-04-16|952.0|0|21.0|0|0.0|0
0|2020-04-17|1066.0|0|24.0|0|0.0|0
0|2020-04-18|1249.0|0|24.0|0|0.0|0
0|2020-04-19|1474.0|0|28.0|0|0.0|0
0|2020-04-20|1648.0|0|33.0|0|0.0|0
0|2020-04-21|1685.0|0|33.0|0|0.0|0
0|2020-04-22|1813.0|0|38.0|0|0.0|0
0|2020-04-23|2202.0|0|47.0|0|0.0|0
0|2020-04-24|2424.0|0|50.0|0|0.0|0
0|2020-04-25|2719.0|0|50.0|0|0.0|0
0|2020-04-26|3028.0|0|56.0|0|0.0|0
0|2020-04-27|3358.0|0|56.0|0|0.0|0
0|2020-04-28|3517.0|0|56.0|0|0.0|0
0|2020-04-29|3851.0|0|56.0|0|0.0|0
0|2020-04-30|4281.0|0|70.0|0|0.0|0
0|2020-05-01|5008.0|0|73.0|0|0.0|0
0|2020-05-02|5317.0|0|73.0|0|0.0|0
0|2020-05-03|5661.0|0|78.0|0|0.0|0
0|2020-05-04|6037.0|0|78.0|0|0.0|0
0|2020-05-05|6373.0|0|78.0|0|0.0|0
0|2020-05-06|6373.0|0|78.0|0|0.0|0
0|2020-05-07|6373.0|0|78.0|0|0.0|0
0|2020-05-08|6373.0|0|78.0|0|0.0|0
0|2020-05-09|6373.0|0|78.0|0|0.0|0
0|2020-05-10|6373.0|0|78.0|0|0.0|0
0|2020-05-11|6373.0|0|78.0|0|0.0|0
0|2020-05-12|6373.0|0|78.0|0|0.0|0
0|2020-05-13|6373.0|0|78.0|0|0.0|0
